id	sym	WT_1	WT_2	WT_3	Cbfb_MYH11_1	Cbfb_MYH11_2	Cbfb_MYH11_3
ENSMUSG00000000001	Gnai3	13113	13700	11847	11179	11603	10620
ENSMUSG00000000028	Cdc45	4314	3998	3334	2381	3073	2453
ENSMUSG00000000031	H19	1	3	1	0	0	1
ENSMUSG00000000037	Scml2	196	153	156	54	84	73
ENSMUSG00000000049	Apoh	0	0	0	1	0	1
ENSMUSG00000000056	Narf	3155	3115	2563	5385	5176	5156
ENSMUSG00000000058	Cav2	103	49	57	323	365	444
ENSMUSG00000000078	Klf6	5418	6311	5098	5434	6215	5536
ENSMUSG00000000085	Scmh1	1263	1251	993	874	1129	910
ENSMUSG00000000088	Cox5a	4907	5117	4247	3340	3362	3086
ENSMUSG00000000093	Tbx2	0	1	1	5	3	6
ENSMUSG00000000094	Tbx4	1	5	0	7	1	4
ENSMUSG00000000120	Ngfr	0	9	3	26	11	25
ENSMUSG00000000126	Wnt9a	0	0	1	0	1	3
ENSMUSG00000000127	Fer	527	527	478	907	881	908
ENSMUSG00000000131	Xpo6	4537	4860	4075	6318	6937	6495
ENSMUSG00000000134	Tfe3	2371	2834	2090	2998	2977	2737
ENSMUSG00000000142	Axin2	26	34	54	353	231	376
ENSMUSG00000000148	Brat1	845	880	700	1456	1363	1502
ENSMUSG00000000149	Gna12	4288	4496	3459	3734	3715	3551
ENSMUSG00000000154	Slc22a18	30	29	24	67	42	58
ENSMUSG00000000157	Itgb2l	13125	29588	13963	2625	5671	1083
ENSMUSG00000000159	Igsf5	3	0	1	0	0	1
ENSMUSG00000000167	Pih1d2	37	37	21	30	27	22
ENSMUSG00000000168	Dlat	2610	2503	2018	2408	2474	2364
ENSMUSG00000000171	Sdhd	6821	6486	5541	6654	6659	6134
ENSMUSG00000000182	Fgf23	0	0	0	4	0	5
ENSMUSG00000000184	Ccnd2	2931	2815	2337	11874	10431	11771
ENSMUSG00000000194	Gpr107	2025	2209	1760	2694	2744	2591
ENSMUSG00000000202	Btbd17	0	0	0	1	0	0
ENSMUSG00000000204	Slfn4	1971	3589	2797	330	1935	216
ENSMUSG00000000214	Th	1	0	0	0	0	0
ENSMUSG00000000223	Drp2	17	16	15	24	25	21
ENSMUSG00000000244	Tspan32	4094	4501	3668	1401	1505	1274
ENSMUSG00000000247	Lhx2	2	0	0	5	9	10
ENSMUSG00000000248	Clec2g	2	1	15	35	33	41
ENSMUSG00000000253	Gmpr	397	343	337	7969	5922	8854
ENSMUSG00000000266	Mid2	3	5	7	5	5	4
ENSMUSG00000000275	Trim25	2497	2552	2038	4022	4127	3857
