id	sym	C1	C2	C3	C4	BPA_1	BPA_2	BPA_3	BPA_4
ENSMUSG00000000001	Gnai3	1397	1331	1079	1000	1566	1650	1408	1464
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	47	33	36	27	57	66	66	57
ENSMUSG00000000031	H19	3	21	4	1	2	7	5	10
ENSMUSG00000000037	Scml2	31	41	41	34	63	70	69	34
ENSMUSG00000000049	Apoh	12	4	5	2	8	8	11	8
ENSMUSG00000000056	Narf	2138	1821	1556	1391	2398	2906	2280	2317
ENSMUSG00000000058	Cav2	1340	1094	875	810	1275	1374	1223	1106
ENSMUSG00000000078	Klf6	2634	2072	2083	1564	2552	3060	2820	2763
ENSMUSG00000000085	Scmh1	987	819	713	608	1072	1230	1008	1051
ENSMUSG00000000088	Cox5a	925	823	759	699	1079	1195	1105	1037
ENSMUSG00000000093	Tbx2	36	37	32	18	59	48	51	29
ENSMUSG00000000094	Tbx4	13	6	7	6	6	10	7	6
ENSMUSG00000000103	Zfy2	0	0	0	0	1	0	0	0
ENSMUSG00000000120	Ngfr	79	104	29	26	39	69	85	65
ENSMUSG00000000125	Wnt3	54	74	64	22	50	72	79	58
ENSMUSG00000000126	Wnt9a	122	145	96	117	173	176	249	129
ENSMUSG00000000127	Fer	1297	1176	953	860	1379	1778	1314	1466
ENSMUSG00000000131	Xpo6	2387	2160	1797	1437	2704	3238	2580	2355
ENSMUSG00000000134	Tfe3	842	860	724	540	1044	1289	1156	848
ENSMUSG00000000142	Axin2	736	744	539	419	871	940	908	712
ENSMUSG00000000148	Brat1	290	260	230	177	359	370	317	302
ENSMUSG00000000149	Gna12	1086	943	855	660	1165	1388	1075	1204
ENSMUSG00000000154	Slc22a18	6	5	1	2	7	3	18	5
ENSMUSG00000000157	Itgb2l	2	0	0	0	0	0	1	1
ENSMUSG00000000159	Igsf5	6	11	7	4	8	10	18	8
ENSMUSG00000000167	Pih1d2	36	50	32	26	45	46	38	39
ENSMUSG00000000168	Dlat	4736	4116	3413	3345	5028	6081	5095	4859
ENSMUSG00000000171	Sdhd	2303	2157	1606	1562	2411	2827	2382	2531
ENSMUSG00000000182	Fgf23	13	9	4	6	8	10	9	8
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	5616	4934	4752	3527	6233	6949	6129	5514
ENSMUSG00000000194	Gpr107	1673	1456	1301	1009	1738	2432	1810	1940
ENSMUSG00000000197	Nalcn	5734	5111	4053	3479	6282	7562	5721	6077
ENSMUSG00000000202	Btbd17	214	213	156	149	253	288	220	191
ENSMUSG00000000204	Slfn4	0	1	0	0	1	2	1	0
ENSMUSG00000000214	Th	7	10	8	8	12	9	16	16
ENSMUSG00000000215	Ins2	3	6	2	0	1	0	1	1
ENSMUSG00000000216	Scnn1g	5	0	1	0	5	8	3	8
ENSMUSG00000000223	Drp2	4058	3561	3081	2677	4283	5470	4498	4473
ENSMUSG00000000244	Tspan32	2	1	4	2	2	2	0	4
ENSMUSG00000000247	Lhx2	1968	1612	1636	1276	2348	2675	1941	2002
ENSMUSG00000000248	Clec2g	0	0	0	0	0	1	2	0
ENSMUSG00000000253	Gmpr	867	755	627	621	918	1165	928	868
ENSMUSG00000000263	Glra1	6	1	6	5	8	10	5	16
ENSMUSG00000000266	Mid2	1580	1549	1206	1037	1698	2080	1851	1766
ENSMUSG00000000275	Trim25	230	249	160	150	218	284	252	265
ENSMUSG00000000276	Dgke	4242	3900	3205	3003	4667	5235	4620	4333
ENSMUSG00000000278	Scpep1	291	302	185	175	299	371	338	291
ENSMUSG00000000282	Mnt	1726	1642	1508	1192	2141	2714	2143	1931
ENSMUSG00000000290	Itgb2	127	122	101	88	164	159	151	127
ENSMUSG00000000295	Hddc2	219	208	156	143	292	336	220	274
ENSMUSG00000000296	Tpd52l1	594	587	457	364	643	847	777	681
ENSMUSG00000000301	Pemt	38	24	20	22	26	39	48	26
ENSMUSG00000000303	Cdh1	58	42	3	12	42	19	104	1
ENSMUSG00000000305	Cdh4	548	386	434	351	602	681	522	549
ENSMUSG00000000308	Ckmt1	8398	7034	6691	5078	9282	11433	8722	9211
ENSMUSG00000000317	Bcl6b	61	54	50	44	56	107	62	88
ENSMUSG00000000318	Clec10a	12	4	2	0	12	5	10	6
ENSMUSG00000000320	Alox12	6	17	6	8	14	18	9	8
ENSMUSG00000000325	Arvcf	855	786	730	546	1004	1121	793	890
ENSMUSG00000000326	Comt	2105	2089	1905	1440	2572	3010	2419	2461
ENSMUSG00000000339	Rtca	1321	1226	959	997	1485	1950	1670	1402
ENSMUSG00000000340	Dbt	1039	891	699	635	1105	1254	1009	1153
ENSMUSG00000000346	Dazap2	4256	4139	3348	3061	4696	5701	4849	5117
ENSMUSG00000000355	Mcts1	1001	1101	921	875	1164	1393	1250	1181
ENSMUSG00000000359	Rem1	5	9	3	0	5	7	11	7
