Geneid	SYM	BMP5.1	BMP5.2	BMP5.3	Control1	Control2	Control3
ENSG00000121410	A1BG	0	0	0	1	1	0
ENSG00000268895	A1BG-AS1	0	0	0	0	0	0
ENSG00000148584	A1CF	3	4	4	5	4	5
ENSG00000175899	A2M	2	0	0	1	0	1
ENSG00000245105	A2M-AS1	0	0	0	0	0	0
ENSG00000166535	A2ML1	0	0	0	0	0	1
ENSG00000256069	A2MP1	0	0	0	0	0	0
ENSG00000184389	A3GALT2	1	1	1	1	0	0
ENSG00000128274	A4GALT	336	408	434	425	426	454
ENSG00000118017	A4GNT	0	0	0	0	0	0
ENSG00000094914	AAAS	547	638	714	784	750	718
ENSG00000081760	AACS	803	923	1011	908	922	1038
ENSG00000250420	AACSP1	0	2	0	1	0	1
ENSG00000114771	AADAC	103	106	105	98	87	113
ENSG00000197953	AADACL2	0	0	0	0	0	0
ENSG00000242908	AADACL2-AS1	0	0	1	2	1	3
ENSG00000188984	AADACL3	0	0	0	0	0	0
ENSG00000204518	AADACL4	0	0	0	0	0	0
ENSG00000240602	AADACP1	53	54	51	56	70	57
ENSG00000109576	AADAT	31	32	20	30	23	38
ENSG00000158122	AAED1	30	35	44	37	30	41
ENSG00000103591	AAGAB	1165	1237	1331	1296	1225	1287
ENSG00000115977	AAK1	129	177	173	122	175	175
ENSG00000087884	AAMDC	46	63	43	44	48	72
ENSG00000127837	AAMP	1598	1874	2105	1953	1829	1895
ENSG00000129673	AANAT	0	1	0	0	0	0
ENSG00000131043	AAR2	979	1021	1147	1189	1180	1314
ENSG00000205002	AARD	0	0	0	0	0	0
ENSG00000090861	AARS	1581	1931	1994	2162	2118	2246
ENSG00000124608	AARS2	387	483	395	491	467	548
ENSG00000266967	AARSD1	178	215	242	235	236	253
ENSG00000157426	AASDH	98	102	126	115	118	98
ENSG00000149313	AASDHPPT	438	498	461	372	403	475
ENSG00000008311	AASS	0	4	1	4	5	5
ENSG00000215458	AATBC	3	6	5	3	2	5
ENSG00000275700	AATF	1454	1601	1950	1744	1756	1818
ENSG00000181409	AATK	205	276	256	233	222	234
ENSG00000225180	AATK-AS1	0	2	0	0	0	0
ENSG00000183044	ABAT	4	18	9	9	10	11
ENSG00000165029	ABCA1	41	30	45	41	35	32
ENSG00000154263	ABCA10	28	22	24	18	30	28
ENSG00000251595	ABCA11P	61	50	46	58	63	72
ENSG00000144452	ABCA12	0	0	0	0	0	0
ENSG00000179869	ABCA13	5	8	7	1	5	7
ENSG00000238098	ABCA17P	0	0	0	2	0	0
ENSG00000107331	ABCA2	2124	2609	2771	2699	2632	2612
ENSG00000167972	ABCA3	4	11	4	15	4	4
ENSG00000198691	ABCA4	2	0	2	6	2	0
ENSG00000154265	ABCA5	11	26	21	13	24	17
ENSG00000154262	ABCA6	2	3	1	3	6	0
ENSG00000064687	ABCA7	207	247	225	206	250	269
ENSG00000141338	ABCA8	0	0	0	0	0	0
ENSG00000154258	ABCA9	0	0	0	0	0	0
ENSG00000231749	ABCA9-AS1	0	0	0	0	0	1
ENSG00000085563	ABCB1	1	2	9	3	6	3
ENSG00000135776	ABCB10	218	243	259	258	258	235
ENSG00000274099	ABCB10P1	8	5	3	4	4	5
ENSG00000261524	ABCB10P3	6	2	0	2	3	2
ENSG00000260053	ABCB10P4	0	4	2	1	7	2
ENSG00000073734	ABCB11	1	1	3	2	3	2
ENSG00000005471	ABCB4	3	2	2	5	0	4
ENSG00000004846	ABCB5	0	0	0	0	0	0
ENSG00000115657	ABCB6	313	327	387	393	359	380
ENSG00000131269	ABCB7	257	252	310	247	208	285
ENSG00000197150	ABCB8	334	397	413	386	394	373
ENSG00000150967	ABCB9	73	80	97	91	85	83
ENSG00000103222	ABCC1	1161	1393	1583	1537	1348	1468
ENSG00000124574	ABCC10	249	248	288	338	316	305
ENSG00000121270	ABCC11	3	3	4	1	2	1
ENSG00000140798	ABCC12	0	0	0	0	0	0
ENSG00000243064	ABCC13	0	0	0	0	0	0
ENSG00000023839	ABCC2	50	60	48	56	60	57
ENSG00000108846	ABCC3	5283	5680	6408	6227	5834	6047
ENSG00000125257	ABCC4	576	623	682	623	562	625
ENSG00000114770	ABCC5	80	94	115	126	118	111
ENSG00000223882	ABCC5-AS1	0	0	0	0	0	0
ENSG00000091262	ABCC6	18	8	13	9	16	20
ENSG00000256340	ABCC6P1	2	1	1	1	4	4
ENSG00000255277	ABCC6P2	5	0	1	3	4	2
ENSG00000006071	ABCC8	2	2	2	5	4	10
ENSG00000069431	ABCC9	0	0	0	0	0	0
ENSG00000101986	ABCD1	214	249	240	330	294	296
ENSG00000215151	ABCD1P2	0	0	0	1	0	0
ENSG00000261233	ABCD1P3	0	1	0	0	0	0
ENSG00000225293	ABCD1P4	0	0	1	0	1	0
ENSG00000214330	ABCD1P5	0	0	1	0	0	0
ENSG00000173208	ABCD2	0	0	0	0	0	0
ENSG00000117528	ABCD3	739	752	917	687	659	745
ENSG00000119688	ABCD4	213	295	282	356	351	352
ENSG00000164163	ABCE1	930	943	1003	872	925	965
ENSG00000204574	ABCF1	1745	1790	2076	2185	2208	2109
ENSG00000033050	ABCF2	2039	2207	2664	2555	2367	2543
ENSG00000242159	ABCF2P1	92	66	90	80	95	77
ENSG00000228769	ABCF2P2	0	0	0	0	0	0
ENSG00000161204	ABCF3	577	621	683	713	721	788
ENSG00000160179	ABCG1	176	141	190	237	233	193
ENSG00000118777	ABCG2	448	502	576	451	526	500
ENSG00000172350	ABCG4	0	0	0	0	0	0
ENSG00000138075	ABCG5	0	0	0	0	0	0
ENSG00000143921	ABCG8	0	0	0	0	0	0
ENSG00000143994	ABHD1	0	0	1	2	0	2
ENSG00000144827	ABHD10	343	325	373	277	377	394
ENSG00000106077	ABHD11	366	400	472	597	491	594
ENSG00000225969	ABHD11-AS1	33	23	26	29	26	21
ENSG00000100997	ABHD12	1703	1844	2005	2128	2056	2091
ENSG00000131969	ABHD12B	0	0	0	0	0	0
ENSG00000139826	ABHD13	250	213	245	197	222	207
ENSG00000248487	ABHD14A	168	196	223	237	236	230
ENSG00000114786	ABHD14A-ACY1	446	502	582	601	631	629
ENSG00000114779	ABHD14B	288	331	314	393	387	368
ENSG00000168792	ABHD15	362	375	356	303	357	385
ENSG00000204427	ABHD16A	370	443	509	528	510	499
ENSG00000183260	ABHD16B	0	0	0	0	0	0
ENSG00000129968	ABHD17A	202	205	250	280	198	252
ENSG00000198658	ABHD17AP1	31	38	51	62	57	48
ENSG00000250536	ABHD17AP3	17	18	16	10	6	18
ENSG00000229107	ABHD17AP4	2	6	0	3	2	2
ENSG00000263366	ABHD17AP5	5	6	8	9	10	6
ENSG00000226981	ABHD17AP6	3	9	11	3	4	6
ENSG00000261536	ABHD17AP9	0	0	0	0	0	0
ENSG00000107362	ABHD17B	154	162	172	164	167	174
ENSG00000136379	ABHD17C	560	555	760	708	642	638
ENSG00000140526	ABHD2	5394	6260	7178	5667	5795	5914
ENSG00000158201	ABHD3	199	208	269	205	228	237
ENSG00000100439	ABHD4	129	161	183	205	183	195
ENSG00000011198	ABHD5	119	129	129	100	118	142
ENSG00000163686	ABHD6	138	151	173	186	218	194
ENSG00000127220	ABHD8	11	27	17	25	24	37
ENSG00000136754	ABI1	605	517	664	632	561	626
ENSG00000138443	ABI2	537	595	611	587	512	655
ENSG00000108798	ABI3	0	0	0	0	0	0
ENSG00000154175	ABI3BP	0	0	0	0	0	0
ENSG00000097007	ABL1	546	718	754	776	748	859
ENSG00000143322	ABL2	245	219	266	250	247	285
ENSG00000099204	ABLIM1	1734	1743	2123	1786	1785	1772
ENSG00000163995	ABLIM2	3	4	2	7	6	3
ENSG00000173210	ABLIM3	681	755	842	848	778	869
ENSG00000175164	ABO	21	32	18	21	20	25
ENSG00000159842	ABR	1762	2065	2263	2147	2094	2159
ENSG00000174429	ABRA	0	0	0	0	0	0
ENSG00000146386	ABRACL	352	283	353	331	338	334
ENSG00000146109	ABT1	371	419	450	470	445	449
ENSG00000250496	ABT1P1	1	0	2	0	1	1
ENSG00000114626	ABTB1	231	271	279	280	264	293
ENSG00000166016	ABTB2	556	736	766	762	770	736
ENSG00000060971	ACAA1	766	812	878	857	869	824
ENSG00000167315	ACAA2	756	762	820	861	830	845
ENSG00000275176	ACACA	3521	3830	4377	3941	3917	3924
ENSG00000076555	ACACB	34	36	56	45	50	51
ENSG00000111271	ACAD10	136	128	153	161	175	191
ENSG00000240303	ACAD11	26	25	42	31	38	35
ENSG00000151498	ACAD8	430	447	519	528	516	543
ENSG00000177646	ACAD9	846	944	1102	982	974	1020
ENSG00000115361	ACADL	0	0	0	0	0	0
ENSG00000117054	ACADM	260	259	244	233	248	255
ENSG00000122971	ACADS	152	222	225	259	214	242
ENSG00000196177	ACADSB	36	25	39	26	18	31
