id	sym	C1	C2	C3	AA157_rep1	AA157_rep2	AA157_rep3
ENSG00000000003	TSPAN6	4355	3447	3632	3775	3755	3865
ENSG00000000005	TNMD	38	19	24	1	0	0
ENSG00000000419	DPM1	1360	1408	1371	696	758	781
ENSG00000000457	SCYL3	319	266	270	270	316	409
ENSG00000000460	C1orf112	1153	1019	918	366	285	294
ENSG00000000938	FGR	2	7	7	0	0	0
ENSG00000000971	CFH	0	1	0	0	0	0
ENSG00000001036	FUCA2	1430	1345	1533	1669	1436	1449
ENSG00000001084	GCLC	1565	1623	1607	546	559	613
ENSG00000001167	NFYA	1237	1208	1136	1139	1205	1271
ENSG00000001460	STPG1	279	299	268	160	155	143
ENSG00000001461	NIPAL3	443	363	410	1519	1671	1764
ENSG00000001497	LAS1L	2561	2456	2474	598	528	621
ENSG00000001561	ENPP4	299	209	201	155	194	187
ENSG00000001617	SEMA3F	661	389	621	735	482	696
ENSG00000001626	CFTR	635	134	284	63	62	48
ENSG00000001629	ANKIB1	1994	1590	1591	1926	1915	2041
ENSG00000001630	CYP51A1	41	29	23	38	44	64
ENSG00000001631	KRIT1	1230	1031	1050	613	606	687
ENSG00000002016	RAD52	437	349	381	230	184	195
ENSG00000002079	MYH16	0	0	0	3	1	1
ENSG00000002330	BAD	258	331	340	324	248	272
ENSG00000002549	LAP3	1333	1573	1338	640	762	784
ENSG00000002587	HS3ST1	5	12	5	191	232	342
ENSG00000002726	AOC1	0	0	1	26	17	19
ENSG00000002745	WNT16	0	1	0	10	0	2
ENSG00000002746	HECW1	43	91	78	41	33	41
ENSG00000002822	MAD1L1	599	611	597	374	348	439
ENSG00000002834	LASP1	4929	5506	5300	13284	15154	15842
ENSG00000002919	SNX11	385	395	382	318	326	393
ENSG00000002933	TMEM176A	2	2	5	128	124	327
ENSG00000003056	M6PR	3180	3702	3477	2933	2874	3296
ENSG00000003096	KLHL13	336	320	308	58	62	65
ENSG00000003137	CYP26B1	4	4	8	395	697	806
ENSG00000003147	ICA1	734	728	711	267	375	400
ENSG00000003249	DBNDD1	1570	1212	1490	147	116	191
ENSG00000003393	ALS2	2014	1853	1650	1273	1181	1191
ENSG00000003400	CASP10	130	108	100	16	10	10
ENSG00000003402	CFLAR	594	426	435	1969	2046	2007
ENSG00000003436	TFPI	107	57	52	1346	682	784
ENSG00000003509	NDUFAF7	1227	1425	1360	295	281	251
ENSG00000003756	RBM5	2672	2157	2135	2244	2014	2248
ENSG00000003987	MTMR7	307	235	231	34	62	88
ENSG00000003989	SLC7A2	1218	660	779	1068	1413	1632
ENSG00000004059	ARF5	1501	1660	1677	1382	1389	1497
ENSG00000004139	SARM1	156	162	197	211	86	97
ENSG00000004142	POLDIP2	2066	2467	2162	1154	1057	1237
ENSG00000004399	PLXND1	461	540	540	6156	4612	5049
ENSG00000004455	AK2	2186	2523	2184	1184	1193	1373
ENSG00000004468	CD38	1	2	1	0	3	2
ENSG00000004478	FKBP4	6124	8130	7383	2082	2238	2508
ENSG00000004487	KDM1A	7779	7027	7180	2750	2577	2821
ENSG00000004534	RBM6	2954	2705	2499	1517	1416	1572
ENSG00000004660	CAMKK1	377	341	406	80	49	54
ENSG00000004700	RECQL	1748	1522	1368	1507	1534	1535
ENSG00000004766	CCDC132	503	509	472	503	536	585
ENSG00000004776	HSPB6	25	30	15	139	117	154
ENSG00000004777	ARHGAP33	270	274	284	168	141	187
ENSG00000004779	NDUFAB1	2206	2644	2487	639	702	741
ENSG00000004799	PDK4	7	2	5	160	121	137
ENSG00000004809	SLC22A16	0	2	1	2	0	0
ENSG00000004838	ZMYND10	8	1	2	3	2	5
ENSG00000004846	ABCB5	0	1	0	0	1	1
ENSG00000004848	ARX	4	8	3	0	1	0
ENSG00000004864	SLC25A13	3585	3188	3122	1358	1305	1470
ENSG00000004866	ST7	469	494	499	1177	1082	1080
ENSG00000004897	CDC27	2284	2309	2152	2150	2154	2254
ENSG00000004939	SLC4A1	1	2	0	0	0	0
ENSG00000004948	CALCR	11	12	18	527	416	454
ENSG00000004961	HCCS	1420	1394	1258	906	1006	970
ENSG00000004975	DVL2	1230	1288	1237	620	598	755
ENSG00000005001	PRSS22	107	60	104	136	194	252
ENSG00000005007	UPF1	2976	2680	2775	1791	1813	2075
ENSG00000005020	SKAP2	720	394	497	698	861	991
ENSG00000005022	SLC25A5	6494	7131	6977	2152	2482	2684
ENSG00000005059	CCDC109B	255	323	357	154	132	121
ENSG00000005073	HOXA11	0	0	0	3	0	1
ENSG00000005075	POLR2J	338	335	354	231	225	224
ENSG00000005100	DHX33	2578	2263	2109	625	579	653
ENSG00000005102	MEOX1	3	0	0	288	238	207
ENSG00000005108	THSD7A	412	383	436	89	77	59
ENSG00000005156	LIG3	2764	2918	2590	842	755	886
ENSG00000005175	RPAP3	1519	1743	1508	748	823	841
ENSG00000005187	ACSM3	68	49	49	430	452	522
ENSG00000005189	na	216	269	255	52	31	54
ENSG00000005194	CIAPIN1	2012	2193	1962	789	710	762
ENSG00000005206	SPPL2B	800	790	743	624	475	636
ENSG00000005238	FAM214B	242	221	233	1064	953	1043
ENSG00000005243	COPZ2	5	8	5	212	230	215
ENSG00000005249	PRKAR2B	1956	1425	1533	144	164	126
ENSG00000005302	MSL3	932	816	814	1189	1140	1217
ENSG00000005339	CREBBP	2618	2359	2261	1491	1297	1581
ENSG00000005379	BZRAP1	211	121	121	169	163	178
ENSG00000005381	MPO	1	0	4	0	0	0
ENSG00000005421	PON1	0	1	0	21	1	0
ENSG00000005436	GCFC2	406	481	447	272	277	358
ENSG00000005448	WDR54	503	508	543	56	40	34
ENSG00000005469	CROT	138	145	107	642	538	394
ENSG00000005471	ABCB4	3	4	3	33	6	34
ENSG00000005483	KMT2E	1996	1779	1522	1293	1177	1261
ENSG00000005486	RHBDD2	273	362	296	619	493	584
ENSG00000005513	SOX8	53	57	68	12	3	5
ENSG00000005700	IBTK	1984	2091	1902	1642	1885	1965
ENSG00000005801	ZNF195	1863	1726	1634	833	734	683
ENSG00000005810	MYCBP2	1761	1340	1432	1035	1083	1211
ENSG00000005812	FBXL3	631	547	535	1243	1267	1280
ENSG00000005844	ITGAL	0	0	2	1	0	0
ENSG00000005882	PDK2	414	322	353	205	193	223
ENSG00000005884	ITGA3	489	633	505	7052	6938	6426
ENSG00000005889	ZFX	1266	1045	1072	1237	1212	1317
ENSG00000005893	LAMP2	1531	1483	1374	5406	5576	5474
ENSG00000005961	ITGA2B	41	24	30	4	1	4
ENSG00000005981	ASB4	0	1	0	9	0	1
ENSG00000006007	GDE1	1498	1379	1398	2001	2195	2067
ENSG00000006015	C19orf60	636	656	659	401	315	377
ENSG00000006016	CRLF1	28	68	41	308	90	87
ENSG00000006025	OSBPL7	228	179	194	320	279	311
ENSG00000006042	TMEM98	825	624	755	1623	1176	1390
ENSG00000006047	YBX2	580	471	440	11	3	4
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	172	193	171	262	267	298
ENSG00000006071	ABCC8	48	43	46	0	0	0
ENSG00000006116	CACNG3	0	2	1	0	0	0
ENSG00000006118	TMEM132A	1340	875	1019	2295	2078	2366
ENSG00000006125	AP2B1	8962	8236	7754	8351	8942	9626
ENSG00000006128	TAC1	188	565	604	37	14	6
ENSG00000006194	ZNF263	981	978	873	557	541	613
ENSG00000006210	CX3CL1	27	18	30	90	59	74
ENSG00000006282	SPATA20	676	592	529	798	752	842
ENSG00000006283	CACNA1G	288	94	141	19	2	3
ENSG00000006327	TNFRSF12A	660	1245	894	3635	3747	4267
ENSG00000006377	DLX6	16	3	5	0	1	0
ENSG00000006432	MAP3K9	848	730	698	571	573	668
ENSG00000006451	RALA	2350	2379	2300	1290	1356	1476
ENSG00000006453	BAIAP2L1	1307	1317	1260	1740	1730	1828
ENSG00000006459	KDM7A	522	399	439	399	461	442
ENSG00000006468	ETV1	697	883	861	61	16	22
ENSG00000006530	AGK	711	838	737	473	470	559
ENSG00000006534	ALDH3B1	4	4	7	18	5	14
ENSG00000006555	TTC22	10	10	12	7	16	14
ENSG00000006576	PHTF2	843	826	829	2112	2606	2829
ENSG00000006606	CCL26	12	12	25	0	0	1
ENSG00000006607	FARP2	623	513	455	949	929	1055
ENSG00000006611	USH1C	7	7	8	1	1	0
ENSG00000006625	GGCT	874	741	861	356	388	379
ENSG00000006634	DBF4	1896	1959	1879	286	268	260
ENSG00000006638	TBXA2R	7	14	8	8	1	0
ENSG00000006652	IFRD1	1155	1488	1458	1411	1418	1417
ENSG00000006659	LGALS14	2	5	2	0	0	0
ENSG00000006695	COX10	495	572	509	236	227	254
ENSG00000006704	GTF2IRD1	1015	859	920	429	343	397
ENSG00000006712	PAF1	1087	1244	1068	1094	957	1144
ENSG00000006715	VPS41	2170	1848	1869	1553	1724	1798
ENSG00000006740	ARHGAP44	741	656	634	177	252	255
ENSG00000006744	ELAC2	3099	3458	3155	1405	1246	1509
ENSG00000006747	SCIN	14	26	25	147	368	264
ENSG00000006756	ARSD	295	252	268	1837	2097	2310
ENSG00000006757	PNPLA4	692	733	705	358	319	392
ENSG00000006788	MYH13	0	2	0	0	1	0
ENSG00000006831	ADIPOR2	1399	1250	1128	1734	2026	2196
ENSG00000006837	CDKL3	12	14	16	6	8	16
ENSG00000007001	UPP2	0	0	0	0	0	3
ENSG00000007038	PRSS21	3	6	6	0	1	0
ENSG00000007047	MARK4	858	754	828	711	645	670
ENSG00000007062	PROM1	1996	906	955	174	138	123
ENSG00000007080	CCDC124	1677	1866	1761	773	820	959
ENSG00000007129	CEACAM21	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	4640	4447	4132	5005	5412	5757
ENSG00000007171	NOS2	9	11	9	2	1	2
ENSG00000007174	DNAH9	8	15	11	9	3	5
ENSG00000007202	KIAA0100	4609	4199	4046	3643	3429	4084
ENSG00000007216	SLC13A2	0	0	0	0	0	0
ENSG00000007237	GAS7	531	172	258	408	187	235
ENSG00000007255	TRAPPC6A	303	263	280	99	111	114
ENSG00000007264	MATK	144	184	202	2	0	0
ENSG00000007312	CD79B	7	6	9	2	0	0
ENSG00000007314	SCN4A	165	156	178	0	0	0
ENSG00000007341	ST7L	283	250	238	209	181	170
ENSG00000007350	TKTL1	2	3	2	0	0	0
ENSG00000007372	PAX6	2	11	11	20	7	2
ENSG00000007376	RPUSD1	516	592	568	390	288	340
ENSG00000007384	RHBDF1	595	500	403	1211	1036	1274
ENSG00000007392	LUC7L	2323	2516	2498	1108	1020	954
ENSG00000007402	CACNA2D2	1323	953	970	10	15	15
ENSG00000007516	BAIAP3	71	61	43	15	25	14
ENSG00000007520	TSR3	874	940	855	858	747	818
ENSG00000007541	PIGQ	649	577	574	521	401	539
ENSG00000007545	CRAMP1L	490	384	398	377	345	388
ENSG00000007866	TEAD3	536	722	612	2466	2553	3015
ENSG00000007908	SELE	0	1	1	0	0	0
ENSG00000007923	DNAJC11	3181	3308	3166	1078	993	1161
ENSG00000007933	FMO3	0	0	1	0	0	0
ENSG00000007944	MYLIP	759	564	617	326	198	365
ENSG00000007952	NOX1	0	0	0	1	0	0
ENSG00000007968	E2F2	75	48	59	25	23	14
ENSG00000008018	PSMB1	4841	5062	4708	1877	1997	2138
ENSG00000008056	SYN1	153	165	165	33	33	46
ENSG00000008083	JARID2	8962	7398	8756	692	649	632
ENSG00000008086	CDKL5	1702	1428	1267	773	703	813
ENSG00000008118	CAMK1G	13	4	5	35	18	21
ENSG00000008128	CDK11A	71	86	66	59	49	52
ENSG00000008130	NADK	1581	1600	1541	1138	968	1080
ENSG00000008196	TFAP2B	0	0	1	580	394	684
