id	sym	PT1_A.TAF1714_DE1	PT2_B.TAF1716.1_DE2	PT3_C.TAF1716.2_DE3	GC1_D.TAF1715_DE1	GC2_E.TAF1717.1_DE2	GC3_F.TAF1717.2_DE3
ENSG00000000003	TSPAN6	1610	1864	1833	1200	1775	1315
ENSG00000000005	TNMD	5	3	8	3	5	6
ENSG00000000419	DPM1	490	515	584	333	455	335
ENSG00000000457	SCYL3	290	279	320	230	285	208
ENSG00000000460	C1orf112	192	148	186	92	132	106
ENSG00000000938	FGR	2	3	10	7	7	3
ENSG00000000971	CFH	38	48	54	75	87	53
ENSG00000001036	FUCA2	747	862	907	550	763	549
ENSG00000001084	GCLC	392	419	457	312	437	299
ENSG00000001167	NFYA	448	436	558	299	497	360
ENSG00000001460	STPG1	165	201	218	148	230	162
ENSG00000001461	NIPAL3	330	402	415	287	472	299
ENSG00000001497	LAS1L	582	568	585	360	529	401
ENSG00000001561	ENPP4	435	424	513	342	463	385
ENSG00000001617	SEMA3F	1226	1195	1214	636	752	743
ENSG00000001626	CFTR	50	88	92	104	176	79
ENSG00000001629	ANKIB1	860	981	1125	820	1105	829
ENSG00000001630	CYP51A1	155	184	144	120	114	61
ENSG00000001631	KRIT1	625	658	768	499	686	565
ENSG00000002016	RAD52	276	313	343	196	325	243
ENSG00000002330	BAD	80	103	91	63	76	55
ENSG00000002549	LAP3	697	774	824	604	824	589
ENSG00000002586	CD99	461	468	471	297	414	363
ENSG00000002587	HS3ST1	20	10	34	14	29	16
ENSG00000002726	AOC1	40	87	103	93	132	95
ENSG00000002745	WNT16	6	6	16	13	11	7
ENSG00000002746	HECW1	22	45	52	58	112	55
ENSG00000002822	MAD1L1	288	303	315	178	295	212
ENSG00000002834	LASP1	1021	1139	1124	974	1394	937
ENSG00000002919	SNX11	221	231	192	151	189	154
ENSG00000002933	TMEM176A	90	245	205	271	482	284
ENSG00000003056	M6PR	914	952	1037	648	929	620
ENSG00000003096	KLHL13	493	609	723	681	1126	693
ENSG00000003137	CYP26B1	19	7	17	16	23	16
ENSG00000003147	ICA1	64	68	92	62	83	73
ENSG00000003249	DBNDD1	226	303	299	242	304	252
ENSG00000003393	ALS2	800	792	1017	631	919	713
ENSG00000003400	CASP10	76	83	109	86	111	75
ENSG00000003402	CFLAR	1132	1120	1295	1058	1424	1028
ENSG00000003436	TFPI	238	237	261	223	357	262
ENSG00000003509	NDUFAF7	340	316	397	261	351	299
ENSG00000003756	RBM5	1943	2093	2516	1618	2306	1660
ENSG00000003987	MTMR7	116	94	135	114	101	100
ENSG00000003989	SLC7A2	1628	1601	1843	1210	1367	1171
ENSG00000004059	ARF5	579	705	730	490	713	507
ENSG00000004139	SARM1	46	35	53	45	64	42
ENSG00000004142	POLDIP2	900	1042	1093	813	1088	741
ENSG00000004399	PLXND1	1577	1625	1547	793	728	851
ENSG00000004455	AK2	2261	2281	2391	1635	2121	1713
ENSG00000004468	CD38	12	8	20	9	18	19
ENSG00000004478	FKBP4	1471	1331	1770	864	1324	1111
ENSG00000004487	KDM1A	3350	3064	3563	1908	2484	2139
ENSG00000004534	RBM6	1400	1242	1686	969	1431	1104
ENSG00000004660	CAMKK1	119	111	104	86	92	68
ENSG00000004700	RECQL	459	434	528	335	513	353
ENSG00000004766	VPS50	539	597	692	398	594	480
ENSG00000004776	HSPB6	3	3	6	2	10	7
ENSG00000004777	ARHGAP33	171	132	157	91	133	106
ENSG00000004779	NDUFAB1	600	659	738	530	659	544
ENSG00000004799	PDK4	85	81	92	79	130	73
ENSG00000004809	SLC22A16	6	3	11	4	6	3
ENSG00000004838	ZMYND10	21	47	39	56	70	55
ENSG00000004846	ABCB5	6	2	14	7	9	11
ENSG00000004848	ARX	3	0	2	0	2	5
ENSG00000004864	SLC25A13	817	951	1004	687	901	711
ENSG00000004866	ST7	162	199	241	179	224	175
ENSG00000004897	CDC27	1482	1446	1658	944	1249	1047
ENSG00000004939	SLC4A1	11	6	16	5	19	18
ENSG00000004948	CALCR	22	15	38	8	6	14
ENSG00000004961	HCCS	226	236	239	156	187	155
ENSG00000004975	DVL2	1016	1135	1068	660	934	750
ENSG00000005001	PRSS22	19	13	29	9	20	10
ENSG00000005007	UPF1	1013	1100	1073	681	871	718
ENSG00000005020	SKAP2	421	475	560	362	505	372
ENSG00000005022	SLC25A5	2046	2379	2541	1862	2443	1783
ENSG00000005059	CCDC109B	56	55	75	50	48	41
ENSG00000005073	HOXA11	55	25	37	49	36	34
ENSG00000005075	POLR2J	486	474	505	361	466	357
ENSG00000005100	DHX33	277	282	284	161	175	137
ENSG00000005102	MEOX1	38	41	44	24	82	29
ENSG00000005108	THSD7A	216	216	299	251	319	223
ENSG00000005156	LIG3	1176	1072	1140	717	847	649
ENSG00000005175	RPAP3	708	688	771	468	592	499
ENSG00000005187	ACSM3	512	674	682	550	736	540
ENSG00000005194	CIAPIN1	907	1069	985	717	952	775
ENSG00000005206	SPPL2B	425	501	516	379	447	336
ENSG00000005238	FAM214B	177	223	236	196	236	174
ENSG00000005243	COPZ2	68	65	49	33	63	36
ENSG00000005249	PRKAR2B	436	542	537	415	555	449
ENSG00000005302	MSL3	296	303	361	194	333	225
ENSG00000005339	CREBBP	907	959	1027	756	933	703
ENSG00000005379	TSPOAP1	1070	1173	1197	841	958	831
ENSG00000005381	MPO	2	12	5	3	3	8
ENSG00000005421	PON1	23	26	26	19	27	12
ENSG00000005436	GCFC2	438	397	448	329	324	306
ENSG00000005448	WDR54	300	364	322	253	331	285
ENSG00000005469	CROT	181	218	293	185	287	182
ENSG00000005471	ABCB4	171	160	170	80	87	89
ENSG00000005483	KMT2E	1205	1268	1488	985	1319	1064
ENSG00000005486	RHBDD2	512	599	522	455	489	401
ENSG00000005513	SOX8	57	48	36	24	30	38
ENSG00000005700	IBTK	1892	1806	2061	1351	1721	1313
ENSG00000005801	ZNF195	865	736	833	487	576	484
ENSG00000005810	MYCBP2	899	842	1106	791	940	659
ENSG00000005812	FBXL3	548	651	703	535	688	513
ENSG00000005844	ITGAL	14	10	24	10	21	19
ENSG00000005882	PDK2	295	387	368	258	499	288
ENSG00000005884	ITGA3	1127	1180	1102	683	892	719
ENSG00000005889	ZFX	1559	1547	1682	1181	1490	1223
ENSG00000005893	LAMP2	1676	1788	1896	1396	1811	1331
ENSG00000005961	ITGA2B	52	34	43	33	29	22
ENSG00000005981	ASB4	60	32	52	20	24	31
ENSG00000006007	GDE1	921	981	1081	734	1028	736
ENSG00000006015	C19orf60	80	137	95	60	83	62
ENSG00000006016	CRLF1	16	19	28	15	16	11
ENSG00000006025	OSBPL7	188	218	233	184	201	169
ENSG00000006042	TMEM98	845	947	924	626	868	577
ENSG00000006047	YBX2	200	225	245	177	210	162
ENSG00000006059	KRT33A	0	1	2	0	6	3
ENSG00000006062	MAP3K14	70	70	71	58	56	43
ENSG00000006071	ABCC8	6	9	16	11	19	12
ENSG00000006116	CACNG3	2	4	9	1	6	2
ENSG00000006118	TMEM132A	2119	1975	2013	880	1098	1037
ENSG00000006125	AP2B1	1240	1544	1549	1094	1474	1105
ENSG00000006128	TAC1	5	1	8	2	5	4
ENSG00000006194	ZNF263	628	603	622	449	581	395
ENSG00000006210	CX3CL1	202	331	335	303	485	290
ENSG00000006282	SPATA20	769	985	886	746	1056	641
ENSG00000006283	CACNA1G	91	77	86	62	99	65
ENSG00000006327	TNFRSF12A	201	260	279	239	281	209
ENSG00000006377	DLX6	1	0	7	3	5	9
ENSG00000006432	MAP3K9	279	267	349	253	283	251
ENSG00000006451	RALA	452	524	569	329	492	404
ENSG00000006453	BAIAP2L1	465	472	564	320	375	361
ENSG00000006459	KDM7A	554	445	581	362	471	356
ENSG00000006468	ETV1	235	183	261	117	187	111
ENSG00000006530	AGK	621	598	637	454	550	402
ENSG00000006534	ALDH3B1	21	37	24	20	34	20
ENSG00000006555	TTC22	24	32	42	30	74	35
ENSG00000006576	PHTF2	638	644	723	477	533	478
ENSG00000006606	CCL26	2	0	0	0	1	4
ENSG00000006607	FARP2	636	650	749	495	615	506
ENSG00000006611	USH1C	350	534	522	563	893	549
ENSG00000006625	GGCT	467	393	517	301	401	294
ENSG00000006634	DBF4	548	567	653	330	406	404
ENSG00000006638	TBXA2R	3	5	4	2	4	0
ENSG00000006652	IFRD1	703	650	789	512	608	471
ENSG00000006659	LGALS14	2	4	5	2	3	5
ENSG00000006695	COX10	277	322	327	240	273	249
ENSG00000006704	GTF2IRD1	458	532	572	394	501	352
ENSG00000006712	PAF1	435	490	528	346	549	344
ENSG00000006715	VPS41	1332	1305	1538	986	1242	970
ENSG00000006740	ARHGAP44	141	135	159	117	124	121
ENSG00000006744	ELAC2	836	900	916	657	852	634
ENSG00000006747	SCIN	264	288	363	274	379	265
ENSG00000006756	ARSD	539	586	595	517	748	479
ENSG00000006757	PNPLA4	206	219	228	139	191	139
ENSG00000006788	MYH13	36	24	42	6	32	26
ENSG00000006831	ADIPOR2	935	913	997	589	843	601
ENSG00000006837	CDKL3	41	36	33	27	38	22
ENSG00000007001	UPP2	13	12	17	30	61	25
ENSG00000007038	PRSS21	1	1	3	0	4	2
ENSG00000007047	MARK4	515	483	524	288	381	330
ENSG00000007062	PROM1	753	689	798	493	702	492
ENSG00000007080	CCDC124	143	154	159	113	161	94
ENSG00000007129	CEACAM21	5	0	1	3	4	4
ENSG00000007168	PAFAH1B1	2588	2577	2925	1969	2484	1981
ENSG00000007171	NOS2	16	13	10	10	13	9
ENSG00000007174	DNAH9	31	48	83	79	126	80
ENSG00000007202	KIAA0100	2256	2153	2638	1655	2343	1719
ENSG00000007216	SLC13A2	13	27	31	51	84	54
ENSG00000007237	GAS7	1070	803	807	384	451	468
ENSG00000007255	TRAPPC6A	222	262	216	154	202	146
ENSG00000007264	MATK	12	9	16	7	13	8
ENSG00000007306	CEACAM7	1	2	1	1	3	6
ENSG00000007312	CD79B	5	17	10	10	16	12
ENSG00000007314	SCN4A	52	45	45	23	30	30
ENSG00000007341	ST7L	230	226	257	168	203	171
ENSG00000007350	TKTL1	2	8	7	6	6	5
ENSG00000007372	PAX6	88	70	72	54	59	76
ENSG00000007376	RPUSD1	111	143	137	107	111	86
ENSG00000007384	RHBDF1	206	227	218	139	173	168
ENSG00000007392	LUC7L	1379	1412	1679	879	1378	1053
ENSG00000007402	CACNA2D2	287	236	261	171	251	189
ENSG00000007516	BAIAP3	48	55	64	53	72	39
ENSG00000007520	TSR3	153	156	132	97	151	102
ENSG00000007541	PIGQ	455	605	593	413	511	444
ENSG00000007545	CRAMP1	183	221	202	106	182	150
ENSG00000007866	TEAD3	539	530	530	368	523	395
ENSG00000007908	SELE	4	3	7	1	6	4
ENSG00000007923	DNAJC11	757	787	799	514	723	575
ENSG00000007933	FMO3	4	2	9	8	10	11
ENSG00000007944	MYLIP	723	881	903	672	913	675
ENSG00000007952	NOX1	9	7	21	8	13	12
ENSG00000007968	E2F2	296	260	254	155	150	138
ENSG00000008018	PSMB1	1573	1812	1775	1096	1696	1122
ENSG00000008056	SYN1	23	24	35	12	8	11
ENSG00000008083	JARID2	1241	1021	1104	562	741	663
ENSG00000008086	CDKL5	110	82	114	71	116	89
ENSG00000008118	CAMK1G	90	71	107	38	43	58
ENSG00000008128	CDK11A	44	50	44	34	40	23
ENSG00000008130	NADK	501	648	664	442	567	420
ENSG00000008196	TFAP2B	52	50	78	48	106	64
ENSG00000008197	TFAP2D	7	1	7	2	5	3
ENSG00000008226	DLEC1	58	32	49	26	46	30
ENSG00000008256	CYTH3	367	370	411	222	373	261
ENSG00000008277	ADAM22	419	393	420	259	370	293
ENSG00000008282	SYPL1	635	750	750	551	716	559
ENSG00000008283	CYB561	291	398	365	299	421	312
ENSG00000008294	SPAG9	2091	2256	2656	1841	2447	1737
ENSG00000008300	CELSR3	198	213	246	107	156	147
ENSG00000008311	AASS	857	784	882	563	669	550
ENSG00000008323	PLEKHG6	98	132	139	91	127	96
ENSG00000008324	SS18L2	186	178	227	112	162	126
ENSG00000008382	MPND	150	189	165	103	158	125
ENSG00000008394	MGST1	460	473	432	258	243	241
ENSG00000008405	CRY1	386	399	494	308	388	322
ENSG00000008438	PGLYRP1	9	4	10	5	11	11
ENSG00000008441	NFIX	13	4	16	16	27	15
ENSG00000008513	ST3GAL1	375	451	449	295	377	268
ENSG00000008516	MMP25	4	9	6	4	8	10
ENSG00000008517	IL32	36	63	76	96	254	99
ENSG00000008710	PKD1	605	724	612	412	519	440
ENSG00000008735	MAPK8IP2	17	27	34	15	32	19
ENSG00000008838	MED24	903	961	962	681	826	704
ENSG00000008853	RHOBTB2	276	346	295	257	356	251
ENSG00000008869	HEATR5B	608	626	708	498	642	536
ENSG00000008952	SEC62	1644	1905	2030	1266	1870	1433
ENSG00000008988	RPS20	7791	8729	8676	5176	7474	5223
ENSG00000009307	CSDE1	9372	9185	9824	6020	8211	6484
ENSG00000009335	UBE3C	907	958	1026	689	895	692
ENSG00000009413	REV3L	1190	1059	1262	786	884	807
ENSG00000009694	TENM1	60	59	72	104	95	80
ENSG00000009709	PAX7	11	5	29	7	44	21
ENSG00000009724	MASP2	61	39	74	45	48	44
ENSG00000009765	IYD	40	64	74	84	127	85
ENSG00000009780	FAM76A	283	318	380	237	278	268
ENSG00000009790	TRAF3IP3	15	8	22	16	15	13
ENSG00000009830	POMT2	526	606	617	396	559	415
ENSG00000009844	VTA1	962	1003	1029	696	931	805
ENSG00000009950	MLXIPL	206	268	247	159	179	160
ENSG00000009954	BAZ1B	2517	2162	2679	1475	2285	1680
ENSG00000010017	RANBP9	732	765	773	597	715	574
ENSG00000010030	ETV7	0	3	2	1	3	4
ENSG00000010072	SPRTN	280	255	317	181	206	180
ENSG00000010165	METTL13	226	260	300	197	281	221
ENSG00000010219	DYRK4	247	261	263	164	289	197
ENSG00000010244	ZNF207	3072	3187	3399	2320	2979	2359
ENSG00000010256	UQCRC1	2072	2439	2348	1642	2074	1684
ENSG00000010270	STARD3NL	699	787	841	529	785	595
ENSG00000010278	CD9	450	587	635	573	657	471
ENSG00000010282	HHATL	10	6	7	3	11	6
ENSG00000010292	NCAPD2	1445	1454	1529	801	1205	933
ENSG00000010295	IFFO1	123	135	126	72	120	89
