id	sym	gfp_plus_1	gfp_plus_2	gfp_plus_3	gfp_minus_1	gfp_minus_2	gfp_minus_3
ENSMUSG00000000001	Gnai3	1234	757	1233	631	220	496
ENSMUSG00000000028	Cdc45	81	52	103	57	28	72
ENSMUSG00000000031	H19	5	0	0	0	0	0
ENSMUSG00000000037	Scml2	8	27	8	2	0	0
ENSMUSG00000000049	Apoh	0	0	0	0	5	0
ENSMUSG00000000056	Narf	1467	1370	1366	1434	611	934
ENSMUSG00000000058	Cav2	101	65	92	34	21	18
ENSMUSG00000000078	Klf6	17632	9300	20999	5880	4198	4913
ENSMUSG00000000085	Scmh1	2670	2792	2586	2427	982	1986
ENSMUSG00000000088	Cox5a	46	36	35	21	5	14
ENSMUSG00000000093	Tbx2	16	13	14	13	23	7
ENSMUSG00000000103	Zfy2	0	0	0	0	18	0
ENSMUSG00000000120	Ngfr	0	6	5	0	5	0
ENSMUSG00000000125	Wnt3	1	3	5	7	3	1
ENSMUSG00000000126	Wnt9a	2	0	0	0	0	4
ENSMUSG00000000127	Fer	1516	1660	1488	1263	391	1160
ENSMUSG00000000131	Xpo6	4805	4094	4988	3261	1880	2716
ENSMUSG00000000134	Tfe3	4282	3641	4653	4086	3987	3641
ENSMUSG00000000142	Axin2	25	14	21	9	3	8
ENSMUSG00000000148	Brat1	389	456	413	461	186	401
ENSMUSG00000000149	Gna12	2046	2110	2946	2071	1213	2142
ENSMUSG00000000154	Slc22a18	35	10	51	12	9	1
ENSMUSG00000000157	Itgb2l	539	134	620	6	85	18
ENSMUSG00000000159	Igsf5	6	0	27	10	3	6
ENSMUSG00000000167	Pih1d2	21	3	16	9	3	9
ENSMUSG00000000168	Dlat	1203	647	793	584	230	469
ENSMUSG00000000171	Sdhd	470	343	652	189	97	137
ENSMUSG00000000182	Fgf23	0	0	0	8	65	0
ENSMUSG00000000183	Fgf6	2	0	0	0	17	0
ENSMUSG00000000184	Ccnd2	2302	1194	2330	209	310	83
ENSMUSG00000000194	Gpr107	2729	2126	2777	2412	1225	1945
ENSMUSG00000000197	Nalcn	11	12	29	4	11	6
ENSMUSG00000000202	Btbd17	0	8	10	2	6	14
ENSMUSG00000000204	Slfn4	573	170	694	23	247	12
ENSMUSG00000000214	Th	3	3	0	0	4	1
ENSMUSG00000000216	Scnn1g	2	0	4	1	0	0
ENSMUSG00000000223	Drp2	35	27	36	14	24	11
ENSMUSG00000000244	Tspan32	391	264	535	205	176	214
ENSMUSG00000000247	Lhx2	2	23	27	6	4	5
ENSMUSG00000000248	Clec2g	76	55	136	4	13	2
ENSMUSG00000000253	Gmpr	23	64	57	190	59	135
ENSMUSG00000000263	Glra1	0	0	4	0	3	2
ENSMUSG00000000266	Mid2	17	9	46	30	3	13
ENSMUSG00000000275	Trim25	10113	4469	9901	1626	1590	930
ENSMUSG00000000276	Dgke	541	372	386	146	86	103
ENSMUSG00000000278	Scpep1	2442	1400	2319	1122	1284	970
ENSMUSG00000000282	Mnt	1610	1354	1834	1194	786	958
ENSMUSG00000000290	Itgb2	8442	6608	10808	6844	3019	7445
ENSMUSG00000000295	Hddc2	55	46	48	25	17	46
ENSMUSG00000000296	Tpd52l1	0	0	4	0	0	0
ENSMUSG00000000301	Pemt	2	4	9	5	3	0
ENSMUSG00000000303	Cdh1	44	26	38	10	28	0
ENSMUSG00000000305	Cdh4	22	14	6	5	7	5
ENSMUSG00000000308	Ckmt1	2	2	14	5	5	1
ENSMUSG00000000317	Bcl6b	48	64	70	115	40	92
ENSMUSG00000000318	Clec10a	320	165	461	64	124	13
ENSMUSG00000000320	Alox12	91	59	57	70	48	39
ENSMUSG00000000325	Arvcf	247	187	310	946	307	684
ENSMUSG00000000326	Comt	1616	2062	1893	2633	1450	2320
ENSMUSG00000000339	Rtca	181	135	167	164	78	104
ENSMUSG00000000340	Dbt	206	126	159	154	121	126
ENSMUSG00000000346	Dazap2	5401	3715	6686	2465	3565	2152
ENSMUSG00000000355	Mcts1	420	343	466	339	98	198
ENSMUSG00000000359	Rem1	10	10	6	3	1	0
ENSMUSG00000000365	Rnf17	32	37	46	115	14	58
ENSMUSG00000000374	Trappc10	1235	1040	1445	1348	695	995
ENSMUSG00000000378	Ccm2	1379	1253	1620	1152	616	1059
ENSMUSG00000000381	Wap	4	3	2	3	0	3
ENSMUSG00000000384	Tbrg4	663	515	574	528	230	364
ENSMUSG00000000385	Tmprss2	99	73	86	70	25	49
ENSMUSG00000000386	Mx1	1283	763	1102	402	182	225
ENSMUSG00000000392	Fap	560	535	488	58	54	19
ENSMUSG00000000399	Ndufa9	244	179	122	172	111	113
ENSMUSG00000000402	Egfl6	1	0	0	0	1	0
ENSMUSG00000000409	Lck	30	6	42	20	42	8
ENSMUSG00000000411	Tssk3	8	7	7	5	94	1
ENSMUSG00000000416	Cttnbp2	66	48	139	75	99	49
ENSMUSG00000000420	Galnt1	1909	1524	1725	1068	435	710
ENSMUSG00000000439	Mkrn2	594	419	428	350	131	295
ENSMUSG00000000440	Pparg	137	50	163	2	26	5
ENSMUSG00000000441	Raf1	2364	1567	1829	1436	825	798
ENSMUSG00000000486	Sept1	76	5	18	7	31	15
ENSMUSG00000000489	Pdgfb	2436	2340	2528	4743	1434	2949
ENSMUSG00000000530	Acvrl1	981	658	800	209	295	125
ENSMUSG00000000531	Grasp	998	759	1031	447	222	286
ENSMUSG00000000532	Acvr1b	779	525	822	650	345	459
ENSMUSG00000000538	Tom1l2	1237	1147	1295	1406	682	836
ENSMUSG00000000544	Gpa33	13	13	15	35	3	18
ENSMUSG00000000552	Zfp385a	1979	2170	2523	2455	1331	1962
ENSMUSG00000000555	Itga5	2711	1613	3228	1489	954	1053
ENSMUSG00000000560	Gabra2	19	15	18	9	3	6
ENSMUSG00000000561	Wdr77	141	140	116	145	102	64
ENSMUSG00000000562	Adora3	45	67	226	767	433	788
ENSMUSG00000000563	Atp5f1	517	444	515	324	136	276
ENSMUSG00000000567	Sox9	38	16	62	10	19	27
ENSMUSG00000000568	Hnrnpd	2890	1913	2748	1754	659	1267
ENSMUSG00000000579	Dynlt1c	108	81	64	37	21	38
ENSMUSG00000000581	C1d	126	136	85	153	34	83
ENSMUSG00000000594	Gm2a	2450	1479	2685	1431	1249	1147
ENSMUSG00000000600	Krit1	2488	2139	2201	1998	1223	1643
ENSMUSG00000000605	Clcn4	1162	782	1087	936	315	711
ENSMUSG00000000617	Grm6	1	1	0	0	3	0
ENSMUSG00000000627	Sema4f	29	3	36	16	21	9
ENSMUSG00000000628	Hk2	3642	2610	3313	3744	1555	2845
ENSMUSG00000000631	Myo18a	4072	3310	4439	4778	1835	3307
ENSMUSG00000000632	Sez6	23	21	23	17	16	4
ENSMUSG00000000673	Haao	189	109	226	237	122	98
ENSMUSG00000000682	Cd52	530	353	644	160	821	160
ENSMUSG00000000686	Abhd15	341	294	317	328	170	287
ENSMUSG00000000690	Hoxb6	51	65	79	0	9	0
ENSMUSG00000000693	Loxl3	675	468	557	921	301	598
ENSMUSG00000000706	Btn1a1	0	0	1	0	0	1
ENSMUSG00000000708	Kat2b	1364	1013	1442	785	368	613
ENSMUSG00000000711	Rab5b	544	447	643	418	370	355
ENSMUSG00000000724	Cryba1	24	54	79	53	35	25
ENSMUSG00000000730	Dnmt3l	5	8	16	0	1	1
ENSMUSG00000000731	Aire	0	3	2	0	0	0
ENSMUSG00000000732	Icosl	4705	4596	4405	2413	1363	1862
ENSMUSG00000000738	Spg7	524	484	605	465	153	335
ENSMUSG00000000740	Rpl13	1127	714	830	817	563	297
ENSMUSG00000000743	Chmp1a	190	118	154	170	165	111
ENSMUSG00000000751	Rpa1	326	358	473	306	141	248
ENSMUSG00000000753	Serpinf1	340	243	490	344	304	362
ENSMUSG00000000759	Tubgcp3	1563	1183	1574	1050	473	756
ENSMUSG00000000766	Oprm1	513	544	594	437	221	301
ENSMUSG00000000776	Polr3d	90	88	115	83	55	47
ENSMUSG00000000782	Tcf7	84	39	41	38	11	26
ENSMUSG00000000787	Ddx3x	12397	10075	12715	6163	3171	4662
ENSMUSG00000000791	Il12rb1	18	20	18	0	3	0
ENSMUSG00000000792	Slc5a5	10	9	12	29	14	28
