id	sym	siCTR_1	siCTR_2	siCTR_3	siER_1	siER_2	siER_3
ENSG00000000003	TSPAN6	1720	1564	2966	3052	2717	3859
ENSG00000000419	DPM1	6037	6016	11170	5309	4465	6388
ENSG00000000457	SCYL3	1445	1391	2685	1757	1339	1944
ENSG00000000460	C1orf112	1010	1053	2023	920	672	884
ENSG00000000938	FGR	1	1	1	1	0	0
ENSG00000000971	CFH	4	0	3	3	0	2
ENSG00000001036	FUCA2	4532	4961	9009	5319	5050	7201
ENSG00000001084	GCLC	4537	4386	8269	5819	4813	6846
ENSG00000001167	NFYA	2896	3142	5662	3844	3199	4585
ENSG00000001460	STPG1	276	260	468	291	258	355
ENSG00000001461	NIPAL3	1814	1629	3082	1499	1095	1509
ENSG00000001497	LAS1L	2718	2986	5684	2985	2563	3764
ENSG00000001561	ENPP4	1819	1686	2942	2793	2221	2974
ENSG00000001617	SEMA3F	7454	6966	14153	6724	5192	7890
ENSG00000001626	CFTR	4	3	5	4	2	3
ENSG00000001629	ANKIB1	6349	6736	12598	10499	8393	11290
ENSG00000001630	CYP51A1	613	685	1380	503	511	766
ENSG00000001631	KRIT1	2137	2443	4418	2616	1940	2813
ENSG00000002016	RAD52	326	344	691	313	247	380
ENSG00000002079	MYH16	31	35	54	59	34	39
ENSG00000002330	BAD	1003	1083	2224	819	761	1142
ENSG00000002549	LAP3	5566	5650	10120	5838	5529	8073
ENSG00000002587	HS3ST1	12	10	11	18	17	18
ENSG00000002726	AOC1	67	48	114	73	73	98
ENSG00000002745	WNT16	0	0	2	9	0	6
ENSG00000002746	HECW1	3	1	3	8	5	4
ENSG00000002822	MAD1L1	1757	1942	3928	1817	1584	2339
ENSG00000002834	LASP1	18266	14311	28573	18039	12940	18634
ENSG00000002919	SNX11	2746	2914	5756	2459	2111	3080
ENSG00000002933	TMEM176A	3	1	3	0	2	0
ENSG00000003056	M6PR	6034	6266	12552	5974	5654	8030
ENSG00000003096	KLHL13	373	407	763	266	256	349
ENSG00000003137	CYP26B1	43	51	145	57	41	83
ENSG00000003147	ICA1	4129	4426	8088	3865	3407	4755
ENSG00000003249	DBNDD1	8056	7816	16175	9661	7861	11526
ENSG00000003393	ALS2	2339	2564	4825	3038	2276	3337
ENSG00000003400	CASP10	45	46	88	30	36	40
ENSG00000003402	CFLAR	2821	2980	5698	3604	2645	3827
ENSG00000003436	TFPI	3404	3148	5649	7619	6711	8993
ENSG00000003509	NDUFAF7	753	749	1330	714	582	756
ENSG00000003756	RBM5	3269	3311	6022	4532	3052	4524
ENSG00000003987	MTMR7	186	228	387	234	254	326
ENSG00000003989	SLC7A2	29330	31490	55213	42299	36449	49078
ENSG00000004059	ARF5	8917	8882	18066	8016	7543	11333
ENSG00000004139	SARM1	132	209	350	142	114	177
ENSG00000004142	POLDIP2	6547	6701	13517	6971	6134	9119
ENSG00000004399	PLXND1	11608	13328	26598	21955	17243	25428
ENSG00000004455	AK2	5639	5734	10923	4885	4211	6158
ENSG00000004468	CD38	1	0	8	2	0	6
ENSG00000004478	FKBP4	26986	26097	50602	16959	14339	21127
ENSG00000004487	KDM1A	6837	7277	13792	5476	4214	6252
ENSG00000004534	RBM6	2854	3044	5498	4412	2537	4017
ENSG00000004660	CAMKK1	157	163	343	192	123	244
ENSG00000004700	RECQL	1662	1862	3509	1474	1317	1709
ENSG00000004766	VPS50	1668	1807	3119	1799	1358	2019
ENSG00000004776	HSPB6	1	2	7	2	2	3
ENSG00000004777	ARHGAP33	509	575	1361	332	226	382
ENSG00000004779	NDUFAB1	5199	5075	9302	5362	5466	7595
ENSG00000004799	PDK4	80	62	119	80	69	75
ENSG00000004809	SLC22A16	0	0	1	1	0	0
ENSG00000004838	ZMYND10	78	92	186	83	102	163
ENSG00000004848	ARX	146	139	302	179	193	278
ENSG00000004864	SLC25A13	2235	2683	5063	2090	1852	2555
ENSG00000004866	ST7	1159	1170	2359	1271	1020	1403
ENSG00000004897	CDC27	5078	5986	11052	4926	4660	6185
ENSG00000004939	SLC4A1	1	1	2	3	0	2
ENSG00000004948	CALCR	1968	2057	3879	185	145	212
ENSG00000004961	HCCS	2297	2100	4003	2118	1653	2441
ENSG00000004975	DVL2	2384	2563	5201	2713	2316	3533
ENSG00000005001	PRSS22	1493	1283	2698	1557	1009	1665
ENSG00000005007	UPF1	11007	11368	23232	12136	9890	14590
ENSG00000005020	SKAP2	3175	3325	6088	3737	2891	3846
ENSG00000005022	SLC25A5	35043	36590	72955	26903	24212	35336
ENSG00000005059	CCDC109B	902	1189	2156	538	533	755
ENSG00000005073	HOXA11	20	8	28	14	12	17
ENSG00000005075	POLR2J	3218	3170	6829	2413	2130	3393
ENSG00000005100	DHX33	1838	2005	3851	1121	772	1113
ENSG00000005102	MEOX1	0	0	0	1	0	0
ENSG00000005108	THSD7A	5	1	3	5	2	3
ENSG00000005156	LIG3	1594	1674	3400	1518	1177	1801
ENSG00000005175	RPAP3	3468	3681	6508	4014	3460	4731
