id	sym	Control_1	Control_2	Control_3	shEZH2_day4_1	shEZH2_day4_2	shEZH2_day4_3
ENSG00000000003	TSPAN6	415	335	267	683	518	615
ENSG00000000419	DPM1	403	320	228	431	301	317
ENSG00000000457	SCYL3	117	84	54	142	108	130
ENSG00000000460	C1orf112	248	173	142	68	61	39
ENSG00000000938	FGR	1	0	0	0	0	1
ENSG00000000971	CFH	92	66	59	395	219	281
ENSG00000001036	FUCA2	1709	1418	1197	1206	906	1015
ENSG00000001084	GCLC	838	586	449	764	470	595
ENSG00000001167	NFYA	765	499	433	578	415	484
ENSG00000001460	STPG1	537	416	383	238	185	245
ENSG00000001461	NIPAL3	4095	3000	2614	2781	2128	2659
ENSG00000001497	LAS1L	1394	1160	1109	495	367	583
ENSG00000001561	ENPP4	0	1	1	0	0	0
ENSG00000001617	SEMA3F	3263	2552	2911	4461	3409	4785
ENSG00000001626	CFTR	1	0	0	387	223	222
ENSG00000001629	ANKIB1	654	422	346	819	582	622
ENSG00000001630	CYP51A1	166	142	92	172	74	137
ENSG00000001631	KRIT1	169	133	110	149	123	131
ENSG00000002016	RAD52	108	90	54	65	54	66
ENSG00000002079	MYH16	1	0	1	15	8	13
ENSG00000002330	BAD	444	406	376	321	262	344
ENSG00000002549	LAP3	1520	1106	925	787	605	671
ENSG00000002587	HS3ST1	16	7	11	21	12	24
ENSG00000002745	WNT16	96	69	48	58	60	52
ENSG00000002746	HECW1	81	51	54	39	31	39
ENSG00000002822	MAD1L1	1206	986	1092	450	350	469
ENSG00000002834	LASP1	26176	19562	21298	8305	6725	9552
ENSG00000002919	SNX11	554	446	417	361	313	451
ENSG00000002933	TMEM176A	1	1	0	2	1	1
ENSG00000003056	M6PR	1860	1350	1222	733	485	735
ENSG00000003096	KLHL13	77	68	40	60	41	48
ENSG00000003137	CYP26B1	14	4	6	111	77	100
ENSG00000003249	DBNDD1	454	321	366	408	354	531
ENSG00000003393	ALS2	819	463	438	881	568	775
ENSG00000003400	CASP10	4	9	10	6	1	4
ENSG00000003402	CFLAR	905	641	578	683	502	723
ENSG00000003436	TFPI	437	343	248	2872	1732	1785
ENSG00000003509	NDUFAF7	166	131	110	187	110	132
ENSG00000003756	RBM5	1031	744	599	1068	744	908
ENSG00000003987	MTMR7	9	18	5	12	12	9
ENSG00000003989	SLC7A2	1210	752	591	675	408	466
ENSG00000004059	ARF5	2010	1680	1916	1513	1248	1816
ENSG00000004139	SARM1	187	154	151	127	64	99
ENSG00000004142	POLDIP2	3411	2749	3000	1479	1230	1607
ENSG00000004399	PLXND1	5708	4241	4536	3596	2755	3961
ENSG00000004455	AK2	3429	2846	2565	1550	1140	1484
ENSG00000004468	CD38	1	0	0	0	0	1
ENSG00000004478	FKBP4	3797	3279	3441	1511	1212	1639
ENSG00000004487	KDM1A	3086	2561	2269	2069	1590	1874
ENSG00000004534	RBM6	878	720	571	692	441	574
ENSG00000004660	CAMKK1	314	253	247	349	280	414
ENSG00000004700	RECQL	349	328	245	688	483	454
ENSG00000004766	VPS50	84	83	60	162	93	110
ENSG00000004776	HSPB6	1973	1541	1968	649	560	791
