id	sym	Ctrl_1	Ctrl_2	Ctrl_3	Insm1_1	Insm1_2	Insm1_3
ENSMUSG00000000001	Gnai3	12120	11741	10763	11498	11970	11522
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	1173	1611	1022	1464	926	1188
ENSMUSG00000000037	Scml2	62	137	79	187	76	88
ENSMUSG00000000049	Apoh	0	0	3	0	0	0
ENSMUSG00000000056	Narf	3783	3908	3955	4070	4428	4609
ENSMUSG00000000058	Cav2	245	151	128	119	154	154
ENSMUSG00000000078	Klf6	2149	2225	2274	1411	1202	1483
ENSMUSG00000000085	Scmh1	1460	1551	1323	1286	1548	1358
ENSMUSG00000000088	Cox5a	4809	4878	4613	5238	4942	5299
ENSMUSG00000000093	Tbx2	13	26	7	4	19	10
ENSMUSG00000000094	Tbx4	1	0	0	1	0	1
ENSMUSG00000000103	Zfy2	0	2	0	0	0	0
ENSMUSG00000000120	Ngfr	116	44	114	46	30	7
ENSMUSG00000000125	Wnt3	2	9	7	9	3	9
ENSMUSG00000000126	Wnt9a	1	4	7	1	17	1
ENSMUSG00000000127	Fer	981	981	930	1053	966	914
ENSMUSG00000000131	Xpo6	4316	4222	4401	4690	4961	4847
ENSMUSG00000000134	Tfe3	1131	1405	913	1215	1446	1326
ENSMUSG00000000142	Axin2	248	331	393	263	283	228
ENSMUSG00000000148	Brat1	1004	1136	1146	1101	1043	945
ENSMUSG00000000149	Gna12	5845	5968	5823	5149	6127	5989
ENSMUSG00000000154	Slc22a18	0	0	7	0	0	0
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	4	0	1	0	1
ENSMUSG00000000167	Pih1d2	21	32	35	24	44	40
ENSMUSG00000000168	Dlat	3315	3444	3462	3611	3450	3692
ENSMUSG00000000171	Sdhd	2547	2496	2394	2444	2347	2306
ENSMUSG00000000182	Fgf23	0	5	0	0	6	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	28486	29724	27768	30455	25979	25675
ENSMUSG00000000194	Gpr107	1636	1894	1764	1826	1615	1726
ENSMUSG00000000197	Nalcn	144	11	58	24	37	38
ENSMUSG00000000202	Btbd17	1609	1511	1375	1606	1505	1531
ENSMUSG00000000204	Slfn4	0	0	0	1	0	1
ENSMUSG00000000214	Th	3	0	0	8	11	35
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	460	232	430	198	248	320
ENSMUSG00000000244	Tspan32	5	5	1	1	3	3
ENSMUSG00000000247	Lhx2	24827	21702	20594	29019	30304	25978
ENSMUSG00000000248	Clec2g	0	0	1	1	0	0
ENSMUSG00000000253	Gmpr	113	190	149	143	151	177
ENSMUSG00000000263	Glra1	0	0	1	0	0	1
ENSMUSG00000000266	Mid2	116	46	16	47	114	84
ENSMUSG00000000275	Trim25	278	104	590	1081	507	219
ENSMUSG00000000276	Dgke	1408	1224	1061	1230	1305	1224
ENSMUSG00000000278	Scpep1	1103	1114	1155	1299	1124	933
ENSMUSG00000000282	Mnt	1861	1894	1616	1986	2358	2219
ENSMUSG00000000290	Itgb2	1	23	27	6	30	3
ENSMUSG00000000295	Hddc2	803	637	788	705	668	734
ENSMUSG00000000296	Tpd52l1	49	76	54	75	103	61
ENSMUSG00000000301	Pemt	63	21	45	26	42	38
ENSMUSG00000000303	Cdh1	0	0	0	0	0	0
ENSMUSG00000000305	Cdh4	5202	6338	5332	4614	5413	7825
ENSMUSG00000000308	Ckmt1	110	67	26	60	68	86
ENSMUSG00000000317	Bcl6b	85	85	89	30	34	46
ENSMUSG00000000318	Clec10a	0	0	0	0	1	0
ENSMUSG00000000320	Alox12	2	5	2	3	2	2
ENSMUSG00000000325	Arvcf	3938	4171	3640	3935	3693	3947
ENSMUSG00000000326	Comt	1304	1415	1209	1217	1113	1268
ENSMUSG00000000339	Rtca	1445	1658	1540	1788	1381	1668
ENSMUSG00000000340	Dbt	693	628	752	599	819	602
ENSMUSG00000000346	Dazap2	10884	10604	9628	10247	11182	11015
ENSMUSG00000000355	Mcts1	841	761	970	856	826	871
ENSMUSG00000000359	Rem1	2	0	0	0	1	1
ENSMUSG00000000365	Rnf17	5	2	7	1	1	38
ENSMUSG00000000374	Trappc10	819	722	814	824	905	872
ENSMUSG00000000378	Ccm2	1974	1896	1958	1941	2098	1991
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	270	343	334	352	305	322
ENSMUSG00000000385	Tmprss2	0	0	0	0	0	0
ENSMUSG00000000386	Mx1	2	0	0	2	16	3
ENSMUSG00000000392	Fap	0	9	0	0	0	2
ENSMUSG00000000394	Gcg	56	92	53	53	33	49
ENSMUSG00000000399	Ndufa9	3358	3088	3296	3167	3198	3154
ENSMUSG00000000402	Egfl6	30	12	34	9	7	13
ENSMUSG00000000409	Lck	113	199	101	164	111	141
ENSMUSG00000000411	Tssk3	0	4	2	0	0	0
ENSMUSG00000000416	Cttnbp2	3464	4179	3941	4643	5195	4604
ENSMUSG00000000420	Galnt1	4196	3326	3723	3326	3779	3445
ENSMUSG00000000435	Myf5	16	16	18	24	12	12
ENSMUSG00000000439	Mkrn2	1576	1373	1468	1370	1629	1648
ENSMUSG00000000440	Pparg	2	0	2	11	3	0
ENSMUSG00000000441	Raf1	8620	9271	8762	8707	9253	9217
ENSMUSG00000000486	Sept1	118	90	135	83	57	59
ENSMUSG00000000489	Pdgfb	2	21	15	3	0	0
ENSMUSG00000000530	Acvrl1	0	0	1	2	14	7
ENSMUSG00000000531	Grasp	324	410	327	503	520	345
ENSMUSG00000000532	Acvr1b	399	451	364	448	461	550
ENSMUSG00000000538	Tom1l2	2626	3054	2564	2664	2841	2809
ENSMUSG00000000544	Gpa33	0	0	0	0	0	0
ENSMUSG00000000552	Zfp385a	759	664	656	862	741	559
ENSMUSG00000000555	Itga5	164	262	214	161	145	122
ENSMUSG00000000560	Gabra2	638	389	552	353	381	323
ENSMUSG00000000561	Wdr77	3534	3172	3381	3353	3148	2953
ENSMUSG00000000562	Adora3	1	0	8	0	3	0
ENSMUSG00000000563	Atp5f1	9457	9111	9395	8999	9120	8943
ENSMUSG00000000567	Sox9	10246	8767	8937	6884	6392	4558
ENSMUSG00000000568	Hnrnpd	15465	15857	15139	16812	15785	14500
ENSMUSG00000000579	Dynlt1c	1357	1414	1472	1478	1389	1476
ENSMUSG00000000581	C1d	2386	2025	2446	2021	2182	2184
ENSMUSG00000000594	Gm2a	930	764	829	741	739	647
ENSMUSG00000000600	Krit1	1629	1447	1646	1634	1714	1489
ENSMUSG00000000605	Clcn4	4991	4528	5214	4706	6115	5844
ENSMUSG00000000606	Vmn2r88	0	0	0	1	0	0
ENSMUSG00000000617	Grm6	0	0	0	0	0	0
ENSMUSG00000000627	Sema4f	301	209	381	230	267	289
ENSMUSG00000000628	Hk2	1225	1125	1209	997	1212	1158
ENSMUSG00000000631	Myo18a	5495	5172	5736	5828	5467	5391
ENSMUSG00000000632	Sez6	14925	9834	13466	7626	9438	8318
ENSMUSG00000000673	Haao	0	0	0	0	0	3
ENSMUSG00000000682	Cd52	0	32	5	4	26	6
ENSMUSG00000000686	Abhd15	29	18	33	38	24	28
ENSMUSG00000000690	Hoxb6	2	2	4	1	2	2
ENSMUSG00000000693	Loxl3	52	51	59	49	71	50
ENSMUSG00000000701	Tcl1b5	0	0	0	1	0	0
ENSMUSG00000000706	Btn1a1	0	2	4	2	0	6
ENSMUSG00000000708	Kat2b	448	630	626	685	508	582
ENSMUSG00000000711	Rab5b	2257	2220	2281	2050	2189	2106
ENSMUSG00000000724	Cryba1	2	0	0	4	0	0
ENSMUSG00000000730	Dnmt3l	0	0	0	0	0	0
ENSMUSG00000000731	Aire	0	0	0	0	0	0
ENSMUSG00000000732	Icosl	11	37	13	23	4	28
ENSMUSG00000000738	Spg7	1329	1218	1336	1271	1205	1585
ENSMUSG00000000739	Sult5a1	0	0	5	7	0	3
ENSMUSG00000000740	Rpl13	17804	16186	16677	17765	16742	17322
ENSMUSG00000000743	Chmp1a	4344	4142	3762	3820	4447	4114
ENSMUSG00000000751	Rpa1	4942	5449	5216	4766	4637	4345
ENSMUSG00000000753	Serpinf1	2	4	4	8	22	3
ENSMUSG00000000759	Tubgcp3	2234	2549	2371	2430	1988	1969
ENSMUSG00000000766	Oprm1	3	5	1	3	4	3
ENSMUSG00000000776	Polr3d	892	736	787	861	781	665
ENSMUSG00000000782	Tcf7	74	30	48	60	61	86
ENSMUSG00000000787	Ddx3x	11569	13374	11270	13144	12698	11283
ENSMUSG00000000791	Il12rb1	0	0	0	0	0	0
ENSMUSG00000000792	Slc5a5	25	18	14	29	21	17
ENSMUSG00000000794	Kcnn3	128	150	139	241	248	276
ENSMUSG00000000804	Usp32	1565	1331	1217	1375	1542	1713
ENSMUSG00000000805	Car4	0	0	0	0	0	1
ENSMUSG00000000811	Txnrd3	308	183	206	184	421	306
ENSMUSG00000000817	Fasl	0	0	0	0	0	0
ENSMUSG00000000823	Zfp512b	2746	3154	2504	2760	3035	2710
ENSMUSG00000000826	Dnajc5	6675	6303	6451	5856	7060	7150
