id	sym	Ishi_Dex_1	Ishi_Dex_2	Ishi_DMSO_1	Ishi_DMSO_2
ENSG00000000003	TSPAN6	1805	1804	1549	1919
ENSG00000000005	TNMD	1	0	0	0
ENSG00000000419	DPM1	828	746	787	759
ENSG00000000457	SCYL3	299	237	241	244
ENSG00000000460	C1orf112	451	423	456	516
ENSG00000000971	CFH	6	7	3	5
ENSG00000001036	FUCA2	3919	3780	3441	3940
ENSG00000001084	GCLC	1269	1088	1467	1343
ENSG00000001167	NFYA	1525	1244	1516	1439
ENSG00000001460	STPG1	308	346	306	297
ENSG00000001461	NIPAL3	1994	1599	1614	1886
ENSG00000001497	LAS1L	2435	2089	2591	2684
ENSG00000001561	ENPP4	1796	1545	1722	1663
ENSG00000001617	SEMA3F	2758	2151	2049	2240
ENSG00000001626	CFTR	0	0	0	1
ENSG00000001629	ANKIB1	1550	1170	1658	1542
ENSG00000001630	CYP51A1	287	140	221	258
ENSG00000001631	KRIT1	802	652	871	745
ENSG00000002016	RAD52	322	307	341	338
ENSG00000002079	MYH16	0	5	0	1
ENSG00000002330	BAD	1090	1122	787	1215
ENSG00000002549	LAP3	1660	1583	1756	1874
ENSG00000002587	HS3ST1	7	2	10	7
ENSG00000002726	AOC1	2	1	2	1
ENSG00000002745	WNT16	0	0	0	1
ENSG00000002746	HECW1	19	14	15	14
ENSG00000002822	MAD1L1	391	344	345	399
ENSG00000002834	LASP1	5292	5197	4857	5721
ENSG00000002919	SNX11	466	461	459	612
ENSG00000003056	M6PR	6111	5679	5784	6296
ENSG00000003096	KLHL13	421	351	383	460
ENSG00000003137	CYP26B1	68	48	60	56
ENSG00000003147	ICA1	627	607	572	615
ENSG00000003249	DBNDD1	583	577	519	619
ENSG00000003393	ALS2	880	792	964	1000
ENSG00000003400	CASP10	488	456	331	324
ENSG00000003402	CFLAR	1106	707	910	647
ENSG00000003436	TFPI	6	9	10	15
ENSG00000003509	NDUFAF7	96	102	97	119
ENSG00000003756	RBM5	1092	778	1141	916
ENSG00000003987	MTMR7	131	99	109	101
ENSG00000003989	SLC7A2	15	14	21	9
ENSG00000004059	ARF5	2220	2583	1769	2476
ENSG00000004139	SARM1	755	613	668	689
ENSG00000004142	POLDIP2	3351	3162	2628	3410
ENSG00000004399	PLXND1	2171	1907	1942	2197
ENSG00000004455	AK2	3130	2956	2716	3011
ENSG00000004468	CD38	17	22	12	24
ENSG00000004478	FKBP4	10389	8204	8749	9492
ENSG00000004487	KDM1A	3856	3365	3642	3864
ENSG00000004534	RBM6	1320	1020	1412	1131
ENSG00000004660	CAMKK1	325	253	278	261
ENSG00000004700	RECQL	2736	2137	2640	2404
ENSG00000004766	CCDC132	569	502	562	611
ENSG00000004776	HSPB6	24	32	18	21
ENSG00000004777	ARHGAP33	200	136	186	202
