sym	WT_ctr_1	WT_ctr_2	WT_ctr_3	WT_4Gy4h_1	WT_4Gy4h_2	WT_4Gy4h_3
ENSG00000121410	A1BG	893	316	458	622	358	308
ENSG00000268895	A1BG-AS1	116	40	52	77	73	46
ENSG00000148584	A1CF	13	2	8	18	23	16
ENSG00000175899	A2M	2573	1557	1109	2285	2907	2438
ENSG00000245105	A2M-AS1	182	63	168	88	103	97
ENSG00000166535	A2ML1	28	3	11	21	26	16
ENSG00000256069	A2MP1	0	0	0	0	0	0
ENSG00000184389	A3GALT2	2	1	3	2	1	2
ENSG00000128274	A4GALT	515	208	263	273	212	139
ENSG00000118017	A4GNT	3	1	5	3	2	2
ENSG00000094914	AAAS	7315	2792	3593	5337	4470	3300
ENSG00000081760	AACS	4458	1682	2038	2975	2754	1923
ENSG00000250420	AACSP1	494	183	228	296	303	241
ENSG00000114771	AADAC	148	25	85	116	145	107
ENSG00000197953	AADACL2	0	0	0	0	0	0
ENSG00000242908	AADACL2-AS1	20	9	18	13	7	6
ENSG00000188984	AADACL3	0	0	0	0	0	1
ENSG00000204518	AADACL4	0	0	0	0	0	0
ENSG00000240602	AADACP1	112	24	77	94	134	125
ENSG00000109576	AADAT	1201	314	881	869	1228	963
ENSG00000158122	AAED1	857	229	524	537	684	730
ENSG00000103591	AAGAB	5157	1418	3861	3620	4574	3749
ENSG00000115977	AAK1	6132	1752	3317	3712	4529	3293
ENSG00000087884	AAMDC	372	185	301	255	274	272
ENSG00000127837	AAMP	11112	4199	4626	8442	5573	4150
ENSG00000129673	AANAT	39	16	24	44	36	26
ENSG00000131043	AAR2	5910	1988	2680	4331	3961	2810
ENSG00000205002	AARD	640	191	585	299	398	262
ENSG00000090861	AARS	19261	6712	9003	11901	10028	6781
ENSG00000124608	AARS2	5167	1748	1970	3571	2898	1873
ENSG00000266967	AARSD1	6	10	5	7	13	3
ENSG00000157426	AASDH	696	185	638	476	717	704
ENSG00000149313	AASDHPPT	2635	605	3002	2021	3691	3588
ENSG00000008311	AASS	751	221	730	506	864	759
ENSG00000275700	AATF	11056	3378	5487	8963	7621	5552
ENSG00000181409	AATK	190	114	156	142	113	119
ENSG00000225180	AATK-AS1	7	2	3	2	4	1
ENSG00000183044	ABAT	869	385	669	538	816	878
ENSG00000165029	ABCA1	219	85	162	156	370	319
ENSG00000154263	ABCA10	10	5	13	8	22	15
ENSG00000251595	ABCA11P	84	29	50	51	87	66
ENSG00000144452	ABCA12	17	0	7	21	30	51
ENSG00000179869	ABCA13	1049	335	703	723	897	785
ENSG00000238098	ABCA17P	149	67	78	57	57	33
ENSG00000107331	ABCA2	8708	3419	3251	6148	4604	3011
ENSG00000167972	ABCA3	401	145	179	208	168	132
ENSG00000198691	ABCA4	231	75	127	198	260	224
ENSG00000154265	ABCA5	212	54	273	177	412	437
ENSG00000154262	ABCA6	0	0	0	0	1	2
ENSG00000064687	ABCA7	1368	597	665	617	588	427
ENSG00000141338	ABCA8	6	2	2	5	7	1
ENSG00000154258	ABCA9	32	10	15	20	42	32
ENSG00000085563	ABCB1	1072	309	742	838	1178	1146
ENSG00000135776	ABCB10	2363	683	1480	1607	2054	1785
ENSG00000073734	ABCB11	1	0	1	0	2	0
ENSG00000005471	ABCB4	372	149	388	198	368	321
ENSG00000004846	ABCB5	140	69	160	111	154	148
ENSG00000115657	ABCB6	300	121	172	240	239	165
ENSG00000131269	ABCB7	2523	768	1804	1627	2215	2041
ENSG00000197150	ABCB8	1466	547	590	886	637	467
ENSG00000150967	ABCB9	2685	1062	1115	2162	1894	1095
ENSG00000103222	ABCC1	6203	2135	2694	4389	4156	3247
ENSG00000124574	ABCC10	2028	757	704	1347	1095	644
ENSG00000121270	ABCC11	14	1	8	7	4	8
ENSG00000140798	ABCC12	1	2	1	4	6	0
ENSG00000243064	ABCC13	11	5	5	3	15	7
ENSG00000023839	ABCC2	466	87	152	418	336	243
ENSG00000108846	ABCC3	2957	1380	1859	1819	2272	1933
ENSG00000125257	ABCC4	2457	621	1407	1813	2132	1676
ENSG00000114770	ABCC5	3154	1048	1712	2171	2119	1838
ENSG00000223882	ABCC5-AS1	0	0	0	0	2	1
ENSG00000091262	ABCC6	101	49	103	55	46	47
ENSG00000256340	ABCC6P1	6	6	23	6	7	16
ENSG00000255277	ABCC6P2	3	1	8	2	4	1
ENSG00000006071	ABCC8	48	34	52	27	41	44
ENSG00000069431	ABCC9	515	143	401	422	677	521
ENSG00000101986	ABCD1	2161	929	979	1211	1080	676
ENSG00000173208	ABCD2	18	8	40	5	28	25
ENSG00000117528	ABCD3	4598	1176	4188	3293	5484	4862
ENSG00000119688	ABCD4	3207	1242	1797	2020	1941	1541
ENSG00000164163	ABCE1	8026	1689	7431	6601	11866	9802
ENSG00000204574	ABCF1	0	0	0	0	0	0
ENSG00000033050	ABCF2	4676	1540	1872	3507	2863	1978
ENSG00000161204	ABCF3	5796	2152	2549	3827	2975	2083
ENSG00000160179	ABCG1	1305	640	816	539	827	755
ENSG00000118777	ABCG2	149	43	95	132	114	126
ENSG00000172350	ABCG4	236	89	107	92	82	67
ENSG00000138075	ABCG5	5	2	0	1	2	1
ENSG00000143921	ABCG8	1	0	0	5	1	2
ENSG00000143994	ABHD1	31	6	13	15	13	10
ENSG00000144827	ABHD10	2459	688	1698	1749	1986	1758
ENSG00000106077	ABHD11	1820	639	891	1112	1019	679
ENSG00000100997	ABHD12	6190	2174	3360	4147	3843	3120
ENSG00000131969	ABHD12B	7	3	7	2	8	7
ENSG00000139826	ABHD13	727	173	842	559	1101	982
ENSG00000248487	ABHD14A	361	146	200	250	187	158
ENSG00000114786	ABHD14A-ACY1	0	0	0	0	0	0
ENSG00000114779	ABHD14B	8972	3027	4038	6382	4846	3589
ENSG00000168792	ABHD15	1304	432	714	622	641	486
ENSG00000204427	ABHD16A	0	0	0	0	0	0
ENSG00000183260	ABHD16B	2085	737	733	1515	982	687
ENSG00000129968	ABHD17A	6483	2255	3112	4440	3523	2426
ENSG00000107362	ABHD17B	1471	460	1167	876	1141	1056
ENSG00000136379	ABHD17C	994	319	691	672	754	719
ENSG00000140526	ABHD2	7111	2294	3403	5172	5857	4591
ENSG00000158201	ABHD3	687	177	580	463	585	535
ENSG00000100439	ABHD4	2552	969	1426	1853	1752	1446
ENSG00000011198	ABHD5	1277	360	995	906	1231	1109
ENSG00000163686	ABHD6	850	241	490	487	422	357
ENSG00000127220	ABHD8	2242	984	1122	1138	877	640
ENSG00000136754	ABI1	3707	1104	3098	2697	3783	3536
ENSG00000138443	ABI2	6771	2102	5081	5206	6827	6242
ENSG00000108798	ABI3	1595	443	457	1037	541	346
ENSG00000154175	ABI3BP	12	8	17	19	17	14
ENSG00000097007	ABL1	15739	5723	7258	10511	9816	7016
ENSG00000143322	ABL2	10009	2809	5329	9539	11292	9409
ENSG00000099204	ABLIM1	7287	2711	6366	4942	7729	7780
ENSG00000163995	ABLIM2	94	44	65	64	64	49
ENSG00000173210	ABLIM3	764	266	413	493	463	341
ENSG00000175164	ABO	3	2	3	0	3	1
ENSG00000159842	ABR	8199	2854	3070	5334	4336	3445
ENSG00000174429	ABRA	2	0	1	2	4	4
ENSG00000146386	ABRACL	273	94	360	181	347	364
ENSG00000146109	ABT1	2999	1040	1355	2158	1785	1186
ENSG00000114626	ABTB1	1140	567	591	776	602	567
ENSG00000166016	ABTB2	329	113	132	256	252	157
ENSG00000060971	ACAA1	2864	1215	1502	1876	1567	1166
