id	sym	matr3_yfp_1	matr3_yfp_2	matr3_yfp_3	matr3_f115c_1	matr3_f115c_2	matr3_f115c_3
ENSG00000000003	TSPAN6	511	404	344	486	469	461
ENSG00000000419	DPM1	1228	1100	1074	1158	1138	1069
ENSG00000000457	SCYL3	175	237	173	206	222	196
ENSG00000000460	C1orf112	241	239	152	250	235	216
ENSG00000000938	FGR	3	3	11	3	6	6
ENSG00000000971	CFH	2049	2166	1524	2365	2718	2349
ENSG00000001036	FUCA2	3088	2763	2407	2984	3152	2859
ENSG00000001084	GCLC	2766	2620	2355	2858	3029	3014
ENSG00000001167	NFYA	1504	1537	1532	1703	1593	1551
ENSG00000001460	STPG1	92	111	117	116	94	105
ENSG00000001461	NIPAL3	667	836	1127	755	577	752
ENSG00000001497	LAS1L	1870	1973	1997	2136	1864	1747
ENSG00000001561	ENPP4	67	88	64	73	79	75
ENSG00000001617	SEMA3F	159	148	97	161	196	151
ENSG00000001626	CFTR	2	4	3	2	2	7
ENSG00000001629	ANKIB1	3999	3839	2849	3757	4509	3939
ENSG00000001630	CYP51A1	278	272	257	319	300	330
ENSG00000001631	KRIT1	1142	1358	1163	1268	1422	1394
ENSG00000002016	RAD52	174	239	199	192	213	230
ENSG00000002079	MYH16	6	9	11	9	6	8
ENSG00000002330	BAD	570	506	465	574	560	513
ENSG00000002549	LAP3	14830	11503	9036	11384	14527	10036
ENSG00000002587	HS3ST1	36	36	23	30	37	25
ENSG00000002726	AOC1	22	11	5	14	28	12
ENSG00000002745	WNT16	1	1	2	1	3	1
ENSG00000002746	HECW1	346	334	297	389	383	400
ENSG00000002822	MAD1L1	2758	2749	3136	2915	2795	2423
ENSG00000002834	LASP1	4381	4376	4148	4853	4724	4127
ENSG00000002919	SNX11	781	697	652	723	759	640
ENSG00000002933	TMEM176A	3	2	2	1	0	0
ENSG00000003056	M6PR	2768	2939	2681	3017	2847	2767
ENSG00000003096	KLHL13	210	140	143	252	190	223
ENSG00000003137	CYP26B1	621	530	391	477	725	543
ENSG00000003147	ICA1	84	79	67	62	123	80
ENSG00000003249	DBNDD1	524	472	439	489	597	426
ENSG00000003393	ALS2	1142	1210	1143	1206	1243	1141
ENSG00000003400	CASP10	50	52	33	43	49	33
ENSG00000003402	CFLAR	1003	947	660	756	1052	769
ENSG00000003436	TFPI	2915	2805	2509	3214	3018	3109
ENSG00000003509	NDUFAF7	123	121	162	152	143	117
ENSG00000003756	RBM5	768	1114	959	767	1087	930
ENSG00000003987	MTMR7	27	57	55	41	46	44
ENSG00000003989	SLC7A2	2398	1919	1323	1558	2001	2195
ENSG00000004059	ARF5	1942	1692	1401	1853	1949	1572
ENSG00000004139	SARM1	216	245	197	251	272	192
