id	sym	WT_1	WT_2	P95H_1	P95H_2
ENSG00000000003	TSPAN6	758	822	605	979
ENSG00000000005	TNMD	0	3	4	1
ENSG00000000419	DPM1	1626	1442	1431	1530
ENSG00000000457	SCYL3	687	524	544	663
ENSG00000000460	C1orf112	1504	1490	1419	1540
ENSG00000000938	FGR	7	13	24	13
ENSG00000000971	CFH	2239	1605	1813	2008
ENSG00000001036	FUCA2	829	867	632	922
ENSG00000001084	GCLC	3467	3699	3040	3924
ENSG00000001167	NFYA	3916	3861	3313	3985
ENSG00000001460	STPG1	259	234	233	230
ENSG00000001461	NIPAL3	2644	2129	2046	2281
ENSG00000001497	LAS1L	3641	3569	2935	3734
ENSG00000001561	ENPP4	1738	2147	1567	2268
ENSG00000001617	SEMA3F	85	27	56	37
ENSG00000001626	CFTR	49	114	51	128
ENSG00000001629	ANKIB1	2652	2407	2379	2653
ENSG00000001630	CYP51A1	69	32	44	40
ENSG00000001631	KRIT1	2527	2236	2331	2557
ENSG00000002016	RAD52	879	687	859	857
ENSG00000002079	MYH16	6	3	5	4
ENSG00000002330	BAD	125	85	104	110
ENSG00000002549	LAP3	4800	4392	4042	4428
ENSG00000002586	CD99	0	0	0	0
ENSG00000002587	HS3ST1	117	59	106	85
ENSG00000002726	AOC1	0	0	2	0
ENSG00000002745	WNT16	5	11	11	16
ENSG00000002746	HECW1	2	0	2	3
ENSG00000002822	MAD1L1	1100	1084	909	1228
ENSG00000002834	LASP1	1922	1625	1636	1698
ENSG00000002919	SNX11	1189	1227	1004	1337
ENSG00000002933	TMEM176A	0	2	0	0
ENSG00000003056	M6PR	7938	8757	7191	10055
ENSG00000003096	KLHL13	1218	1326	916	1010
ENSG00000003137	CYP26B1	61	132	44	74
ENSG00000003147	ICA1	631	446	479	557
ENSG00000003249	DBNDD1	12	6	7	4
ENSG00000003393	ALS2	2638	2280	2283	2345
ENSG00000003400	CASP10	1479	1101	1285	1274
ENSG00000003402	CFLAR	1658	1182	1772	1413
ENSG00000003436	TFPI	1501	1448	1172	1562
ENSG00000003509	NDUFAF7	1166	1136	1146	1372
ENSG00000003756	RBM5	2625	2291	2383	2576
ENSG00000003987	MTMR7	119	177	142	201
ENSG00000003989	SLC7A2	0	0	0	0
ENSG00000004059	ARF5	961	729	649	818
ENSG00000004139	SARM1	0	2	1	3
ENSG00000004142	POLDIP2	3458	3444	2673	3616
ENSG00000004399	PLXND1	2337	1743	1948	2249
ENSG00000004455	AK2	31065	25813	26179	28507
ENSG00000004468	CD38	13	7	10	6
ENSG00000004478	FKBP4	12861	9116	10704	11499
ENSG00000004487	KDM1A	17342	13422	13512	15033
ENSG00000004534	RBM6	3879	3729	3587	3983
ENSG00000004660	CAMKK1	165	155	149	219
ENSG00000004700	RECQL	3982	3214	3212	3532
ENSG00000004766	VPS50	1098	1334	1019	1232
ENSG00000004776	HSPB6	7	14	8	13
ENSG00000004777	ARHGAP33	619	654	527	801
ENSG00000004779	NDUFAB1	2615	2223	2225	2500
ENSG00000004799	PDK4	1	0	0	0
ENSG00000004809	SLC22A16	2	2	0	0
ENSG00000004838	ZMYND10	65	55	65	66
ENSG00000004846	ABCB5	27	35	22	23
ENSG00000004848	ARX	1	1	1	4
ENSG00000004864	SLC25A13	2519	1913	2129	2237
ENSG00000004866	ST7	1345	1301	1110	1419
ENSG00000004897	CDC27	13556	13662	12434	13886
ENSG00000004939	SLC4A1	11	47	4	47
ENSG00000004948	CALCR	1	0	0	0
ENSG00000004961	HCCS	1779	1738	1507	1796
ENSG00000004975	DVL2	1521	1192	1215	1387
ENSG00000005001	PRSS22	0	0	0	1
ENSG00000005007	UPF1	8304	9257	6963	8997
ENSG00000005020	SKAP2	2074	1596	1579	1552
ENSG00000005022	SLC25A5	9814	7577	7607	8239
ENSG00000005059	CCDC109B	813	749	647	724
ENSG00000005073	HOXA11	205	246	198	224
ENSG00000005075	POLR2J	954	805	853	891
ENSG00000005100	DHX33	3888	3701	3406	3726
ENSG00000005102	MEOX1	0	0	0	0
ENSG00000005108	THSD7A	37	36	39	46
ENSG00000005156	LIG3	4569	3746	4015	4286
ENSG00000005175	RPAP3	3719	3535	3425	3659
ENSG00000005187	ACSM3	1061	1077	853	1020
ENSG00000005189	AC004381.6	495	443	437	455
ENSG00000005194	CIAPIN1	2826	2447	2320	2683
ENSG00000005206	SPPL2B	1033	1148	793	1389
ENSG00000005238	FAM214B	258	320	202	282
ENSG00000005243	COPZ2	9	4	5	9
ENSG00000005249	PRKAR2B	6929	5226	5580	5674
ENSG00000005302	MSL3	840	780	636	900
ENSG00000005339	CREBBP	5897	7799	5424	6576
ENSG00000005379	TSPOAP1	295	550	392	784
ENSG00000005381	MPO	4	3	0	1
ENSG00000005421	PON1	15	27	22	29
ENSG00000005436	GCFC2	1732	1479	1669	1526
ENSG00000005448	WDR54	871	748	682	812
ENSG00000005469	CROT	562	844	497	715
ENSG00000005471	ABCB4	149	189	130	220
ENSG00000005483	KMT2E	4310	4774	3996	5031
ENSG00000005486	RHBDD2	663	607	537	688
ENSG00000005513	SOX8	0	2	0	1
ENSG00000005700	IBTK	4593	3210	3708	3674
ENSG00000005801	ZNF195	2559	2382	2218	2492
ENSG00000005810	MYCBP2	14018	11798	11944	11739
ENSG00000005812	FBXL3	2198	1780	1937	1857
ENSG00000005844	ITGAL	56	58	71	56
ENSG00000005882	PDK2	375	371	298	352
