id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000000001	Gnai3	8177	5450	4797	6457	12178	7451
ENSMUSG00000000028	Cdc45	395	273	609	397	589	498
ENSMUSG00000000031	H19	10	2	3	9	8	2
ENSMUSG00000000037	Scml2	28	26	67	20	25	24
ENSMUSG00000000056	Narf	1400	899	863	941	1926	1264
ENSMUSG00000000058	Cav2	603	699	1202	650	1182	629
ENSMUSG00000000078	Klf6	23066	17737	8393	11343	24921	13829
ENSMUSG00000000085	Scmh1	89	104	126	102	173	119
ENSMUSG00000000088	Cox5a	2545	2234	1917	2320	3890	2648
ENSMUSG00000000093	Tbx2	177	128	1242	200	167	189
ENSMUSG00000000094	Tbx4	34	33	333	40	35	34
ENSMUSG00000000120	Ngfr	25	3	3	18	26	26
ENSMUSG00000000127	Fer	339	315	504	420	657	366
ENSMUSG00000000131	Xpo6	3142	2222	1958	2012	3872	2505
ENSMUSG00000000134	Tfe3	1599	1317	1059	1409	2384	1642
ENSMUSG00000000142	Axin2	7	17	112	6	20	12
ENSMUSG00000000148	Brat1	852	619	582	785	1123	895
ENSMUSG00000000149	Gna12	3999	3630	3589	5282	8320	6360
ENSMUSG00000000154	Slc22a18	17	25	46	21	34	18
ENSMUSG00000000157	Itgb2l	10	3	0	1	12	1
ENSMUSG00000000167	Pih1d2	23	5	15	4	12	7
ENSMUSG00000000168	Dlat	1459	1042	1520	1310	2219	1537
ENSMUSG00000000171	Sdhd	3182	2460	2648	2881	4666	3338
ENSMUSG00000000184	Ccnd2	1405	1553	2685	992	1699	1339
ENSMUSG00000000194	Gpr107	2492	2000	1628	2105	3572	2554
ENSMUSG00000000202	Btbd17	29	21	16	56	79	157
ENSMUSG00000000204	Slfn4	17695	7411	2277	1780	8274	2546
ENSMUSG00000000244	Tspan32	715	596	355	701	1158	1038
ENSMUSG00000000247	Lhx2	17	8	2	0	3	1
ENSMUSG00000000248	Clec2g	73	84	34	48	116	60
ENSMUSG00000000253	Gmpr	105	93	328	329	338	317
ENSMUSG00000000266	Mid2	13	20	99	19	15	13
ENSMUSG00000000275	Trim25	2940	2745	1298	1392	3149	1860
ENSMUSG00000000276	Dgke	344	347	510	276	566	350
ENSMUSG00000000278	Scpep1	5474	5600	4838	4071	7273	4629
ENSMUSG00000000282	Mnt	285	217	268	249	451	292
ENSMUSG00000000290	Itgb2	25686	20210	8463	12045	22141	16557
ENSMUSG00000000295	Hddc2	202	149	504	199	355	220
ENSMUSG00000000296	Tpd52l1	62	37	359	49	85	38
ENSMUSG00000000301	Pemt	46	29	50	46	61	55
ENSMUSG00000000303	Cdh1	173	128	78	404	562	817
ENSMUSG00000000317	Bcl6b	2	5	4	11	7	8
ENSMUSG00000000318	Clec10a	1648	852	631	1514	2765	2048
ENSMUSG00000000325	Arvcf	70	53	104	91	122	107
ENSMUSG00000000326	Comt	2442	1770	1695	2822	4498	3293
ENSMUSG00000000339	Rtca	651	480	682	580	987	731
ENSMUSG00000000340	Dbt	362	302	431	372	703	389
ENSMUSG00000000346	Dazap2	5060	4787	3347	4249	8178	5136
ENSMUSG00000000355	Mcts1	937	640	505	691	1523	818
ENSMUSG00000000359	Rem1	14	7	13	17	49	101
ENSMUSG00000000365	Rnf17	37	29	15	31	58	34
ENSMUSG00000000374	Trappc10	2880	1821	1830	2210	4143	2684
ENSMUSG00000000378	Ccm2	1034	708	880	972	1500	1205
ENSMUSG00000000384	Tbrg4	799	636	882	784	1332	883
ENSMUSG00000000386	Mx1	2901	2461	654	328	877	466
ENSMUSG00000000392	Fap	18	15	4	4	23	5
ENSMUSG00000000399	Ndufa9	2349	2055	2617	2309	3526	2672
ENSMUSG00000000409	Lck	19	19	72	13	18	19
ENSMUSG00000000416	Cttnbp2	7	4	49	6	9	4
ENSMUSG00000000420	Galnt1	3498	3261	2624	3417	6015	4474
ENSMUSG00000000439	Mkrn2	575	439	691	538	942	566
ENSMUSG00000000440	Pparg	1095	911	488	687	1324	729
ENSMUSG00000000441	Raf1	4721	3067	3267	2774	5369	3273
ENSMUSG00000000486	Sept1	1	11	16	3	28	6
ENSMUSG00000000489	Pdgfb	654	513	385	555	776	872
ENSMUSG00000000530	Acvrl1	3401	3385	1954	1547	2653	1922
ENSMUSG00000000531	Grasp	60	35	98	40	68	45
ENSMUSG00000000532	Acvr1b	1267	851	686	893	1691	1088
ENSMUSG00000000538	Tom1l2	395	306	1830	472	650	461
ENSMUSG00000000552	Zfp385a	132	139	142	173	215	227
ENSMUSG00000000555	Itga5	1716	1601	960	909	1707	1258
ENSMUSG00000000561	Wdr77	904	674	1257	1068	1907	1234
ENSMUSG00000000562	Adora3	190	138	61	159	274	236
ENSMUSG00000000563	Atp5f1	4565	3295	3332	3590	6906	4267
ENSMUSG00000000567	Sox9	3	4	18	2	6	5
ENSMUSG00000000568	Hnrnpd	1062	1014	869	702	1546	883
ENSMUSG00000000581	C1d	1182	833	849	1072	1957	1075
ENSMUSG00000000594	Gm2a	14954	16794	8018	11704	21893	19467
ENSMUSG00000000600	Krit1	957	593	641	487	1168	619
ENSMUSG00000000605	Clcn4	2109	1648	1325	1580	3081	1901
ENSMUSG00000000627	Sema4f	7	8	66	11	15	8
ENSMUSG00000000628	Hk2	11832	8145	7434	4587	10599	6319
ENSMUSG00000000631	Myo18a	2771	2121	1539	2239	3598	2665
ENSMUSG00000000673	Haao	107	95	54	81	125	180
ENSMUSG00000000682	Cd52	12138	10412	4952	7752	14725	11851
ENSMUSG00000000686	Abhd15	155	202	148	209	351	277
ENSMUSG00000000690	Hoxb6	2	0	19	1	4	2
ENSMUSG00000000693	Loxl3	406	325	752	367	497	372
ENSMUSG00000000708	Kat2b	1764	1254	1336	1143	2015	1362
