id	sym	emt_ut_rep1	emt_ut_rep2	emt_10d_rep1	emt_10d_rep2
ENSMUSG00000000001	Gnai3	12047	8746	17828	8549
ENSMUSG00000000028	Cdc45	3879	2932	4310	2103
ENSMUSG00000000031	H19	0	0	0	1
ENSMUSG00000000037	Scml2	2	1	7	2
ENSMUSG00000000049	Apoh	3	7	19	5
ENSMUSG00000000056	Narf	2787	2230	4143	2164
ENSMUSG00000000058	Cav2	19770	15030	11021	5557
ENSMUSG00000000078	Klf6	16429	12315	28722	14178
ENSMUSG00000000085	Scmh1	530	413	1070	632
ENSMUSG00000000088	Cox5a	3669	2815	6301	3388
ENSMUSG00000000093	Tbx2	3	0	9	4
ENSMUSG00000000094	Tbx4	0	0	4	2
ENSMUSG00000000120	Ngfr	0	0	4	1
ENSMUSG00000000125	Wnt3	0	0	0	1
ENSMUSG00000000126	Wnt9a	12	10	3103	1973
ENSMUSG00000000127	Fer	2138	1549	3513	1611
ENSMUSG00000000131	Xpo6	2953	2549	5705	3358
ENSMUSG00000000134	Tfe3	1121	1043	2311	1601
ENSMUSG00000000142	Axin2	48	35	711	431
ENSMUSG00000000148	Brat1	660	641	1832	1082
ENSMUSG00000000149	Gna12	1832	1572	6863	4419
ENSMUSG00000000154	Slc22a18	32	30	22	17
ENSMUSG00000000157	Itgb2l	0	1	1	1
ENSMUSG00000000159	Igsf5	1808	1439	1662	911
ENSMUSG00000000167	Pih1d2	188	131	235	126
ENSMUSG00000000168	Dlat	2616	2244	5089	2739
ENSMUSG00000000171	Sdhd	6129	4926	6056	3097
ENSMUSG00000000183	Fgf6	1	0	0	0
ENSMUSG00000000184	Ccnd2	10450	9451	11719	6762
ENSMUSG00000000194	Gpr107	2728	2233	6494	3573
ENSMUSG00000000197	Nalcn	2	2	14	5
ENSMUSG00000000202	Btbd17	0	1	39	32
ENSMUSG00000000204	Slfn4	7	2	3	2
ENSMUSG00000000215	Ins2	0	0	1	0
ENSMUSG00000000216	Scnn1g	0	0	4	0
ENSMUSG00000000223	Drp2	17	21	26	22
ENSMUSG00000000244	Tspan32	11	4	142	75
ENSMUSG00000000247	Lhx2	0	0	0	2
ENSMUSG00000000253	Gmpr	1	0	6	1
ENSMUSG00000000263	Glra1	0	0	17	5
ENSMUSG00000000266	Mid2	928	811	2362	1367
ENSMUSG00000000275	Trim25	2830	2755	3067	1962
ENSMUSG00000000276	Dgke	2064	1673	2694	1371
ENSMUSG00000000278	Scpep1	5479	3937	12229	5982
ENSMUSG00000000282	Mnt	321	439	820	744
ENSMUSG00000000290	Itgb2	21	12	359	167
ENSMUSG00000000295	Hddc2	933	732	1627	767
ENSMUSG00000000296	Tpd52l1	203	174	229	113
ENSMUSG00000000301	Pemt	253	200	290	131
ENSMUSG00000000303	Cdh1	8475	7246	3498	2223
ENSMUSG00000000305	Cdh4	0	0	3	3
ENSMUSG00000000308	Ckmt1	3	7	3	5
ENSMUSG00000000317	Bcl6b	0	0	3	0
ENSMUSG00000000318	Clec10a	1	0	2	3
ENSMUSG00000000320	Alox12	0	0	10	3
ENSMUSG00000000325	Arvcf	715	730	2768	1486
ENSMUSG00000000326	Comt	4562	3757	10165	5568
ENSMUSG00000000339	Rtca	2329	1887	2739	1417
ENSMUSG00000000340	Dbt	617	402	409	153
ENSMUSG00000000346	Dazap2	7052	5885	10115	5965
ENSMUSG00000000355	Mcts1	1022	685	1440	670
ENSMUSG00000000359	Rem1	0	0	0	0
ENSMUSG00000000365	Rnf17	0	0	3	1
ENSMUSG00000000374	Trappc10	3972	3100	4926	2697
ENSMUSG00000000378	Ccm2	2401	1984	4495	2609
ENSMUSG00000000381	Wap	0	0	0	0
ENSMUSG00000000384	Tbrg4	2778	2536	3921	2263
ENSMUSG00000000385	Tmprss2	116	88	78	37
ENSMUSG00000000386	Mx1	4	4	5	4
ENSMUSG00000000392	Fap	0	0	2	2
ENSMUSG00000000394	Gcg	0	0	1	0
ENSMUSG00000000399	Ndufa9	4456	3543	5186	2817
ENSMUSG00000000402	Egfl6	1	0	2	3
ENSMUSG00000000409	Lck	18	23	15	5
ENSMUSG00000000411	Tssk3	0	0	0	0
ENSMUSG00000000416	Cttnbp2	19	11	23	15
ENSMUSG00000000420	Galnt1	6860	5154	14159	6551
ENSMUSG00000000439	Mkrn2	1663	1271	2547	1273
ENSMUSG00000000440	Pparg	27	10	17	10
ENSMUSG00000000441	Raf1	5492	3958	7887	4050
ENSMUSG00000000486	Sept1	40	26	55	27
ENSMUSG00000000489	Pdgfb	4044	4006	32306	20693
ENSMUSG00000000530	Acvrl1	1	0	32	12
ENSMUSG00000000531	Grasp	78	77	238	127
ENSMUSG00000000532	Acvr1b	493	481	928	507
ENSMUSG00000000538	Tom1l2	3084	2885	3785	2444
ENSMUSG00000000544	Gpa33	7	2	14	8
ENSMUSG00000000552	Zfp385a	125	159	469	470
ENSMUSG00000000555	Itga5	176	178	12952	11278
ENSMUSG00000000560	Gabra2	0	0	2	1
ENSMUSG00000000561	Wdr77	3214	2391	4835	2555
ENSMUSG00000000563	Atp5f1	11230	8868	15701	7766
ENSMUSG00000000567	Sox9	90	91	1053	788
ENSMUSG00000000568	Hnrnpd	1784	1490	2354	1297
ENSMUSG00000000579	Dynlt1c	636	535	700	303
ENSMUSG00000000581	C1d	2396	1654	3177	1548
ENSMUSG00000000594	Gm2a	2960	2491	4779	2698
ENSMUSG00000000600	Krit1	19529	13334	34888	15721
ENSMUSG00000000605	Clcn4	2904	2248	5896	2811
ENSMUSG00000000617	Grm6	0	0	0	1
ENSMUSG00000000627	Sema4f	4	6	2724	1663
ENSMUSG00000000628	Hk2	2331	1755	16531	8858
ENSMUSG00000000631	Myo18a	8835	8780	18421	11245
ENSMUSG00000000632	Sez6	0	0	3	0
ENSMUSG00000000673	Haao	0	0	3	0
ENSMUSG00000000682	Cd52	1	4	2	0
ENSMUSG00000000686	Abhd15	2	5	32	19
ENSMUSG00000000690	Hoxb6	131	140	242	142
ENSMUSG00000000693	Loxl3	9	8	200	115
ENSMUSG00000000706	Btn1a1	2	0	5	4
ENSMUSG00000000708	Kat2b	6111	4657	9733	4772
ENSMUSG00000000711	Rab5b	2370	1830	5503	2871
ENSMUSG00000000724	Cryba1	0	0	2	0
ENSMUSG00000000730	Dnmt3l	0	0	1	1
ENSMUSG00000000731	Aire	0	0	0	1
ENSMUSG00000000732	Icosl	151	149	12	3
ENSMUSG00000000738	Spg7	2762	2371	4910	2686
ENSMUSG00000000739	Sult5a1	0	0	0	2
ENSMUSG00000000740	Rpl13	18177	15488	24108	13592
ENSMUSG00000000743	Chmp1a	3308	2689	5991	3232
ENSMUSG00000000751	Rpa1	11095	8207	11727	6062
ENSMUSG00000000753	Serpinf1	1	0	736	385
ENSMUSG00000000759	Tubgcp3	2952	2506	4128	2148
ENSMUSG00000000766	Oprm1	0	0	4	3
ENSMUSG00000000776	Polr3d	679	515	1488	777
ENSMUSG00000000782	Tcf7	4	1	185	113
ENSMUSG00000000787	Ddx3x	40558	27852	49357	22098
ENSMUSG00000000791	Il12rb1	1	0	143	82
ENSMUSG00000000792	Slc5a5	8	2	10	5
ENSMUSG00000000794	Kcnn3	26	19	73	47
ENSMUSG00000000804	Usp32	3601	3297	10108	5582
ENSMUSG00000000805	Car4	0	0	2	0
ENSMUSG00000000811	Txnrd3	2770	2129	1511	783
ENSMUSG00000000817	Fasl	0	1	1	2
ENSMUSG00000000823	Zfp512b	472	395	1161	713
ENSMUSG00000000826	Dnajc5	13230	10224	17915	9528
ENSMUSG00000000827	Tpd52l2	3449	2714	7754	3862
ENSMUSG00000000838	Fmr1	8418	5424	6815	3012
ENSMUSG00000000861	Bcl11a	0	0	0	4
ENSMUSG00000000876	Pxmp4	507	428	709	428
ENSMUSG00000000881	Dlg3	0	0	9	5
ENSMUSG00000000884	Gnb1l	504	386	651	304
ENSMUSG00000000889	Dbh	0	0	255	162
ENSMUSG00000000901	Mmp11	163	119	691	424
ENSMUSG00000000902	Smarcb1	1968	1722	3191	1881
ENSMUSG00000000915	Hip1r	2329	2236	7839	4466
ENSMUSG00000000916	Nsun5	735	614	903	484
ENSMUSG00000000934	Top1mt	735	568	987	446
ENSMUSG00000000938	Hoxa10	160	138	453	253
ENSMUSG00000000948	Gm38393	2	5	6	4
ENSMUSG00000000957	Mmp14	1104	932	11206	6616
ENSMUSG00000000958	Slc7a7	322	303	1091	624
ENSMUSG00000000959	Oxa1l	1132	863	1426	832
ENSMUSG00000000976	Heatr6	1886	1546	3281	1955
ENSMUSG00000000982	Ccl3	1	0	2	2
ENSMUSG00000000983	Wfdc18	0	0	0	0
ENSMUSG00000001014	Icam4	25	23	15	7
ENSMUSG00000001016	Ilf2	6729	4800	7894	4002
ENSMUSG00000001017	Chtop	5545	4060	7951	4057
ENSMUSG00000001018	Snapin	1632	1296	4219	2089
ENSMUSG00000001020	S100a4	4293	2980	4322	2034
ENSMUSG00000001021	S100a3	755	536	416	243
ENSMUSG00000001023	S100a5	0	0	0	1
ENSMUSG00000001025	S100a6	139934	101633	89271	49625
ENSMUSG00000001027	Scn4a	2	5	8	4
ENSMUSG00000001029	Icam2	0	1	0	1
ENSMUSG00000001034	Mapk7	823	761	1329	845
ENSMUSG00000001036	Epn2	3052	2466	5576	3083
ENSMUSG00000001039	B9d1	478	424	557	311
ENSMUSG00000001052	Sec24b	1979	2198	4541	3268
ENSMUSG00000001053	N4bp3	597	514	373	232
ENSMUSG00000001054	Rmnd5b	1152	903	2152	1218
ENSMUSG00000001056	Nhp2	5130	4326	5982	3431
ENSMUSG00000001062	Vps9d1	336	282	502	318
ENSMUSG00000001065	Zfp276	684	651	1122	631
ENSMUSG00000001082	Mfsd10	1118	1038	2075	1291
ENSMUSG00000001089	Luzp1	6645	5340	13618	7136
ENSMUSG00000001095	Slc13a2	3	3	3	5
ENSMUSG00000001098	Kctd10	12384	10325	21755	12483
ENSMUSG00000001100	Poldip2	3230	2533	7154	3901
ENSMUSG00000001103	Sebox	0	0	1	1
ENSMUSG00000001105	Ift20	1189	1021	2271	1105
ENSMUSG00000001119	Col6a1	114	99	6889	3298
ENSMUSG00000001120	Pcbp3	215	222	606	326
ENSMUSG00000001123	Lgals9	1923	1625	2906	1991
ENSMUSG00000001127	Araf	2430	2100	4068	2200
ENSMUSG00000001128	Cfp	66	62	122	65
ENSMUSG00000001131	Timp1	678	542	4006	2192
ENSMUSG00000001134	Uxt	830	616	926	516
ENSMUSG00000001138	Cnnm3	647	629	2051	1343
ENSMUSG00000001143	Lman2l	436	441	1387	910
ENSMUSG00000001150	Mcm3ap	3062	2530	4185	2549
ENSMUSG00000001151	Pcnt	3077	3281	3385	1948
ENSMUSG00000001155	Ftcd	0	1	0	0
ENSMUSG00000001156	Mxd1	449	380	576	338
ENSMUSG00000001157	Gmcl1	1383	1171	2016	1066
ENSMUSG00000001158	Snrnp27	1538	1117	2244	1085
ENSMUSG00000001166	Oas1c	396	336	67	25
ENSMUSG00000001168	Oas1h	0	0	2	0
ENSMUSG00000001173	Ocrl	1641	1358	3695	2230
ENSMUSG00000001175	Calm1	28355	22645	63615	31908
ENSMUSG00000001211	Agpat3	3131	2643	7571	4692
ENSMUSG00000001225	Slc26a3	0	0	1	1
ENSMUSG00000001227	Sema6b	338	313	281	185
ENSMUSG00000001228	Uhrf1	14194	11379	9046	5000
ENSMUSG00000001229	Dpp9	1595	1644	3047	2038
ENSMUSG00000001247	Lsr	3846	3217	1763	1033
ENSMUSG00000001248	Gramd1a	63	59	112	63
ENSMUSG00000001249	Hpn	0	0	0	1
ENSMUSG00000001260	Gabrg1	0	0	2	0
ENSMUSG00000001270	Ckb	0	1	0	1
ENSMUSG00000001280	Sp1	5761	5264	8568	5407
ENSMUSG00000001281	Itgb7	107	76	167	73
ENSMUSG00000001285	Myg1	1828	1399	1896	976
