sym	T1	T2	T3	T4	R1	R2	R3	R4
ENSMUSG00000021252	0610007P14Rik	69	70	84	122	129	174	247	109
ENSMUSG00000007777	0610009B22Rik	337	360	277	319	273	422	502	325
ENSMUSG00000043644	0610009L18Rik	1	3	7	5	2	2	5	1
ENSMUSG00000024442	0610009O20Rik	108	100	114	57	115	116	122	87
ENSMUSG00000042208	0610010F05Rik	431	352	260	223	213	343	512	340
ENSMUSG00000020831	0610010K14Rik	22	15	35	40	54	83	101	41
ENSMUSG00000025731	0610011F06Rik	32	58	36	54	41	62	66	30
ENSMUSG00000107002	0610012G03Rik	22	33	22	15	26	31	32	13
ENSMUSG00000058706	0610030E20Rik	332	416	292	259	231	352	416	244
ENSMUSG00000099146	0610031O16Rik	0	0	0	0	0	0	0	0
ENSMUSG00000028608	0610037L13Rik	68	89	42	70	72	146	109	68
ENSMUSG00000097882	0610038B21Rik	10	14	21	12	15	21	24	9
ENSMUSG00000058812	0610039K10Rik	5	3	5	2	11	13	23	9
ENSMUSG00000089889	0610040B10Rik	6	2	3	6	6	12	16	6
ENSMUSG00000087341	0610040F04Rik	5	3	1	3	2	7	7	10
ENSMUSG00000060512	0610040J01Rik	3	2	0	0	0	2	0	1
ENSMUSG00000087361	0610043K17Rik	16	22	15	8	5	11	13	6
ENSMUSG00000097222	1010001N08Rik	4	10	9	6	7	9	24	10
ENSMUSG00000019689	1110001J03Rik	16	13	12	27	29	56	62	46
ENSMUSG00000071456	1110002L01Rik	56	46	50	53	59	98	103	65
ENSMUSG00000022972	1110004E09Rik	108	102	102	60	53	109	162	116
ENSMUSG00000030663	1110004F10Rik	331	397	253	442	341	632	582	389
ENSMUSG00000107121	1110006O24Rik	2	8	5	0	1	10	5	0
ENSMUSG00000027637	1110008F13Rik	208	224	176	305	279	584	482	355
ENSMUSG00000021023	1110008L16Rik	208	110	162	147	145	234	256	154
ENSMUSG00000039195	1110008P14Rik	69	48	47	102	159	257	176	84
ENSMUSG00000045237	1110012L19Rik	99	107	75	92	49	97	129	72
ENSMUSG00000098659	1110015O18Rik	1	0	0	1	0	0	0	0
ENSMUSG00000028441	1110017D15Rik	6	4	6	4	4	4	4	4
ENSMUSG00000097616	1110019D14Rik	42	69	37	28	39	32	61	24
ENSMUSG00000097047	1110020A21Rik	17	15	8	8	5	14	10	9
ENSMUSG00000068073	1110025L11Rik	1	0	0	1	0	0	0	0
ENSMUSG00000085972	1110028F11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000099139	1110028F18Rik	0	0	0	0	0	0	0	3
ENSMUSG00000037971	1110032A03Rik	201	190	141	81	104	133	241	150
ENSMUSG00000046999	1110032F04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000044991	1110034G24Rik	22	8	20	15	13	9	23	9
ENSMUSG00000097036	1110036E04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000040720	1110037F02Rik	729	721	589	711	560	911	1091	707
ENSMUSG00000092203	1110038B12Rik	396	485	413	384	439	606	643	423
ENSMUSG00000063236	1110038F14Rik	47	80	56	49	41	68	77	51
ENSMUSG00000085457	1110046J04Rik	9	5	3	3	1	6	3	4
ENSMUSG00000040591	1110051M20Rik	50	48	41	81	51	56	78	41
ENSMUSG00000035171	1110059E24Rik	211	229	180	179	148	225	237	189
ENSMUSG00000032551	1110059G10Rik	62	60	70	65	36	62	82	61
ENSMUSG00000078570	1110065P20Rik	4	16	10	9	14	19	15	12
ENSMUSG00000045414	1190002N15Rik	729	559	561	478	444	576	920	682
ENSMUSG00000096537	1190003K10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000043687	1190005I06Rik	4	1	5	0	9	1	2	5
ENSMUSG00000063320	1190007I07Rik	9	12	15	10	8	8	23	7
ENSMUSG00000097290	1300002E11Rik	302	282	230	223	213	324	339	230
ENSMUSG00000033688	1300017J02Rik	1	0	0	0	2	4	1	0
ENSMUSG00000098912	1500004A13Rik	29	35	33	25	15	43	60	31
ENSMUSG00000068099	1500009C09Rik	1	0	0	0	0	0	0	0
ENSMUSG00000087651	1500009L16Rik	0	0	0	1	0	0	0	0
ENSMUSG00000072694	1500011B03Rik	18	34	36	21	23	39	73	37
ENSMUSG00000051319	1500011K16Rik	10	18	22	43	58	107	54	52
ENSMUSG00000097247	1500012K07Rik	2	0	0	0	2	0	2	0
ENSMUSG00000098702	1500015A07Rik	54	32	23	30	23	46	42	33
ENSMUSG00000094732	1500015L24Rik	1	1	1	1	1	0	3	0
ENSMUSG00000026051	1500015O10Rik	87	60	64	40	28	24	54	26
ENSMUSG00000087579	1500017E21Rik	123	123	128	136	132	190	277	168
ENSMUSG00000086899	1600002D24Rik	1	0	0	0	1	0	0	5
ENSMUSG00000024118	1600002H07Rik	31	43	38	34	26	47	68	51
ENSMUSG00000035595	1600002K03Rik	21	10	24	13	15	17	37	16
ENSMUSG00000101585	1600010M07Rik	1	0	0	0	0	2	0	2
ENSMUSG00000050088	1600012H06Rik	838	715	575	362	339	572	746	531
ENSMUSG00000054676	1600014C10Rik	76	85	68	112	127	156	222	140
ENSMUSG00000094690	1600014C23Rik	0	0	0	0	0	1	1	1
ENSMUSG00000029813	1600015I10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000099429	1600019K03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000097048	1600020E01Rik	156	181	107	67	45	96	131	92
ENSMUSG00000104986	1600023N17Rik	4	5	5	4	3	4	9	5
ENSMUSG00000085114	1600025M17Rik	0	0	0	0	0	0	2	0
ENSMUSG00000057818	1600029O15Rik	7	2	3	2	2	12	7	6
ENSMUSG00000029182	1700001C02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000047150	1700001C19Rik	1	0	1	0	0	0	0	1
ENSMUSG00000099419	1700001D01Rik	40	25	20	9	6	13	18	12
ENSMUSG00000095384	1700001F09Rik	0	0	1	2	0	0	0	0
ENSMUSG00000085984	1700001G11Rik	4	0	0	2	0	4	9	1
ENSMUSG00000103746	1700001G17Rik	0	1	0	2	1	3	2	3
ENSMUSG00000095040	1700001J03Rik	1	0	3	2	0	0	1	0
ENSMUSG00000101963	1700001J11Rik	7	6	6	9	9	6	7	3
ENSMUSG00000056508	1700001K19Rik	0	0	0	0	3	4	2	1
ENSMUSG00000075511	1700001L05Rik	99	58	68	65	65	58	126	86
ENSMUSG00000021534	1700001L19Rik	3	6	3	6	1	7	4	1
ENSMUSG00000044320	1700001O22Rik	0	0	0	2	2	0	1	2
ENSMUSG00000018543	1700001P01Rik	6	4	1	0	3	4	16	5
ENSMUSG00000099391	1700003C15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000085944	1700003D09Rik	1	2	0	1	3	1	0	2
ENSMUSG00000030030	1700003E16Rik	0	2	0	2	0	1	1	1
ENSMUSG00000095110	1700003E24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000038523	1700003F12Rik	0	0	0	0	1	0	2	0
ENSMUSG00000085831	1700003G13Rik	0	0	0	0	0	0	0	0
ENSMUSG00000087621	1700003G18Rik	0	0	1	1	0	1	1	0
ENSMUSG00000039174	1700003H04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000101565	1700003L19Rik	0	0	0	0	0	0	0	0
ENSMUSG00000085389	1700003M07Rik	1	0	0	1	1	1	0	1
ENSMUSG00000100727	1700003P14Rik	1	0	0	0	0	0	0	0
ENSMUSG00000027973	1700006A11Rik	1	1	2	2	0	1	0	0
ENSMUSG00000010841	1700006E09Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100274	1700006F04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000102000	1700006H21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000031620	1700007B14Rik	1	0	0	0	0	0	1	0
ENSMUSG00000100666	1700007F19Rik	0	4	0	0	0	0	0	0
ENSMUSG00000057816	1700007G11Rik	0	0	0	1	0	0	0	0
ENSMUSG00000086330	1700007J10Rik	24	25	25	38	20	31	28	20
ENSMUSG00000030858	1700007K09Rik	3	0	0	2	0	1	0	1
ENSMUSG00000026831	1700007K13Rik	0	0	0	1	0	1	1	0
ENSMUSG00000097318	1700007L15Rik	10	8	4	5	7	13	18	13
ENSMUSG00000089730	1700007P06Rik	0	0	0	0	0	2	0	0
ENSMUSG00000101225	1700008J07Rik	28	32	16	20	17	40	42	28
ENSMUSG00000101012	1700008K24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000008028	1700008O03Rik	1	2	0	0	1	2	1	1
ENSMUSG00000069118	1700008P02Rik	0	1	0	2	1	0	1	0
ENSMUSG00000101404	1700009C05Rik	0	0	0	0	0	0	0	0
ENSMUSG00000096573	1700009J07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000028287	1700009N14Rik	0	0	1	1	0	0	0	0
ENSMUSG00000057047	1700010B08Rik	1	1	0	0	0	0	0	0
ENSMUSG00000071721	1700010D01Rik	0	2	1	3	0	0	3	1
ENSMUSG00000100010	1700010I02Rik	2	0	0	0	0	0	0	0
ENSMUSG00000023873	1700010I14Rik	12	22	16	4	4	3	7	8
ENSMUSG00000100314	1700010J16Rik	2	0	0	0	0	0	0	0
ENSMUSG00000092599	1700010K23Rik	0	0	0	0	0	0	0	0
ENSMUSG00000102099	1700011B04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000036557	1700011E24Rik	3	1	3	0	0	8	6	1
ENSMUSG00000021850	1700011H14Rik	1	0	0	0	0	6	2	0
ENSMUSG00000058925	1700011I03Rik	0	1	3	3	0	2	2	0
ENSMUSG00000031682	1700011L22Rik	1	3	1	0	0	0	0	0
ENSMUSG00000079476	1700011M02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000029766	1700012A03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000020617	1700012B07Rik	0	0	0	1	0	0	0	0
ENSMUSG00000031927	1700012B09Rik	0	0	0	0	0	0	0	0
ENSMUSG00000102069	1700012I11Rik	1	1	1	0	0	0	1	1
ENSMUSG00000100200	1700012L04Rik	0	0	0	0	1	0	0	0
ENSMUSG00000028589	1700012P22Rik	0	0	0	0	0	0	1	0
ENSMUSG00000079346	1700013D24Rik	0	3	0	0	0	0	1	1
ENSMUSG00000027886	1700013F07Rik	1	0	0	0	0	2	1	2
ENSMUSG00000041399	1700013G24Rik	0	0	0	0	0	0	0	1
ENSMUSG00000054727	1700013H16Rik	1	0	0	0	0	0	0	0
ENSMUSG00000042800	1700015E13Rik	0	0	2	0	0	0	0	1
ENSMUSG00000079666	1700015F17Rik	10	9	4	6	4	14	5	7
ENSMUSG00000094445	1700015G11Rik	1	0	1	1	0	0	0	0
ENSMUSG00000015962	1700016C15Rik	0	2	0	2	0	0	3	0
ENSMUSG00000031509	1700016D06Rik	0	0	0	1	0	0	1	0
ENSMUSG00000100625	1700016G22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000029320	1700016H13Rik	1	0	0	0	0	0	0	0
ENSMUSG00000053783	1700016K19Rik	0	0	0	0	0	1	0	0
ENSMUSG00000101483	1700016L21Rik	0	0	0	1	0	0	0	0
ENSMUSG00000101894	1700016P04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000032300	1700017B05Rik	235	217	227	315	394	643	571	383
ENSMUSG00000024729	1700017D01Rik	0	3	0	0	0	0	0	0
ENSMUSG00000037884	1700017G19Rik	0	0	0	0	0	0	3	0
ENSMUSG00000086348	1700017J07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000056912	1700017N19Rik	2	0	0	1	0	0	1	0
ENSMUSG00000038408	1700018A04Rik	1	5	1	1	0	0	2	1
ENSMUSG00000031809	1700018B08Rik	2	5	1	0	0	3	2	3
ENSMUSG00000037910	1700018B24Rik	1	2	0	5	0	0	0	0
ENSMUSG00000058935	1700018C11Rik	0	0	0	0	2	0	0	0
ENSMUSG00000029620	1700018F24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100075	1700018L02Rik	12	5	4	12	12	10	19	5
ENSMUSG00000060715	1700019A02Rik	2	1	0	1	0	0	0	0
ENSMUSG00000040340	1700019B03Rik	3	1	1	1	0	2	1	1
ENSMUSG00000085757	1700019B21Rik	4	0	0	1	0	0	0	0
ENSMUSG00000043629	1700019D03Rik	0	1	1	2	1	2	5	1
ENSMUSG00000086202	1700019E08Rik	1	0	0	0	1	0	0	0
ENSMUSG00000085416	1700019G24Rik	0	0	1	0	0	0	0	0
ENSMUSG00000059695	1700019M22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000026931	1700019N19Rik	0	0	0	2	0	0	0	0
ENSMUSG00000036574	1700019O17Rik	0	0	0	0	0	0	0	0
ENSMUSG00000027409	1700020A23Rik	1	1	1	2	0	0	0	1
ENSMUSG00000100937	1700020D05Rik	3	5	7	3	0	6	1	1
ENSMUSG00000101801	1700020G17Rik	0	0	1	0	0	0	0	0
ENSMUSG00000085438	1700020I14Rik	220	171	164	270	258	327	484	262
ENSMUSG00000035085	1700020L24Rik	2	2	1	12	3	8	10	3
ENSMUSG00000100146	1700020M21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000050844	1700020N01Rik	3	2	0	3	1	0	2	0
ENSMUSG00000059690	1700020N15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100253	1700020N18Rik	0	0	0	0	0	0	0	0
ENSMUSG00000019797	1700021F05Rik	148	174	141	99	118	171	152	103
ENSMUSG00000027518	1700021F07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000087343	1700021N21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000038165	1700022A21Rik	1	0	0	0	0	0	0	0
ENSMUSG00000099751	1700022A22Rik	0	1	0	0	0	0	0	0
ENSMUSG00000099983	1700022E09Rik	0	0	0	0	0	0	0	0
ENSMUSG00000099360	1700022H16Rik	2	0	0	0	1	0	0	1
ENSMUSG00000028451	1700022I11Rik	6	2	5	2	11	8	24	8
ENSMUSG00000087393	1700023C21Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100000	1700023F02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000020940	1700023F06Rik	0	0	0	1	0	0	4	1
ENSMUSG00000099994	1700024B18Rik	29	28	36	16	9	8	34	22
ENSMUSG00000072473	1700024G13Rik	0	0	0	0	0	0	0	0
ENSMUSG00000045022	1700024P04Rik	0	0	0	0	0	0	1	0
ENSMUSG00000078612	1700024P16Rik	12	4	1	0	0	0	2	1
ENSMUSG00000101113	1700025B11Rik	0	0	1	0	0	0	0	1
ENSMUSG00000078935	1700025C18Rik	0	0	0	0	0	0	0	0
ENSMUSG00000024728	1700025F22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100558	1700025F24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000032666	1700025G04Rik	247	180	199	149	114	139	295	170
ENSMUSG00000099747	1700025K24Rik	0	0	0	0	0	0	3	0
ENSMUSG00000100175	1700025M24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100121	1700025N23Rik	0	0	1	0	1	0	0	1
ENSMUSG00000086379	1700026D11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000101854	1700026F02Rik	0	0	0	1	0	0	0	0
ENSMUSG00000101968	1700027A15Rik	0	0	0	0	0	3	0	0
ENSMUSG00000100911	1700027F09Rik	1	0	0	0	0	0	0	0
ENSMUSG00000100799	1700027H10Rik	0	0	0	0	0	0	0	0
ENSMUSG00000098304	1700027I24Rik	1	0	1	1	0	2	0	4
ENSMUSG00000099417	1700028B04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000101683	1700028D13Rik	0	0	0	0	0	0	0	0
ENSMUSG00000097321	1700028E10Rik	5	0	0	0	1	3	3	0
ENSMUSG00000056821	1700028I16Rik	0	1	0	1	0	0	0	0
ENSMUSG00000038782	1700028J19Rik	0	0	0	1	3	4	0	0
ENSMUSG00000089798	1700028K03Rik	72	49	39	34	23	36	53	25
ENSMUSG00000101334	1700028M03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000033053	1700028P14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000086823	1700028P15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100759	1700029B22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000052075	1700029F12Rik	1	0	5	0	0	0	2	0
ENSMUSG00000031452	1700029H14Rik	8	5	5	5	10	18	14	11
ENSMUSG00000044916	1700029I15Rik	23	17	8	7	16	31	35	19
ENSMUSG00000099968	1700029J03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000071103	1700029J07Rik	163	176	183	84	68	131	209	138
ENSMUSG00000086788	1700029M20Rik	0	0	0	0	0	0	0	0
ENSMUSG00000098144	1700029N11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000061633	1700029P11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000085333	1700030A11Rik	0	0	0	0	0	0	0	0
ENSMUSG00000091071	1700030C10Rik	5	5	3	1	0	5	4	7
ENSMUSG00000099869	1700030F04Rik	0	0	0	0	0	0	0	0
ENSMUSG00000031847	1700030J22Rik	3	6	8	4	9	17	20	13
ENSMUSG00000052794	1700030K09Rik	67	81	58	60	56	101	71	48
ENSMUSG00000099508	1700030L20Rik	0	1	0	0	0	0	0	0
ENSMUSG00000097424	1700030M09Rik	2	0	0	0	1	1	1	0
ENSMUSG00000100969	1700030N03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100198	1700030O20Rik	0	0	0	0	0	0	0	0
ENSMUSG00000092239	1700031A10Rik	0	0	0	0	0	0	1	0
ENSMUSG00000032894	1700031F05Rik	0	5	0	0	0	0	0	0
ENSMUSG00000099353	1700031M16Rik	0	0	0	0	0	0	1	0
ENSMUSG00000100315	1700031P21Rik	0	0	0	0	1	1	0	0
ENSMUSG00000024532	1700034E13Rik	3	0	0	2	1	0	1	0
ENSMUSG00000097962	1700034G24Rik	0	0	0	0	0	0	0	0
ENSMUSG00000055833	1700034H15Rik	7	4	4	11	3	8	2	5
ENSMUSG00000074619	1700034I23Rik	16	20	34	18	10	15	13	9
ENSMUSG00000040163	1700034J05Rik	45	29	26	22	18	34	68	34
ENSMUSG00000100294	1700034K08Rik	0	0	0	0	0	0	0	0
ENSMUSG00000029867	1700034O15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000097893	1700034P13Rik	17	7	5	46	49	47	45	26
ENSMUSG00000099995	1700036G14Rik	0	0	0	0	0	0	0	0
ENSMUSG00000005983	1700037C18Rik	4	2	4	3	4	5	11	1
ENSMUSG00000027327	1700037H04Rik	16	11	31	44	39	60	34	40
ENSMUSG00000070568	1700039E15Rik	0	0	0	0	0	0	0	0
ENSMUSG00000092369	1700039E22Rik	0	0	0	0	0	0	0	0
ENSMUSG00000019945	1700040L02Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100282	1700041C23Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100857	1700041M19Rik	0	0	0	1	0	0	0	0
ENSMUSG00000078593	1700042G07Rik	0	0	0	0	0	0	0	0
ENSMUSG00000087044	1700042G15Rik	0	0	0	0	0	0	1	0
ENSMUSG00000086391	1700042O10Rik	2	0	1	0	0	0	0	0
ENSMUSG00000099911	1700044C05Rik	0	0	0	0	0	0	0	0
ENSMUSG00000100297	1700044K03Rik	0	0	0	0	0	0	0	0
ENSMUSG00000078492	1700045H11Rik	4	0	0	1	1	3	1	3
