id	sym	Control_1	Control_2	preS_1	preS_2
ENSG00000000003	TSPAN6	343	473	449	391
ENSG00000000419	DPM1	380	460	502	429
ENSG00000000457	SCYL3	158	179	196	139
ENSG00000000460	C1orf112	417	398	340	269
ENSG00000000938	FGR	0	0	0	1
ENSG00000000971	CFH	643	700	894	520
ENSG00000001036	FUCA2	2300	2725	2213	2166
ENSG00000001084	GCLC	467	637	526	702
ENSG00000001167	NFYA	1044	1304	1203	992
ENSG00000001460	STPG1	614	700	533	553
ENSG00000001461	NIPAL3	4059	4415	3063	2688
ENSG00000001497	LAS1L	1519	1374	1179	1004
ENSG00000001561	ENPP4	25	61	71	57
ENSG00000001617	SEMA3F	365	783	498	614
ENSG00000001626	CFTR	1	1	1	2
ENSG00000001629	ANKIB1	1271	1722	1334	1086
ENSG00000001630	CYP51A1	71	127	136	96
ENSG00000001631	KRIT1	464	646	579	441
ENSG00000002016	RAD52	208	202	192	141
ENSG00000002079	MYH16	5	4	28	13
ENSG00000002330	BAD	555	521	468	387
ENSG00000002549	LAP3	1271	1306	1383	1002
ENSG00000002726	AOC1	0	1	0	0
ENSG00000002745	WNT16	1	3	3	6
ENSG00000002746	HECW1	245	256	334	293
ENSG00000002822	MAD1L1	1073	1049	1011	841
ENSG00000002834	LASP1	17803	17590	12916	9990
ENSG00000002919	SNX11	357	341	435	347
ENSG00000003056	M6PR	1980	2148	2471	2311
ENSG00000003096	KLHL13	0	0	3	2
ENSG00000003137	CYP26B1	3	9	3	5
ENSG00000003147	ICA1	0	1	4	2
ENSG00000003249	DBNDD1	99	61	58	40
ENSG00000003393	ALS2	1127	1330	1463	1043
ENSG00000003400	CASP10	22	20	28	26
ENSG00000003402	CFLAR	853	1199	894	815
ENSG00000003436	TFPI	965	1299	1297	865
ENSG00000003509	NDUFAF7	213	235	240	202
ENSG00000003756	RBM5	1537	1740	1244	1106
ENSG00000003987	MTMR7	29	30	26	24
ENSG00000003989	SLC7A2	556	1023	405	386
ENSG00000004059	ARF5	809	768	699	584
ENSG00000004139	SARM1	181	241	137	136
ENSG00000004142	POLDIP2	2811	2677	2721	2323
ENSG00000004399	PLXND1	2937	3174	1557	1487
ENSG00000004455	AK2	3106	2955	2996	2414
ENSG00000004468	CD38	2	0	2	1
ENSG00000004478	FKBP4	4323	4206	4338	4170
ENSG00000004487	KDM1A	2466	2258	2156	1747
ENSG00000004534	RBM6	1228	1523	1046	990
ENSG00000004660	CAMKK1	320	268	267	278
ENSG00000004700	RECQL	939	1328	1424	1058
ENSG00000004766	CCDC132	314	352	354	279
ENSG00000004776	HSPB6	263	252	96	86
ENSG00000004777	ARHGAP33	419	351	132	166
ENSG00000004779	NDUFAB1	641	585	881	681
ENSG00000004799	PDK4	1	3	1	4
ENSG00000004809	SLC22A16	0	1	0	1
ENSG00000004838	ZMYND10	16	32	8	10
ENSG00000004848	ARX	1	0	0	0
ENSG00000004864	SLC25A13	388	410	501	399
ENSG00000004866	ST7	472	495	494	349
ENSG00000004897	CDC27	3293	4167	4116	2886
ENSG00000004939	SLC4A1	0	0	0	1
ENSG00000004948	CALCR	0	0	0	1
ENSG00000004961	HCCS	621	672	830	720
ENSG00000004975	DVL2	1076	1061	842	759
ENSG00000005001	PRSS22	0	0	2	2
ENSG00000005007	UPF1	4302	4344	3527	3329
ENSG00000005020	SKAP2	391	746	900	722
ENSG00000005022	SLC25A5	6906	6194	6086	5429
ENSG00000005059	CCDC109B	196	141	109	69
ENSG00000005073	HOXA11	513	479	499	476
ENSG00000005075	POLR2J	511	456	530	458
ENSG00000005100	DHX33	1114	1198	1128	939
ENSG00000005108	THSD7A	0	0	1	0
ENSG00000005156	LIG3	799	753	728	557
ENSG00000005175	RPAP3	729	945	970	789
ENSG00000005187	ACSM3	5	8	4	5
ENSG00000005189	na	283	285	207	201
ENSG00000005194	CIAPIN1	797	700	975	894
ENSG00000005206	SPPL2B	519	546	301	379
ENSG00000005238	FAM214B	547	523	1004	779
ENSG00000005243	COPZ2	686	690	595	535
ENSG00000005249	PRKAR2B	278	394	522	416
ENSG00000005302	MSL3	596	651	671	543
ENSG00000005339	CREBBP	4094	4677	2583	2568
ENSG00000005379	BZRAP1	25	8	1	3
ENSG00000005421	PON1	0	1	0	1
ENSG00000005436	GCFC2	353	473	383	322
ENSG00000005448	WDR54	483	438	460	458
ENSG00000005469	CROT	247	352	290	296
ENSG00000005471	ABCB4	12	11	13	3
ENSG00000005483	KMT2E	1340	1802	1440	916
ENSG00000005486	RHBDD2	594	727	713	731
ENSG00000005513	SOX8	0	0	6	4
ENSG00000005700	IBTK	1379	1803	1643	1266
ENSG00000005801	ZNF195	296	472	359	311
ENSG00000005810	MYCBP2	2911	4407	3277	2242
ENSG00000005812	FBXL3	489	672	551	418
ENSG00000005844	ITGAL	0	2	0	1
ENSG00000005882	PDK2	309	341	213	205
ENSG00000005884	ITGA3	7238	7530	7806	7027
ENSG00000005889	ZFX	699	1042	811	643
ENSG00000005893	LAMP2	2346	4592	3305	3138
ENSG00000005961	ITGA2B	11	14	2	5
ENSG00000006007	GDE1	1311	1380	1308	1057
ENSG00000006015	C19orf60	346	360	326	256
ENSG00000006016	CRLF1	34	34	24	28
ENSG00000006025	OSBPL7	155	208	92	138
ENSG00000006042	TMEM98	704	485	679	470
ENSG00000006047	YBX2	1	0	0	0
ENSG00000006062	MAP3K14	360	426	177	183
ENSG00000006118	TMEM132A	274	334	288	312
ENSG00000006125	AP2B1	6009	5670	5584	3865
ENSG00000006194	ZNF263	547	596	549	515
ENSG00000006282	SPATA20	1362	1528	1437	1284
ENSG00000006283	CACNA1G	1	7	1	5
ENSG00000006327	TNFRSF12A	3804	3800	3592	3426
ENSG00000006432	MAP3K9	51	34	65	33
ENSG00000006451	RALA	1896	2599	4005	3418
ENSG00000006453	BAIAP2L1	172	173	92	90
ENSG00000006459	KDM7A	94	142	99	127
ENSG00000006468	ETV1	412	461	1167	676
ENSG00000006530	AGK	579	517	576	484
ENSG00000006534	ALDH3B1	646	748	394	349
ENSG00000006576	PHTF2	1193	1372	1236	826
ENSG00000006606	CCL26	7	8	15	26
ENSG00000006607	FARP2	939	804	815	631
ENSG00000006625	GGCT	295	291	273	240
ENSG00000006634	DBF4	543	607	547	437
ENSG00000006638	TBXA2R	34	21	17	26
ENSG00000006652	IFRD1	999	1264	1378	1199
ENSG00000006695	COX10	299	260	309	233
ENSG00000006704	GTF2IRD1	549	478	407	432
ENSG00000006712	PAF1	2428	2350	1873	1676
ENSG00000006715	VPS41	782	1160	1246	946
ENSG00000006740	ARHGAP44	24	23	27	27
ENSG00000006744	ELAC2	1841	1760	2176	1746
ENSG00000006747	SCIN	361	515	362	384
ENSG00000006756	ARSD	156	165	136	133
