id	sym	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000000003	TSPAN6	718	760	802	482	776	824
ENSG00000000005	TNMD	1	0	0	0	0	0
ENSG00000000419	DPM1	5391	5518	5303	4255	5990	5712
ENSG00000000457	SCYL3	887	1007	826	662	1030	930
ENSG00000000460	C1orf112	1371	1488	1464	1139	1654	1517
ENSG00000000971	CFH	1	0	1	0	0	2
ENSG00000001036	FUCA2	4589	4729	4991	3458	5446	5114
ENSG00000001084	GCLC	3235	3514	3154	2423	3599	3294
ENSG00000001167	NFYA	2847	3324	3203	1908	3294	3036
ENSG00000001460	STPG1	196	231	173	130	206	255
ENSG00000001461	NIPAL3	708	976	580	453	801	613
ENSG00000001497	LAS1L	3420	3465	2903	2443	3797	3180
ENSG00000001561	ENPP4	978	1012	863	710	976	963
ENSG00000001617	SEMA3F	4420	5309	3221	2932	5124	4148
ENSG00000001626	CFTR	0	2	3	0	4	1
ENSG00000001629	ANKIB1	6342	6888	5783	4697	7014	6258
ENSG00000001630	CYP51A1	429	344	380	284	378	403
ENSG00000001631	KRIT1	2398	2892	2388	1831	2765	2534
ENSG00000002016	RAD52	405	482	398	277	466	382
ENSG00000002079	MYH16	45	53	52	32	32	41
ENSG00000002330	BAD	549	568	484	374	567	604
ENSG00000002549	LAP3	3517	3449	3175	2763	3892	3258
ENSG00000002587	HS3ST1	15	14	11	8	11	15
ENSG00000002726	AOC1	3	1	2	4	2	1
ENSG00000002745	WNT16	2	7	8	7	4	8
ENSG00000002746	HECW1	26	17	19	14	13	10
ENSG00000002822	MAD1L1	1524	1821	1578	983	1839	1634
ENSG00000002834	LASP1	8901	7662	7803	6225	8170	7911
ENSG00000002919	SNX11	1739	1785	1931	1151	1877	1861
ENSG00000002933	TMEM176A	0	0	0	0	0	1
ENSG00000003056	M6PR	4262	3862	4193	3082	4343	4198
ENSG00000003096	KLHL13	478	646	454	305	596	555
ENSG00000003137	CYP26B1	73	81	81	71	87	94
ENSG00000003147	ICA1	2297	3016	2127	1635	2681	2426
ENSG00000003249	DBNDD1	3418	2530	2816	2556	2669	2880
ENSG00000003393	ALS2	1853	2226	1845	1322	2191	1976
ENSG00000003400	CASP10	37	40	30	30	45	46
ENSG00000003402	CFLAR	2507	2966	2146	1573	2733	2569
ENSG00000003436	TFPI	795	909	1153	601	1003	1069
ENSG00000003509	NDUFAF7	815	880	761	584	863	847
ENSG00000003756	RBM5	4373	5666	4068	3093	5336	4220
ENSG00000003987	MTMR7	188	227	192	121	203	228
ENSG00000003989	SLC7A2	36305	34239	27718	24426	31843	31369
ENSG00000004059	ARF5	4155	4445	4122	2989	4497	4410
ENSG00000004139	SARM1	144	167	158	115	151	152
ENSG00000004142	POLDIP2	6057	5769	6016	4483	6542	6046
ENSG00000004399	PLXND1	12792	14488	10303	8893	14745	10601
ENSG00000004455	AK2	5030	4374	4355	3677	4884	4545
ENSG00000004468	CD38	6	7	2	2	5	10
ENSG00000004478	FKBP4	29480	28496	28116	19614	29657	29338
ENSG00000004487	KDM1A	6600	6536	6222	4821	6599	6557
ENSG00000004534	RBM6	4929	5403	4457	3455	5404	4974
ENSG00000004660	CAMKK1	334	269	228	265	291	304
ENSG00000004700	RECQL	1875	2001	1759	1299	2019	1893
ENSG00000004766	CCDC132	1178	1388	1126	876	1399	1106
ENSG00000004776	HSPB6	4	5	9	5	9	8
ENSG00000004777	ARHGAP33	1056	2076	1143	652	1486	1775
ENSG00000004779	NDUFAB1	5696	5328	5452	4477	6341	5651
ENSG00000004799	PDK4	216	197	169	167	186	180
ENSG00000004809	SLC22A16	0	0	0	1	0	1
ENSG00000004838	ZMYND10	74	95	50	40	74	65
ENSG00000004846	ABCB5	7	9	5	7	13	10
ENSG00000004848	ARX	45	48	38	40	36	46
ENSG00000004864	SLC25A13	2651	2274	2693	2066	2610	2782
ENSG00000004866	ST7	557	602	541	384	645	561
ENSG00000004897	CDC27	5280	6509	5948	3994	6732	6203
ENSG00000004939	SLC4A1	16	18	17	12	22	21
ENSG00000004948	CALCR	702	797	674	393	731	793
ENSG00000004961	HCCS	1497	1457	1405	1134	1770	1491
ENSG00000004975	DVL2	1758	2291	1840	1169	2025	1998
ENSG00000005001	PRSS22	583	389	585	432	444	556
ENSG00000005007	UPF1	10849	10910	9675	8266	10570	10148
ENSG00000005020	SKAP2	2264	2517	2291	1776	2415	2492
ENSG00000005022	SLC25A5	31687	32192	30336	22442	36433	31512
ENSG00000005059	CCDC109B	1254	1300	1320	1001	1595	1373
ENSG00000005073	HOXA11	15	14	10	4	24	17
ENSG00000005075	POLR2J	1408	1694	1481	1093	1691	1644
ENSG00000005100	DHX33	3191	2974	2948	2297	3052	2932
ENSG00000005102	MEOX1	1	0	0	0	0	1
ENSG00000005108	THSD7A	0	0	0	1	0	0
ENSG00000005156	LIG3	1364	1555	1436	1092	1608	1479
ENSG00000005175	RPAP3	2988	3212	3170	2350	3474	3290
ENSG00000005187	ACSM3	37	63	29	35	48	40
ENSG00000005189	na	1285	1459	1353	966	1484	1489
ENSG00000005194	CIAPIN1	1818	1693	1966	1223	2022	1825
ENSG00000005206	SPPL2B	1531	2174	1382	1091	1680	1881
ENSG00000005238	FAM214B	522	666	348	321	565	452
ENSG00000005243	COPZ2	88	68	109	65	80	94
ENSG00000005249	PRKAR2B	475	541	525	337	552	572
ENSG00000005302	MSL3	755	872	653	524	812	767
ENSG00000005339	CREBBP	10111	12054	9543	6715	10666	10020
ENSG00000005379	BZRAP1	6	7	8	6	6	8
ENSG00000005421	PON1	1	2	1	0	4	0
ENSG00000005436	GCFC2	740	667	668	586	696	654
ENSG00000005448	WDR54	1753	1907	1456	1187	2098	1683
ENSG00000005469	CROT	1263	1127	966	1135	1240	899
ENSG00000005471	ABCB4	53	48	25	33	33	51
ENSG00000005483	KMT2E	4237	4634	4198	3155	4453	4404
ENSG00000005486	RHBDD2	3144	3059	3164	2164	3162	3125
ENSG00000005513	SOX8	15	9	20	18	17	24
ENSG00000005700	IBTK	6121	5590	5468	5012	5932	5844
ENSG00000005801	ZNF195	1183	1120	969	910	1189	1045
ENSG00000005810	MYCBP2	2715	3349	2870	1956	3289	2729
ENSG00000005812	FBXL3	1311	1393	1261	923	1391	1330
ENSG00000005844	ITGAL	54	61	49	33	59	43
ENSG00000005882	PDK2	754	888	664	468	780	836
ENSG00000005884	ITGA3	3370	3644	2890	2324	3666	3002
ENSG00000005889	ZFX	1819	2107	1906	1276	2149	1917
ENSG00000005893	LAMP2	9618	10232	8807	7081	10447	8966
ENSG00000005961	ITGA2B	201	346	224	130	266	335
ENSG00000005981	ASB4	12	13	14	5	12	11
ENSG00000006007	GDE1	5453	5512	5147	3628	5448	5092
ENSG00000006015	C19orf60	1294	1441	1310	1032	1450	1463
ENSG00000006016	CRLF1	668	895	816	553	859	876
ENSG00000006025	OSBPL7	1426	1448	1279	960	1219	1542
ENSG00000006042	TMEM98	31	22	22	11	24	31
ENSG00000006047	YBX2	1462	2029	1746	865	1556	2187
ENSG00000006059	KRT33A	1	0	0	0	0	0
ENSG00000006062	MAP3K14	605	437	512	492	486	427
ENSG00000006071	ABCC8	135	150	112	81	139	118
ENSG00000006116	CACNG3	1	0	0	0	0	0
ENSG00000006118	TMEM132A	5810	5884	5084	4216	5482	5593
ENSG00000006125	AP2B1	7782	8748	6840	5337	8555	7124
ENSG00000006194	ZNF263	1838	1988	1700	1428	2087	1734
ENSG00000006210	CX3CL1	18	4	11	11	17	9
ENSG00000006282	SPATA20	3381	3347	3196	2267	3493	3588
ENSG00000006283	CACNA1G	17	13	19	8	12	15
ENSG00000006327	TNFRSF12A	2973	2371	3802	2784	3425	2817
ENSG00000006432	MAP3K9	2899	2760	2705	2243	2757	2667
ENSG00000006451	RALA	3288	3305	3146	2355	3460	3229
ENSG00000006453	BAIAP2L1	1058	863	990	837	980	943
ENSG00000006459	KDM7A	801	843	692	553	763	738
ENSG00000006468	ETV1	1	0	1	0	0	1
ENSG00000006530	AGK	1814	1650	1631	1356	1769	1844
ENSG00000006534	ALDH3B1	870	360	576	773	555	569
ENSG00000006555	TTC22	15	28	25	20	26	24
ENSG00000006576	PHTF2	3526	3768	3888	2529	3874	3804
ENSG00000006606	CCL26	2	4	8	2	5	3
ENSG00000006607	FARP2	3350	3423	3211	2426	3569	3289
ENSG00000006611	USH1C	0	1	2	1	0	1
ENSG00000006625	GGCT	3427	3452	3112	2676	3856	3657
ENSG00000006634	DBF4	2538	3444	3321	2121	3694	3509
ENSG00000006638	TBXA2R	31	29	29	23	32	44
ENSG00000006652	IFRD1	4182	3821	4088	3712	5245	3729
ENSG00000006695	COX10	767	804	779	579	873	767
ENSG00000006704	GTF2IRD1	1568	1623	1186	1131	1658	1410
ENSG00000006712	PAF1	5550	6789	5925	3757	6632	6260
ENSG00000006715	VPS41	3303	3398	3221	2291	3397	3351
ENSG00000006740	ARHGAP44	780	911	743	596	912	775
ENSG00000006744	ELAC2	5827	5827	5698	4320	6020	5836
ENSG00000006747	SCIN	196	269	229	111	252	212
ENSG00000006756	ARSD	3022	3621	2925	1882	3097	3010
ENSG00000006757	PNPLA4	123	108	122	75	142	95
ENSG00000006831	ADIPOR2	6149	6344	6047	4572	6634	6007
ENSG00000006837	CDKL3	34	42	37	28	45	40
ENSG00000007001	UPP2	1	9	0	1	3	1
ENSG00000007038	PRSS21	0	0	0	1	0	0
ENSG00000007047	MARK4	1149	1370	1141	729	1231	1317
ENSG00000007062	PROM1	0	0	1	0	0	0
ENSG00000007080	CCDC124	2975	2744	2613	2111	3236	2995
ENSG00000007129	CEACAM21	1	1	1	0	0	2
ENSG00000007168	PAFAH1B1	6367	7169	6649	4467	7371	6690
ENSG00000007171	NOS2	3	0	3	1	1	2
ENSG00000007174	DNAH9	7	5	5	3	8	5
ENSG00000007202	KIAA0100	12407	13386	11444	8655	13525	11930
ENSG00000007216	SLC13A2	1	1	0	1	0	0
ENSG00000007237	GAS7	8	5	5	3	4	8
ENSG00000007255	TRAPPC6A	979	1080	970	663	1003	1076
ENSG00000007264	MATK	542	360	408	469	405	467
ENSG00000007306	CEACAM7	2	2	9	3	2	2
ENSG00000007314	SCN4A	1	1	0	0	0	0
ENSG00000007341	ST7L	564	619	470	372	592	520
ENSG00000007350	TKTL1	0	0	0	1	0	0
ENSG00000007372	PAX6	33	39	23	23	31	28
ENSG00000007376	RPUSD1	2228	2030	2106	1760	2120	2317
ENSG00000007384	RHBDF1	3065	3488	3202	2149	3247	3549
ENSG00000007392	LUC7L	2958	3595	3099	2261	3447	3356
ENSG00000007402	CACNA2D2	183	200	182	138	151	202
ENSG00000007516	BAIAP3	971	942	859	623	820	1168
ENSG00000007520	TSR3	1103	1154	1093	1008	1175	1169
ENSG00000007541	PIGQ	1135	1334	991	749	1173	1260
ENSG00000007545	CRAMP1L	1475	1551	1221	1029	1386	1410
ENSG00000007866	TEAD3	1850	2269	1885	1235	2175	2036
ENSG00000007908	SELE	1	0	1	2	1	0
ENSG00000007923	DNAJC11	2631	2509	2396	1916	2683	2606
ENSG00000007933	FMO3	6	2	2	6	4	4
ENSG00000007944	MYLIP	2268	2800	1919	1553	2497	2184
ENSG00000007952	NOX1	6	19	13	11	21	14
ENSG00000007968	E2F2	1649	1519	1388	1118	1459	1524
ENSG00000008018	PSMB1	10774	12029	10263	7678	13553	10589
ENSG00000008056	SYN1	9	14	17	9	6	12
ENSG00000008083	JARID2	8131	8217	6634	5867	8081	8017
ENSG00000008086	CDKL5	852	1040	1156	537	976	1055
ENSG00000008118	CAMK1G	1	0	2	2	1	1
ENSG00000008128	CDK11A	267	264	234	172	246	287
ENSG00000008130	NADK	3932	4792	3461	2704	4645	3761
ENSG00000008196	TFAP2B	1	2	1	0	1	1
ENSG00000008226	DLEC1	13	26	11	8	14	13
ENSG00000008256	CYTH3	944	1015	1103	726	979	1097
ENSG00000008277	ADAM22	667	930	712	412	832	776
ENSG00000008282	SYPL1	8859	9179	8965	6699	9935	9197
ENSG00000008283	CYB561	17296	17691	16562	12149	18230	17742
ENSG00000008294	SPAG9	7765	9358	7698	5630	9152	7532
ENSG00000008300	CELSR3	1699	1761	1575	1180	1683	1700
ENSG00000008311	AASS	29	34	36	27	16	37
ENSG00000008323	PLEKHG6	891	957	859	650	988	1007
ENSG00000008324	SS18L2	594	503	516	421	629	592
ENSG00000008382	MPND	996	1061	862	675	1058	970
ENSG00000008394	MGST1	7134	7700	6256	5809	8658	6523
ENSG00000008405	CRY1	1150	1448	1255	971	1607	1193
ENSG00000008438	PGLYRP1	4	10	7	5	5	14
ENSG00000008441	NFIX	175	232	255	105	203	226
ENSG00000008513	ST3GAL1	7081	4211	6137	6734	6070	5197
ENSG00000008516	MMP25	47	66	37	31	47	55
ENSG00000008517	IL32	11	10	7	3	9	12
ENSG00000008710	PKD1	3566	4095	3154	2633	3325	3745
ENSG00000008735	MAPK8IP2	186	208	240	126	167	262
ENSG00000008838	MED24	2120	2259	1846	1409	2261	2054
ENSG00000008853	RHOBTB2	915	933	928	608	999	860
ENSG00000008869	HEATR5B	3139	3262	2747	2092	2984	2878
