id	sym	WT_6_hr_DMSO_1	WT_6_hr_DMSO_2	WT_6_hr_DMSO_3	WT_6_hr_Tunicamycin_1	WT_6_hr_Tunicamycin_2	WT_6_hr_Tunicamycin_3
ENSMUSG00000000001	Gnai3	2952	2777	3775	8209	7250	8523
ENSMUSG00000000028	Cdc45	34	17	28	157	192	219
ENSMUSG00000000031	H19	17	15	9	4	4	41
ENSMUSG00000000037	Scml2	2	2	0	0	2	2
ENSMUSG00000000049	Apoh	37257	34376	47596	23451	25028	30819
ENSMUSG00000000056	Narf	1592	1493	1762	708	909	1163
ENSMUSG00000000058	Cav2	102	93	116	113	122	176
ENSMUSG00000000078	Klf6	256	226	279	996	911	918
ENSMUSG00000000085	Scmh1	176	196	233	237	240	284
ENSMUSG00000000088	Cox5a	1774	1505	2018	1273	1344	1692
ENSMUSG00000000093	Tbx2	47	85	103	116	110	156
ENSMUSG00000000094	Tbx4	0	0	2	0	0	0
ENSMUSG00000000120	Ngfr	66	66	95	68	62	58
ENSMUSG00000000126	Wnt9a	13	18	27	23	14	14
ENSMUSG00000000127	Fer	145	202	174	326	313	482
ENSMUSG00000000131	Xpo6	739	912	1140	1404	1154	1310
ENSMUSG00000000134	Tfe3	479	507	808	1657	1350	1634
ENSMUSG00000000142	Axin2	159	164	254	215	166	194
ENSMUSG00000000148	Brat1	232	274	373	474	370	412
ENSMUSG00000000149	Gna12	2716	1795	3584	2265	2132	2764
ENSMUSG00000000154	Slc22a18	1803	2000	2229	1002	1028	1581
ENSMUSG00000000157	Itgb2l	24	78	49	255	198	239
ENSMUSG00000000159	Igsf5	598	500	625	929	1090	1304
ENSMUSG00000000167	Pih1d2	7	18	12	10	5	10
ENSMUSG00000000168	Dlat	1093	1149	1303	937	887	1012
ENSMUSG00000000171	Sdhd	4623	3858	4976	1907	2003	2494
ENSMUSG00000000182	Fgf23	0	0	0	0	0	1
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	155	208	280	275	233	379
ENSMUSG00000000194	Gpr107	456	483	719	830	670	811
ENSMUSG00000000197	Nalcn	1	0	1	1	0	2
ENSMUSG00000000204	Slfn4	7	17	10	6	8	14
ENSMUSG00000000214	Th	1	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	0	0	1	5	1	0
ENSMUSG00000000244	Tspan32	6	6	4	6	4	9
ENSMUSG00000000247	Lhx2	69	75	70	55	76	69
ENSMUSG00000000248	Clec2g	0	0	0	0	1	0
ENSMUSG00000000253	Gmpr	5	14	20	22	16	14
ENSMUSG00000000266	Mid2	169	217	200	447	343	490
ENSMUSG00000000275	Trim25	2532	2385	3819	1786	1800	1994
ENSMUSG00000000276	Dgke	63	76	73	127	99	151
ENSMUSG00000000278	Scpep1	866	667	1304	1529	1579	1884
ENSMUSG00000000282	Mnt	212	313	363	1251	1243	1340
ENSMUSG00000000290	Itgb2	201	121	206	225	182	233
ENSMUSG00000000295	Hddc2	20	11	16	14	21	22
ENSMUSG00000000296	Tpd52l1	148	133	187	111	96	119
ENSMUSG00000000301	Pemt	5718	4870	5892	3131	3485	4394
ENSMUSG00000000303	Cdh1	705	1012	884	392	423	815
ENSMUSG00000000305	Cdh4	16	24	22	46	30	38
ENSMUSG00000000308	Ckmt1	0	4	0	1	0	17
ENSMUSG00000000317	Bcl6b	34	38	59	32	21	28
ENSMUSG00000000318	Clec10a	12	6	19	7	9	14
ENSMUSG00000000320	Alox12	7	12	20	15	7	14
ENSMUSG00000000325	Arvcf	265	412	400	346	470	470
ENSMUSG00000000326	Comt	11431	8073	11877	5756	4191	5189
ENSMUSG00000000339	Rtca	99	104	122	87	79	109
ENSMUSG00000000340	Dbt	2151	2982	3272	1638	1628	1986
ENSMUSG00000000346	Dazap2	2489	2154	2832	2624	2536	2970
ENSMUSG00000000355	Mcts1	566	640	629	587	578	680
ENSMUSG00000000359	Rem1	7	14	12	4	14	11
ENSMUSG00000000365	Rnf17	0	3	5	2	5	1
ENSMUSG00000000374	Trappc10	592	647	981	1475	1253	1579
ENSMUSG00000000378	Ccm2	398	306	419	472	446	520
ENSMUSG00000000381	Wap	0	0	0	1	0	0
ENSMUSG00000000384	Tbrg4	699	945	1007	1614	1598	1850
ENSMUSG00000000385	Tmprss2	130	179	282	303	341	430
ENSMUSG00000000386	Mx1	53	57	57	33	28	36
ENSMUSG00000000392	Fap	3	8	12	7	6	8
ENSMUSG00000000399	Ndufa9	1641	1789	2238	1121	1262	1492
ENSMUSG00000000402	Egfl6	0	2	2	2	2	1
ENSMUSG00000000409	Lck	28	16	20	22	9	26
ENSMUSG00000000411	Tssk3	1	0	3	2	0	2
ENSMUSG00000000416	Cttnbp2	5	12	7	7	12	16
ENSMUSG00000000420	Galnt1	1180	1150	1424	898	887	998
ENSMUSG00000000439	Mkrn2	224	275	291	483	402	486
ENSMUSG00000000440	Pparg	144	117	110	197	214	202
ENSMUSG00000000441	Raf1	745	815	964	1517	1267	1431
ENSMUSG00000000486	Sept1	30	25	32	30	19	29
ENSMUSG00000000489	Pdgfb	17	13	19	21	28	32
ENSMUSG00000000530	Acvrl1	56	61	65	74	68	98
ENSMUSG00000000531	Grasp	26	24	32	25	36	53
ENSMUSG00000000532	Acvr1b	314	415	418	354	321	407
ENSMUSG00000000538	Tom1l2	582	711	1119	2787	2037	2625
ENSMUSG00000000544	Gpa33	0	0	0	0	0	1
ENSMUSG00000000552	Zfp385a	243	293	380	142	137	216
ENSMUSG00000000555	Itga5	501	476	881	969	872	1042
ENSMUSG00000000561	Wdr77	332	445	411	1198	1125	1131
ENSMUSG00000000562	Adora3	2	0	2	1	1	2
ENSMUSG00000000563	Atp5f1	7196	5827	7313	4587	4786	5920
