id	sym	DMSO_1	DMSO_2	JQ1_1	JQ1_2
ENSG00000000003	TSPAN6	72	81	119	154
ENSG00000000419	DPM1	1640	1673	1174	1285
ENSG00000000457	SCYL3	441	490	650	800
ENSG00000000460	C1orf112	1543	1631	1407	1628
ENSG00000000938	FGR	0	0	3	0
ENSG00000000971	CFH	3721	3985	7641	7717
ENSG00000001036	FUCA2	3788	3949	2569	2846
ENSG00000001084	GCLC	1318	1378	2375	2627
ENSG00000001167	NFYA	1394	1566	2508	2747
ENSG00000001460	STPG1	224	242	201	260
ENSG00000001461	NIPAL3	1045	1052	473	625
ENSG00000001497	LAS1L	3830	4037	2120	2455
ENSG00000001617	SEMA3F	28	21	57	57
ENSG00000001626	CFTR	0	1	0	0
ENSG00000001629	ANKIB1	1171	1200	1441	1739
ENSG00000001630	CYP51A1	154	161	119	105
ENSG00000001631	KRIT1	1655	1859	1810	1896
ENSG00000002016	RAD52	230	246	251	268
ENSG00000002079	MYH16	0	1	1	0
ENSG00000002330	BAD	152	177	216	222
ENSG00000002549	LAP3	2653	2830	1837	2003
ENSG00000002726	AOC1	0	0	0	1
ENSG00000002746	HECW1	1	2	0	1
ENSG00000002822	MAD1L1	791	747	821	1060
ENSG00000002834	LASP1	6653	6634	11243	12212
ENSG00000002919	SNX11	700	748	703	809
ENSG00000002933	TMEM176A	5	9	7	7
ENSG00000003056	M6PR	3314	3492	3179	3431
ENSG00000003096	KLHL13	75	57	19	22
ENSG00000003137	CYP26B1	3	2	2	0
ENSG00000003147	ICA1	606	636	668	776
ENSG00000003249	DBNDD1	248	231	130	126
ENSG00000003393	ALS2	1246	1302	2130	2345
ENSG00000003400	CASP10	1172	1027	1674	1826
ENSG00000003402	CFLAR	3392	3544	6097	6688
ENSG00000003436	TFPI	16059	16944	10049	11387
ENSG00000003509	NDUFAF7	818	944	504	495
ENSG00000003756	RBM5	1712	1898	2882	2977
ENSG00000003987	MTMR7	0	0	0	1
ENSG00000003989	SLC7A2	27	27	10	10
ENSG00000004059	ARF5	2233	2289	2690	3062
ENSG00000004139	SARM1	12	12	39	42
ENSG00000004142	POLDIP2	4458	4507	3228	3510
ENSG00000004399	PLXND1	956	872	698	763
ENSG00000004455	AK2	19026	19509	8845	9369
ENSG00000004468	CD38	0	0	1	0
ENSG00000004478	FKBP4	7142	7247	1206	1393
ENSG00000004487	KDM1A	8544	8964	7241	7698
ENSG00000004534	RBM6	2480	2697	2661	2808
ENSG00000004660	CAMKK1	254	267	111	141
ENSG00000004700	RECQL	1399	1381	1866	2245
ENSG00000004766	VPS50	1540	1641	1184	1278
ENSG00000004776	HSPB6	2	2	3	4
ENSG00000004777	ARHGAP33	179	161	262	283
ENSG00000004779	NDUFAB1	3728	4187	2122	2533
ENSG00000004799	PDK4	38	24	219	283
ENSG00000004838	ZMYND10	37	37	20	26
ENSG00000004846	ABCB5	1	1	2	3
ENSG00000004848	ARX	0	2	0	0
ENSG00000004864	SLC25A13	3024	2932	2867	3134
ENSG00000004866	ST7	1706	1752	873	877
ENSG00000004897	CDC27	4444	4697	4711	5294
ENSG00000004939	SLC4A1	27	24	31	44
ENSG00000004948	CALCR	4	3	25	34
ENSG00000004961	HCCS	1641	1773	1076	1256
ENSG00000004975	DVL2	1274	1208	1400	1448
ENSG00000005001	PRSS22	4	0	2	0
ENSG00000005007	UPF1	5183	5340	4929	5549
ENSG00000005020	SKAP2	853	903	1320	1614
ENSG00000005022	SLC25A5	16403	16324	12661	14096
ENSG00000005059	CCDC109B	260	258	193	207
ENSG00000005073	HOXA11	8	10	0	0
ENSG00000005075	POLR2J	866	951	772	880
ENSG00000005100	DHX33	1706	1757	883	1006
ENSG00000005108	THSD7A	2	0	2	0
ENSG00000005156	LIG3	2804	2656	1672	1745
ENSG00000005175	RPAP3	2696	2874	3667	3712
ENSG00000005187	ACSM3	11407	11262	3152	3455
ENSG00000005189	AC004381.6	874	912	862	970
ENSG00000005194	CIAPIN1	2549	2657	2081	2472
ENSG00000005206	SPPL2B	721	828	1244	1383
ENSG00000005238	FAM214B	216	188	318	312
ENSG00000005243	COPZ2	0	2	3	4
ENSG00000005249	PRKAR2B	6197	6524	3576	4768
ENSG00000005302	MSL3	821	802	648	700
ENSG00000005339	CREBBP	1460	1483	1904	1995
ENSG00000005379	TSPOAP1	145	141	410	483
ENSG00000005381	MPO	0	1	0	0
ENSG00000005421	PON1	1	0	0	0
ENSG00000005436	GCFC2	815	897	613	704
ENSG00000005448	WDR54	117	110	270	279
ENSG00000005469	CROT	77	104	194	195
ENSG00000005471	ABCB4	0	2	4	2
ENSG00000005483	KMT2E	2258	2269	2720	2841
ENSG00000005486	RHBDD2	1124	1091	2413	2775
ENSG00000005513	SOX8	8	11	6	2
ENSG00000005700	IBTK	1950	2084	1262	1480
ENSG00000005801	ZNF195	1493	1655	1040	1067
ENSG00000005810	MYCBP2	1479	1396	1674	1772
ENSG00000005812	FBXL3	473	557	606	805
ENSG00000005844	ITGAL	1	1	3	6
ENSG00000005882	PDK2	176	168	113	113
ENSG00000005884	ITGA3	9	21	364	402
ENSG00000005889	ZFX	742	780	997	1271
ENSG00000005893	LAMP2	9309	9598	16086	19224
ENSG00000005961	ITGA2B	64	95	12	20
ENSG00000005981	ASB4	1	1	0	1
ENSG00000006007	GDE1	1420	1516	1446	1554
ENSG00000006015	C19orf60	693	629	755	776
ENSG00000006016	CRLF1	23	21	10	10
ENSG00000006025	OSBPL7	417	482	659	716
ENSG00000006042	TMEM98	2123	2078	1421	1611
ENSG00000006047	YBX2	96	86	32	25
ENSG00000006062	MAP3K14	365	364	485	640
ENSG00000006071	ABCC8	0	0	2	3
ENSG00000006118	TMEM132A	75	78	40	36
ENSG00000006125	AP2B1	13204	12825	11107	12370
ENSG00000006128	TAC1	2	3	0	2
ENSG00000006194	ZNF263	1184	1239	941	1037
ENSG00000006210	CX3CL1	3	4	3	2
ENSG00000006282	SPATA20	234	222	233	258
ENSG00000006283	CACNA1G	1	0	4	2
ENSG00000006327	TNFRSF12A	603	725	2234	2437
ENSG00000006432	MAP3K9	15	24	62	71
ENSG00000006451	RALA	3330	3375	4701	5472
ENSG00000006453	BAIAP2L1	2112	2132	1703	1845
ENSG00000006459	KDM7A	1015	1048	1573	1831
ENSG00000006468	ETV1	567	540	739	976
ENSG00000006530	AGK	2306	2299	2054	2131
ENSG00000006534	ALDH3B1	7	3	1	4
ENSG00000006555	TTC22	0	1	0	5
ENSG00000006576	PHTF2	2085	2284	4595	5393
ENSG00000006606	CCL26	12	8	1	1
ENSG00000006607	FARP2	1633	1647	2445	2575
ENSG00000006611	USH1C	0	0	0	1
ENSG00000006625	GGCT	1345	1389	838	986
ENSG00000006634	DBF4	2391	2758	2235	2342
ENSG00000006638	TBXA2R	464	448	863	876
ENSG00000006652	IFRD1	2569	3101	2365	2639
ENSG00000006695	COX10	661	633	392	456
ENSG00000006704	GTF2IRD1	901	892	635	687
ENSG00000006712	PAF1	1517	1479	1688	1762
ENSG00000006715	VPS41	2398	2450	2381	2784
ENSG00000006740	ARHGAP44	9	5	9	5
ENSG00000006744	ELAC2	3571	3737	2367	2677
ENSG00000006747	SCIN	5	11	6	14
ENSG00000006756	ARSD	5	7	7	6
ENSG00000006757	PNPLA4	323	338	337	338
ENSG00000006831	ADIPOR2	3454	3657	4083	4497
ENSG00000006837	CDKL3	23	22	33	27
ENSG00000007038	PRSS21	1802	2053	1010	1066
ENSG00000007047	MARK4	884	844	1285	1192
ENSG00000007062	PROM1	0	0	1	0
ENSG00000007080	CCDC124	2583	2572	1699	1914
