id	sym	WT_aTreg_1	WT_aTreg_2	WT_aTreg_3	WT_rTreg_1	WT_rTreg_2
ENSMUSG00000000001	Gnai3	7529	8605	7160	5024	4892
ENSMUSG00000000028	Cdc45	275	128	298	134	188
ENSMUSG00000000031	H19	5	1	0	0	0
ENSMUSG00000000037	Scml2	8	7	8	5	2
ENSMUSG00000000049	Apoh	0	0	0	1	1
ENSMUSG00000000056	Narf	1106	1127	1362	891	1334
ENSMUSG00000000058	Cav2	0	1	62	2	0
ENSMUSG00000000078	Klf6	3736	5225	5443	7211	5956
ENSMUSG00000000085	Scmh1	450	417	243	275	370
ENSMUSG00000000088	Cox5a	1217	1125	1049	716	395
ENSMUSG00000000093	Tbx2	4	1	7	0	0
ENSMUSG00000000120	Ngfr	7	2	0	0	0
ENSMUSG00000000125	Wnt3	45	2	116	127	68
ENSMUSG00000000126	Wnt9a	0	0	0	1	0
ENSMUSG00000000127	Fer	6	8	11	2	7
ENSMUSG00000000131	Xpo6	8020	7729	6191	1973	5608
ENSMUSG00000000134	Tfe3	663	823	1484	360	383
ENSMUSG00000000142	Axin2	1130	1365	1401	65	125
ENSMUSG00000000148	Brat1	863	1214	808	789	1334
ENSMUSG00000000149	Gna12	631	663	982	347	583
ENSMUSG00000000154	Slc22a18	1	0	4	0	2
ENSMUSG00000000159	Igsf5	0	0	1	0	0
ENSMUSG00000000167	Pih1d2	3	6	3	5	5
ENSMUSG00000000168	Dlat	969	1289	1028	704	749
ENSMUSG00000000171	Sdhd	1493	1755	1759	1977	1423
ENSMUSG00000000182	Fgf23	0	0	1	0	0
ENSMUSG00000000184	Ccnd2	29027	20948	15449	11119	10937
ENSMUSG00000000194	Gpr107	1589	1435	2540	557	818
ENSMUSG00000000202	Btbd17	0	0	1	0	0
ENSMUSG00000000204	Slfn4	0	0	6	12	1
ENSMUSG00000000214	Th	0	0	0	1	0
ENSMUSG00000000215	Ins2	0	0	2	3	3
ENSMUSG00000000223	Drp2	4	2	1	0	0
ENSMUSG00000000244	Tspan32	6651	5473	5466	18591	13742
ENSMUSG00000000247	Lhx2	2	2	11	1	1
ENSMUSG00000000248	Clec2g	3	0	0	8	3
ENSMUSG00000000253	Gmpr	1	0	2	1	0
ENSMUSG00000000266	Mid2	0	0	255	0	0
ENSMUSG00000000275	Trim25	5330	4344	2748	603	1577
ENSMUSG00000000276	Dgke	960	897	892	344	528
ENSMUSG00000000278	Scpep1	97	142	540	66	59
ENSMUSG00000000282	Mnt	1377	1514	1256	71	114
ENSMUSG00000000290	Itgb2	18587	18179	17755	11531	14679
ENSMUSG00000000295	Hddc2	388	470	376	719	488
ENSMUSG00000000301	Pemt	38	39	11	53	37
ENSMUSG00000000303	Cdh1	15	3	18	7	5
ENSMUSG00000000305	Cdh4	1	1	0	0	0
ENSMUSG00000000308	Ckmt1	0	2	3	1	2
ENSMUSG00000000317	Bcl6b	1	0	5	0	0
ENSMUSG00000000320	Alox12	0	1	3	1	5
ENSMUSG00000000325	Arvcf	50	48	62	14	46
ENSMUSG00000000326	Comt	484	389	1127	775	593
ENSMUSG00000000339	Rtca	354	336	359	298	226
ENSMUSG00000000340	Dbt	686	875	620	344	323
ENSMUSG00000000346	Dazap2	11087	12053	10564	14899	11058
ENSMUSG00000000355	Mcts1	1087	1170	968	1883	951
ENSMUSG00000000359	Rem1	0	0	1	0	0
ENSMUSG00000000365	Rnf17	6	4	25	12	1
ENSMUSG00000000374	Trappc10	3342	3360	3234	455	676
ENSMUSG00000000378	Ccm2	6255	6403	4294	5982	5755
ENSMUSG00000000381	Wap	0	0	0	0	1
ENSMUSG00000000384	Tbrg4	1457	1181	912	155	324
ENSMUSG00000000386	Mx1	349	79	297	49	145
ENSMUSG00000000392	Fap	10	5	14	5	2
ENSMUSG00000000394	Gcg	4	0	1	0	0
ENSMUSG00000000399	Ndufa9	1802	1767	1407	2370	1746
ENSMUSG00000000402	Egfl6	0	0	0	2	0
ENSMUSG00000000409	Lck	20202	24230	17953	31916	27400
ENSMUSG00000000411	Tssk3	0	2	1	1	0
ENSMUSG00000000416	Cttnbp2	1	2	0	0	0
ENSMUSG00000000420	Galnt1	5257	5813	5561	2046	2659
ENSMUSG00000000439	Mkrn2	453	537	523	465	520
ENSMUSG00000000440	Pparg	2	0	59	1	2
ENSMUSG00000000441	Raf1	1718	1645	1968	1269	1730
ENSMUSG00000000486	Sept1	13345	14581	10498	4589	5473
ENSMUSG00000000489	Pdgfb	4	14	109	9	2
ENSMUSG00000000530	Acvrl1	653	1477	48	256	364
ENSMUSG00000000531	Grasp	108	106	108	97	103
ENSMUSG00000000532	Acvr1b	1609	2140	717	63	66
ENSMUSG00000000538	Tom1l2	680	694	997	327	735
ENSMUSG00000000552	Zfp385a	3	5	6	0	0
ENSMUSG00000000555	Itga5	264	222	211	72	205
ENSMUSG00000000560	Gabra2	0	1	1	2	2
ENSMUSG00000000561	Wdr77	742	738	815	745	714
ENSMUSG00000000562	Adora3	4	0	2	0	0
ENSMUSG00000000563	Atp5f1	5876	5792	4552	6340	3965
ENSMUSG00000000567	Sox9	1	0	0	3	0
ENSMUSG00000000568	Hnrnpd	5362	5155	5008	2365	2346
ENSMUSG00000000579	Dynlt1c	135	102	176	485	442
ENSMUSG00000000581	C1d	1070	1082	1034	1318	790
ENSMUSG00000000594	Gm2a	4278	4496	4346	4597	3957
ENSMUSG00000000600	Krit1	1655	1399	2298	1631	1371
ENSMUSG00000000605	Clcn4	3098	2921	3036	2219	2667
ENSMUSG00000000617	Grm6	6	51	7	11	15
ENSMUSG00000000627	Sema4f	647	829	507	105	300
ENSMUSG00000000628	Hk2	56	20	253	15	11
ENSMUSG00000000631	Myo18a	3109	3021	3820	443	1606
ENSMUSG00000000632	Sez6	5	5	0	0	0
ENSMUSG00000000673	Haao	4	5	13	2	3
ENSMUSG00000000682	Cd52	16209	15714	11434	16201	9325
ENSMUSG00000000686	Abhd15	55	46	8	16	31
ENSMUSG00000000690	Hoxb6	0	1	0	0	0
ENSMUSG00000000693	Loxl3	3	2	8	0	3
ENSMUSG00000000708	Kat2b	2869	1940	1910	1198	1515
ENSMUSG00000000711	Rab5b	2674	2936	3053	371	934
ENSMUSG00000000724	Cryba1	1	0	0	6	0
ENSMUSG00000000731	Aire	0	0	3	0	3
ENSMUSG00000000732	Icosl	139	189	324	71	133
ENSMUSG00000000738	Spg7	1700	1836	1170	1055	1419
ENSMUSG00000000739	Sult5a1	0	0	1	1	1
ENSMUSG00000000740	Rpl13	39652	39716	18860	19883	10964
ENSMUSG00000000743	Chmp1a	3469	3330	3280	2738	3180
ENSMUSG00000000751	Rpa1	5914	7017	4293	2439	3525
ENSMUSG00000000753	Serpinf1	3	4	35	2	5
ENSMUSG00000000759	Tubgcp3	1287	1079	1494	1054	1595
ENSMUSG00000000766	Oprm1	12	12	14	2	6
ENSMUSG00000000776	Polr3d	428	425	289	482	403
ENSMUSG00000000782	Tcf7	38997	58826	14374	10643	12827
ENSMUSG00000000787	Ddx3x	13309	15148	9914	2461	2814
ENSMUSG00000000791	Il12rb1	582	189	1749	174	350
ENSMUSG00000000794	Kcnn3	1	1	0	0	0
ENSMUSG00000000804	Usp32	2863	2692	2127	227	610
ENSMUSG00000000811	Txnrd3	146	134	96	116	102
ENSMUSG00000000817	Fasl	104	159	136	389	263
ENSMUSG00000000823	Zfp512b	1215	1184	1036	270	943
ENSMUSG00000000826	Dnajc5	5216	4953	4856	2117	3499
ENSMUSG00000000827	Tpd52l2	1083	1059	1146	1430	1013
ENSMUSG00000000838	Fmr1	2333	2332	2543	1102	1031
ENSMUSG00000000861	Bcl11a	2	5	4	0	0
ENSMUSG00000000869	Il4	3	12	48	1	1
ENSMUSG00000000876	Pxmp4	675	708	387	767	574
ENSMUSG00000000881	Dlg3	521	424	626	232	215
ENSMUSG00000000884	Gnb1l	205	220	163	323	256
ENSMUSG00000000889	Dbh	0	0	2	0	0
ENSMUSG00000000901	Mmp11	138	90	45	242	269
ENSMUSG00000000902	Smarcb1	1759	1529	1632	1408	1189
ENSMUSG00000000903	Vpreb3	10	10	7	2	5
ENSMUSG00000000915	Hip1r	645	466	3153	161	509
ENSMUSG00000000916	Nsun5	452	354	376	637	648
ENSMUSG00000000934	Top1mt	163	169	147	83	151
ENSMUSG00000000938	Hoxa10	0	0	1	0	0
ENSMUSG00000000942	Hoxa4	0	1	0	1	3
ENSMUSG00000000948	Gm38393	10	2	5	1	2
ENSMUSG00000000957	Mmp14	270	66	349	36	65
ENSMUSG00000000958	Slc7a7	50	35	33	24	25
ENSMUSG00000000959	Oxa1l	1969	1688	1812	809	629
ENSMUSG00000000976	Heatr6	1154	1065	1227	701	816
ENSMUSG00000000982	Ccl3	0	0	12	1	0
ENSMUSG00000001014	Icam4	5	1	20	9	6
ENSMUSG00000001016	Ilf2	1812	1683	1639	1740	1576
ENSMUSG00000001017	Chtop	7526	6971	6353	3206	3153
ENSMUSG00000001018	Snapin	1006	983	1037	1791	1189
ENSMUSG00000001020	S100a4	7	4	339	5	6
ENSMUSG00000001021	S100a3	1	3	11	4	0
ENSMUSG00000001025	S100a6	142	70	3088	69	69
ENSMUSG00000001027	Scn4a	4	1	1	0	0
ENSMUSG00000001029	Icam2	1730	1861	749	2085	1270
ENSMUSG00000001034	Mapk7	579	524	520	299	673
ENSMUSG00000001036	Epn2	14	10	16	0	7
ENSMUSG00000001039	B9d1	7	0	45	5	6
ENSMUSG00000001052	Sec24b	3290	3454	3258	892	1441
ENSMUSG00000001053	N4bp3	102	112	232	69	79
ENSMUSG00000001054	Rmnd5b	1284	1390	957	1570	1606
ENSMUSG00000001056	Nhp2	1132	1065	773	1065	680
ENSMUSG00000001062	Vps9d1	423	377	535	356	437
ENSMUSG00000001065	Zfp276	447	357	434	438	892
ENSMUSG00000001082	Mfsd10	467	427	797	470	592
ENSMUSG00000001089	Luzp1	271	146	295	49	112
ENSMUSG00000001098	Kctd10	1597	1577	1464	644	1183
ENSMUSG00000001100	Poldip2	842	751	611	779	845
ENSMUSG00000001105	Ift20	785	754	708	700	433
ENSMUSG00000001119	Col6a1	0	1	0	1	0
ENSMUSG00000001120	Pcbp3	154	183	216	212	146
ENSMUSG00000001123	Lgals9	6253	5085	3520	8661	7205
ENSMUSG00000001127	Araf	1979	1921	2178	3020	3034
ENSMUSG00000001128	Cfp	35	45	98	15	15
ENSMUSG00000001131	Timp1	0	4	2	4	4
ENSMUSG00000001134	Uxt	181	182	171	335	179
ENSMUSG00000001138	Cnnm3	1118	1058	1357	351	947
ENSMUSG00000001143	Lman2l	532	693	630	530	623
ENSMUSG00000001150	Mcm3ap	2904	2985	2846	298	1398
ENSMUSG00000001151	Pcnt	2439	2594	2450	622	936
ENSMUSG00000001156	Mxd1	2526	1183	1307	1921	2662
ENSMUSG00000001157	Gmcl1	1595	1634	1552	1734	1568
ENSMUSG00000001158	Snrnp27	614	619	582	644	381
ENSMUSG00000001166	Oas1c	379	295	409	222	260
ENSMUSG00000001173	Ocrl	327	307	576	154	223
ENSMUSG00000001175	Calm1	17789	19121	13494	14522	9293
ENSMUSG00000001211	Agpat3	6390	4801	5293	2752	4185
ENSMUSG00000001227	Sema6b	7	0	10	0	2
ENSMUSG00000001228	Uhrf1	1104	332	1558	148	520
ENSMUSG00000001229	Dpp9	1871	2047	1766	657	1243
ENSMUSG00000001247	Lsr	3	7	116	6	7
ENSMUSG00000001248	Gramd1a	6171	5691	4615	5996	10112
ENSMUSG00000001249	Hpn	2	4	125	19	25
ENSMUSG00000001270	Ckb	517	526	439	220	369
ENSMUSG00000001280	Sp1	6674	7784	7282	423	751
ENSMUSG00000001281	Itgb7	29717	23812	18809	25270	30638
ENSMUSG00000001285	Myg1	739	672	694	693	564
ENSMUSG00000001288	Rarg	1456	1055	2483	254	411
ENSMUSG00000001289	Pfdn5	4833	4889	4314	1550	675
ENSMUSG00000001300	Efnb2	15	14	27	2	4
ENSMUSG00000001305	Rrp15	801	751	530	473	357
ENSMUSG00000001313	Rnd2	4	0	5	1	1
ENSMUSG00000001323	Srr	115	104	146	78	81
ENSMUSG00000001333	Sync	1	3	2	2	0
ENSMUSG00000001334	Fndc5	0	0	3	0	1
ENSMUSG00000001348	Acp5	5473	5123	1820	5243	4091
ENSMUSG00000001349	Cnn1	0	1	2	0	1
ENSMUSG00000001366	Fbxo9	1107	1093	814	1568	1475
ENSMUSG00000001376	Vps50	840	794	699	645	679
ENSMUSG00000001380	Hars	1944	1812	1540	1394	1443
ENSMUSG00000001383	Zmat2	2192	2171	1911	1223	672
ENSMUSG00000001403	Ube2c	244	84	248	35	63
ENSMUSG00000001415	Smg5	2995	2864	2727	1016	1703
ENSMUSG00000001416	Cct3	6729	6047	5548	7508	7315
ENSMUSG00000001418	Glmp	2343	2170	2629	2259	2233
ENSMUSG00000001419	Mef2d	5072	5331	4646	1160	1821
ENSMUSG00000001420	Tmem79	27	23	10	11	6
ENSMUSG00000001424	Snd1	4453	3891	3491	1716	3537
ENSMUSG00000001435	Col18a1	24	9	27	3	4
ENSMUSG00000001436	Slc19a1	731	606	789	795	1000
ENSMUSG00000001440	Kpnb1	12329	12476	10129	738	1642
