id	sym	C1	C2	C3	5_uM_thapsigargin_rep1	5_uM_thapsigargin_rep2	5_uM_thapsigargin_rep3
ENSMUSG00000000001	Gnai3	10951	10194	12056	11436	13502	12399
ENSMUSG00000000028	Cdc45	1525	1209	1070	1936	1389	887
ENSMUSG00000000031	H19	1	0	50	0	1	26
ENSMUSG00000000037	Scml2	19	6	8	16	14	13
ENSMUSG00000000049	Apoh	12	16	14	18	18	9
ENSMUSG00000000056	Narf	3312	3224	1867	3514	4469	1605
ENSMUSG00000000058	Cav2	21	11	23	15	13	17
ENSMUSG00000000078	Klf6	3056	3255	2803	7228	12037	5210
ENSMUSG00000000085	Scmh1	1121	884	1340	610	530	768
ENSMUSG00000000088	Cox5a	8014	8120	7045	4766	5328	4854
ENSMUSG00000000093	Tbx2	2	1	0	2	4	1
ENSMUSG00000000120	Ngfr	2	1	3	4	2	1
ENSMUSG00000000125	Wnt3	269	173	305	149	77	128
ENSMUSG00000000126	Wnt9a	4	2	6	12	19	8
ENSMUSG00000000127	Fer	748	758	705	1153	1053	820
ENSMUSG00000000131	Xpo6	3584	3059	4091	3739	3449	3666
ENSMUSG00000000134	Tfe3	1346	1405	1543	2537	3343	2800
ENSMUSG00000000142	Axin2	3587	2206	1887	1852	993	743
ENSMUSG00000000148	Brat1	1177	1075	1051	1068	953	922
ENSMUSG00000000149	Gna12	959	708	808	830	667	849
ENSMUSG00000000154	Slc22a18	2214	3043	1672	1326	2073	1288
ENSMUSG00000000157	Itgb2l	61	116	116	85	166	133
ENSMUSG00000000159	Igsf5	1234	1520	1428	1165	1854	1461
ENSMUSG00000000167	Pih1d2	51	61	42	100	75	64
ENSMUSG00000000168	Dlat	5396	4759	5457	4548	4492	4200
ENSMUSG00000000171	Sdhd	16583	19496	16189	7747	11646	9310
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	20294	17799	21623	10420	8835	15319
ENSMUSG00000000194	Gpr107	2238	2829	2422	2253	3435	2681
ENSMUSG00000000197	Nalcn	1	2	0	1	2	1
ENSMUSG00000000202	Btbd17	4	4	5	3	6	6
ENSMUSG00000000204	Slfn4	30	54	31	85	99	78
ENSMUSG00000000214	Th	24	30	29	12	37	23
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	11	17	11	10	17	6
ENSMUSG00000000244	Tspan32	0	1	1	0	1	0
ENSMUSG00000000247	Lhx2	2	1	0	2	2	0
ENSMUSG00000000248	Clec2g	11	0	0	8	3	1
ENSMUSG00000000253	Gmpr	14	38	24	8	32	16
ENSMUSG00000000266	Mid2	689	619	690	934	865	1044
ENSMUSG00000000275	Trim25	4869	5202	3942	2984	4592	3632
ENSMUSG00000000276	Dgke	322	284	366	522	451	384
