id	sym	D_U6_F_T0_1	D_U6_F_T0_2	F_U6_F_T8_1	F_U6_F_T8_2
ENSG00000000003	TSPAN6	685	718	645	686
ENSG00000000419	DPM1	688	641	602	577
ENSG00000000457	SCYL3	246	271	259	272
ENSG00000000460	C1orf112	208	253	194	230
ENSG00000000938	FGR	0	0	1	0
ENSG00000000971	CFH	219	221	217	253
ENSG00000001036	FUCA2	1674	1829	1796	1852
ENSG00000001084	GCLC	948	956	960	1163
ENSG00000001167	NFYA	1311	1356	1355	1234
ENSG00000001460	STPG1	222	217	372	323
ENSG00000001461	NIPAL3	483	454	558	595
ENSG00000001497	LAS1L	1273	1324	1140	1163
ENSG00000001561	ENPP4	106	120	119	112
ENSG00000001617	SEMA3F	379	373	226	290
ENSG00000001626	CFTR	9	11	6	6
ENSG00000001629	ANKIB1	2731	2890	2767	2814
ENSG00000001630	CYP51A1	3	6	2	7
ENSG00000001631	KRIT1	1445	1464	1478	1490
ENSG00000002016	RAD52	268	279	283	283
ENSG00000002079	MYH16	15	19	13	14
ENSG00000002330	BAD	158	208	154	232
ENSG00000002549	LAP3	864	856	792	761
ENSG00000002587	HS3ST1	156	138	131	123
ENSG00000002726	AOC1	2	2	1	1
ENSG00000002745	WNT16	1	0	2	1
ENSG00000002746	HECW1	682	661	465	458
ENSG00000002822	MAD1L1	368	395	312	371
ENSG00000002834	LASP1	11630	11964	12115	11330
ENSG00000002919	SNX11	825	839	773	696
ENSG00000003056	M6PR	2316	2349	2472	2260
ENSG00000003096	KLHL13	364	375	340	296
ENSG00000003137	CYP26B1	13	12	4	6
ENSG00000003147	ICA1	7	5	5	4
ENSG00000003249	DBNDD1	622	674	677	688
ENSG00000003393	ALS2	1501	1609	2014	1926
ENSG00000003400	CASP10	327	359	230	227
ENSG00000003402	CFLAR	3456	3528	4998	4622
ENSG00000003436	TFPI	883	837	1071	1039
ENSG00000003509	NDUFAF7	409	416	413	454
ENSG00000003756	RBM5	1346	1319	1253	1344
ENSG00000003987	MTMR7	64	49	56	44
ENSG00000003989	SLC7A2	351	386	325	326
ENSG00000004059	ARF5	1734	1869	1709	1753
ENSG00000004139	SARM1	36	33	49	31
ENSG00000004142	POLDIP2	2064	2208	1973	2083
ENSG00000004399	PLXND1	5932	6204	4828	5055
ENSG00000004455	AK2	3167	3343	3032	3012
ENSG00000004468	CD38	0	1	1	0
ENSG00000004478	FKBP4	2049	2092	2174	1967
ENSG00000004487	KDM1A	1117	1153	993	1042
ENSG00000004534	RBM6	932	970	778	848
ENSG00000004660	CAMKK1	390	474	362	437
ENSG00000004700	RECQL	646	691	696	724
ENSG00000004766	VPS50	733	833	737	736
ENSG00000004776	HSPB6	1	4	1	3
ENSG00000004777	ARHGAP33	170	188	132	134
ENSG00000004779	NDUFAB1	823	786	733	782
ENSG00000004799	PDK4	18	8	16	15
ENSG00000004838	ZMYND10	4	9	10	6
ENSG00000004846	ABCB5	14	23	43	31
ENSG00000004848	ARX	1	1	1	0
ENSG00000004864	SLC25A13	1986	1881	2113	1903
ENSG00000004866	ST7	408	383	383	418
ENSG00000004897	CDC27	3718	3855	3716	3617
ENSG00000004948	CALCR	789	803	809	816
ENSG00000004961	HCCS	899	906	969	926
ENSG00000004975	DVL2	992	1094	1092	1084
ENSG00000005007	UPF1	2785	2971	2584	2539
ENSG00000005020	SKAP2	1880	1924	2085	2124
ENSG00000005022	SLC25A5	2579	2643	2726	2668
ENSG00000005059	CCDC109B	110	101	74	99
ENSG00000005073	HOXA11	15	4	7	14
ENSG00000005075	POLR2J	415	413	364	384
ENSG00000005100	DHX33	1883	1796	1719	1664
ENSG00000005102	MEOX1	1	0	0	0
ENSG00000005108	THSD7A	21	22	11	9
ENSG00000005156	LIG3	563	610	595	536
ENSG00000005175	RPAP3	1227	1336	1309	1313
ENSG00000005187	ACSM3	349	364	272	302
ENSG00000005189	AC004381.6	177	217	139	135
ENSG00000005194	CIAPIN1	765	776	696	736
ENSG00000005206	SPPL2B	475	532	380	459
ENSG00000005238	FAM214B	414	424	539	435
ENSG00000005243	COPZ2	1	2	2	2
ENSG00000005249	PRKAR2B	177	182	160	182
ENSG00000005302	MSL3	457	513	451	491
ENSG00000005339	CREBBP	2563	2702	3187	3331
ENSG00000005421	PON1	3	1	3	1
ENSG00000005436	GCFC2	597	649	596	614
ENSG00000005448	WDR54	154	159	128	134
ENSG00000005469	CROT	396	399	289	320
ENSG00000005471	ABCB4	13	17	7	16
ENSG00000005483	KMT2E	2348	2509	1997	2074
ENSG00000005486	RHBDD2	1439	1540	1336	1464
ENSG00000005513	SOX8	7	15	8	6
ENSG00000005700	IBTK	3607	3658	4184	4105
ENSG00000005801	ZNF195	727	741	664	667
ENSG00000005810	MYCBP2	1377	1356	1328	1356
ENSG00000005812	FBXL3	1004	1068	1221	1251
ENSG00000005844	ITGAL	2	1	2	1
ENSG00000005882	PDK2	397	392	357	431
ENSG00000005884	ITGA3	20488	21356	19392	19457
ENSG00000005889	ZFX	689	763	822	843
ENSG00000005893	LAMP2	3521	3570	3499	3705
ENSG00000005961	ITGA2B	4	2	1	3
ENSG00000005981	ASB4	3	3	2	4
ENSG00000006007	GDE1	1243	1238	1189	1229
ENSG00000006015	C19orf60	381	406	283	292
ENSG00000006016	CRLF1	92	94	98	97
ENSG00000006025	OSBPL7	370	441	313	318
ENSG00000006047	YBX2	0	0	1	0
ENSG00000006059	KRT33A	0	1	1	0
ENSG00000006062	MAP3K14	2989	3093	2287	2421
ENSG00000006071	ABCC8	0	0	0	1
ENSG00000006116	CACNG3	0	0	0	1
ENSG00000006118	TMEM132A	2358	2446	2168	2221
ENSG00000006125	AP2B1	4206	4262	4269	4360
ENSG00000006194	ZNF263	1249	1260	1220	1198
ENSG00000006210	CX3CL1	1044	1091	673	808
ENSG00000006282	SPATA20	1799	2065	1675	1844
ENSG00000006283	CACNA1G	14	7	8	7
ENSG00000006327	TNFRSF12A	5203	5338	6925	7297
ENSG00000006432	MAP3K9	1327	1365	1555	1628
ENSG00000006451	RALA	1686	1743	1863	1766
ENSG00000006453	BAIAP2L1	1185	1164	959	988
ENSG00000006459	KDM7A	298	292	370	392
ENSG00000006468	ETV1	2	1	0	1
ENSG00000006530	AGK	944	909	893	915
ENSG00000006534	ALDH3B1	1435	1520	936	926
ENSG00000006576	PHTF2	1386	1443	1519	1562
ENSG00000006606	CCL26	1	3	1	2
ENSG00000006607	FARP2	1451	1380	1114	1143
ENSG00000006611	USH1C	331	366	312	322
ENSG00000006625	GGCT	838	891	676	734
ENSG00000006634	DBF4	497	511	334	432
ENSG00000006652	IFRD1	1346	1466	1522	1510
ENSG00000006695	COX10	343	366	355	364
ENSG00000006704	GTF2IRD1	687	653	793	766
ENSG00000006712	PAF1	1117	1077	967	996
ENSG00000006715	VPS41	2587	2684	2751	2720
ENSG00000006740	ARHGAP44	200	221	224	222
ENSG00000006744	ELAC2	1350	1489	1276	1278
ENSG00000006747	SCIN	35	33	37	35
ENSG00000006756	ARSD	743	735	667	665
ENSG00000006757	PNPLA4	288	290	268	264
ENSG00000006831	ADIPOR2	3800	3721	3419	3581
ENSG00000006837	CDKL3	22	14	14	14
ENSG00000007047	MARK4	694	702	720	763
ENSG00000007062	PROM1	21	27	17	17
ENSG00000007080	CCDC124	1015	1085	960	1052
ENSG00000007129	CEACAM21	1	0	0	0
ENSG00000007168	PAFAH1B1	2954	3034	2919	2821
ENSG00000007174	DNAH9	3	1	2	6
ENSG00000007202	KIAA0100	3563	3738	3793	3566
ENSG00000007237	GAS7	12	13	11	5
ENSG00000007255	TRAPPC6A	290	302	282	313
ENSG00000007264	MATK	4	2	4	3
ENSG00000007312	CD79B	4	2	3	6
ENSG00000007314	SCN4A	5	3	4	4
ENSG00000007341	ST7L	194	193	171	161
ENSG00000007350	TKTL1	3	3	4	2
ENSG00000007372	PAX6	341	357	404	409
ENSG00000007376	RPUSD1	843	952	914	922
ENSG00000007384	RHBDF1	525	594	584	611
ENSG00000007392	LUC7L	550	614	754	738
ENSG00000007402	CACNA2D2	3	2	7	5
ENSG00000007516	BAIAP3	20	17	18	16
ENSG00000007520	TSR3	521	597	549	620
ENSG00000007541	PIGQ	709	775	637	680
ENSG00000007545	CRAMP1	456	487	503	519
ENSG00000007866	TEAD3	309	320	277	250
ENSG00000007923	DNAJC11	453	432	379	457
ENSG00000007944	MYLIP	241	210	165	193
ENSG00000007952	NOX1	6	7	13	4
ENSG00000007968	E2F2	232	288	189	212
ENSG00000008018	PSMB1	2077	2109	2088	1951
ENSG00000008083	JARID2	215	220	241	299
ENSG00000008086	CDKL5	1174	1240	1127	1215
ENSG00000008128	CDK11A	5	5	15	5
ENSG00000008130	NADK	600	617	789	754
ENSG00000008226	DLEC1	6	14	5	6
ENSG00000008256	CYTH3	1744	1848	2179	2081
ENSG00000008277	ADAM22	503	545	386	452
ENSG00000008282	SYPL1	3669	3715	3380	3453
ENSG00000008283	CYB561	861	905	740	760
ENSG00000008294	SPAG9	6300	6568	7036	6988
ENSG00000008300	CELSR3	147	155	236	188
ENSG00000008311	AASS	11	14	16	17
ENSG00000008323	PLEKHG6	30	29	14	18
ENSG00000008324	SS18L2	288	332	267	278
ENSG00000008382	MPND	65	74	80	72
ENSG00000008394	MGST1	4483	4572	5358	5336
ENSG00000008405	CRY1	465	545	694	709
ENSG00000008438	PGLYRP1	2	7	2	2
ENSG00000008441	NFIX	386	381	385	379
ENSG00000008513	ST3GAL1	1186	1257	1497	1269
ENSG00000008516	MMP25	10	9	10	8
ENSG00000008517	IL32	171	178	190	138
ENSG00000008710	PKD1	554	584	625	658
ENSG00000008735	MAPK8IP2	2	6	8	8
ENSG00000008838	MED24	775	873	785	740
ENSG00000008853	RHOBTB2	406	436	450	432
ENSG00000008869	HEATR5B	1025	1021	1263	1195
ENSG00000008952	SEC62	4361	4516	4715	4874
ENSG00000008988	RPS20	6672	6671	6522	6787
ENSG00000009307	CSDE1	9172	9175	9239	8977
ENSG00000009335	UBE3C	5799	5487	6437	6011
ENSG00000009413	REV3L	1012	992	1069	1091
ENSG00000009694	TENM1	1	0	1	0
ENSG00000009724	MASP2	11	12	18	11
ENSG00000009765	IYD	1	0	0	0
ENSG00000009780	FAM76A	179	166	182	205
