id	sym	Control_1	Control_2	BMI1_Knockdown_1	BMI1_Knockdown_2
ENSG00000000003	TSPAN6	180	157	190	143
ENSG00000000419	DPM1	812	791	956	756
ENSG00000000457	SCYL3	268	229	283	237
ENSG00000000460	C1orf112	504	498	671	467
ENSG00000000971	CFH	1	0	0	0
ENSG00000001036	FUCA2	1415	1331	1680	1282
ENSG00000001084	GCLC	921	873	1036	782
ENSG00000001167	NFYA	1025	933	935	740
ENSG00000001460	STPG1	125	107	144	107
ENSG00000001461	NIPAL3	1857	1655	1669	1209
ENSG00000001497	LAS1L	1164	952	1726	1302
ENSG00000001561	ENPP4	721	763	916	665
ENSG00000001617	SEMA3F	406	341	366	295
ENSG00000001626	CFTR	1	2	2	1
ENSG00000001629	ANKIB1	2032	1842	2492	1671
ENSG00000001630	CYP51A1	413	353	479	376
ENSG00000001631	KRIT1	1188	1140	1252	927
ENSG00000002016	RAD52	300	273	386	284
ENSG00000002079	MYH16	0	0	1	0
ENSG00000002330	BAD	1034	932	1264	953
ENSG00000002549	LAP3	1719	1478	2136	1563
ENSG00000002587	HS3ST1	212	197	156	145
ENSG00000002726	AOC1	41	31	34	21
ENSG00000002822	MAD1L1	794	593	1004	710
ENSG00000002834	LASP1	2076	1749	1803	1324
ENSG00000002919	SNX11	416	413	631	419
ENSG00000002933	TMEM176A	0	0	0	1
ENSG00000003056	M6PR	2024	1867	3084	2289
ENSG00000003096	KLHL13	126	76	120	113
ENSG00000003137	CYP26B1	18	15	18	12
ENSG00000003147	ICA1	1476	1356	1643	1129
ENSG00000003249	DBNDD1	812	636	742	515
ENSG00000003393	ALS2	815	683	957	694
ENSG00000003400	CASP10	112	84	120	74
ENSG00000003402	CFLAR	1458	1324	1266	889
ENSG00000003436	TFPI	1715	1807	2082	1526
ENSG00000003509	NDUFAF7	233	205	307	198
ENSG00000003756	RBM5	1670	1386	1746	1295
ENSG00000003989	SLC7A2	300	295	367	273
ENSG00000004059	ARF5	2929	2485	3683	2775
ENSG00000004139	SARM1	1405	1265	1407	1037
ENSG00000004142	POLDIP2	4007	3443	4835	3474
ENSG00000004399	PLXND1	73	69	39	21
ENSG00000004455	AK2	3403	2916	4350	3266
ENSG00000004468	CD38	5	4	6	2
ENSG00000004478	FKBP4	10596	9247	13371	10122
ENSG00000004487	KDM1A	2269	1986	2590	1874
ENSG00000004534	RBM6	1264	1089	1462	998
ENSG00000004660	CAMKK1	682	570	776	635
ENSG00000004700	RECQL	1282	1232	1711	1307
ENSG00000004766	VPS50	754	730	969	695
ENSG00000004776	HSPB6	2	0	4	0
ENSG00000004777	ARHGAP33	99	123	82	63
ENSG00000004779	NDUFAB1	1795	1662	2556	1979
ENSG00000004799	PDK4	3	1	1	1
ENSG00000004809	SLC22A16	1	0	0	0
ENSG00000004838	ZMYND10	108	74	130	102
ENSG00000004846	ABCB5	0	0	0	1
ENSG00000004848	ARX	45	22	43	20
ENSG00000004864	SLC25A13	1135	1077	1490	1036
ENSG00000004866	ST7	2263	2013	3220	2356
ENSG00000004897	CDC27	1792	1775	2322	1627
ENSG00000004939	SLC4A1	1	2	1	0
ENSG00000004961	HCCS	473	458	732	488
ENSG00000004975	DVL2	1233	1070	1295	972
ENSG00000005001	PRSS22	34	30	36	24
ENSG00000005007	UPF1	2749	2333	2386	1735
ENSG00000005020	SKAP2	809	807	804	605
ENSG00000005022	SLC25A5	6625	5675	8708	6578
