NKX2_positive_1	NKX2_positive_2	NKX2_positive_3	NKX2_negative_1	NKX2_negative_2	NKX2_negative_3
ENSMUSG00000000001	60.0716104688297	59.9670534369344	71.7644868255064	52.1244082148984	46.2380556331865	17.8658714062671
ENSMUSG00000000028	3.52549503861521	2.53430913850396	3.60294091740555	2.55830421315934	1.77554340062808	1.30868908621112
ENSMUSG00000000056	10.5740078650985	10.6781635346666	11.008642942495	7.01889319779496	7.60005844634866	3.13859084856744
ENSMUSG00000000058	35.2122763766645	21.6310603222409	30.0656091856328	38.0593999183571	41.504049249863	15.2405666086046
ENSMUSG00000000078	208.255282015226	205.907091729131	187.85616123496	401.7215946349	321.888840225094	122.23156431447
ENSMUSG00000000085	6.91703721262418	8.67360341580856	7.74061511258663	9.61752748904081	9.70998348955128	4.4040442193252
ENSMUSG00000000088	33.2713817446478	24.7519678448012	25.2620066701507	44.7762165094944	51.6126417689517	16.4645930964757
ENSMUSG00000000127	9.61261859125575	11.1566003522051	11.7198367943633	8.41263852187101	8.67341821069524	4.22638759515005
ENSMUSG00000000131	8.36982774244642	5.17626177279524	5.68362594618389	7.26178944019217	7.08342196478375	3.07429807365503
ENSMUSG00000000142	2.69749793461283	2.63372108546314	2.35766802552662	1.42210403578193	1.21280275384712	1.10352436803606
ENSMUSG00000000148	4.61634324410897	2.77667643682995	2.80544012339736	3.33351965924124	3.1914708088838	2.0198587343843
ENSMUSG00000000149	18.3213271307192	8.29923468059801	8.9529931451016	9.57270842828441	9.3742285881601	3.58204805523193
ENSMUSG00000000154	6.33336615227267	5.55493082487119	5.55923078275351	21.4580786920894	25.013437901906	8.88539508207653
ENSMUSG00000000159	41.2903366030763	69.2911967974434	67.6521680342492	40.5520961521064	42.3229531079084	17.7971223405023
ENSMUSG00000000167	3.68859783577044	2.66823747253121	3.61047608622688	1.98244300342371	1.84501080119399	2.24284366809104
ENSMUSG00000000168	14.3904333112364	10.8871616035382	11.9448722868176	13.3213490622447	13.8434574996788	5.83639677735747
ENSMUSG00000000171	58.7830451239666	58.9611139713759	60.3691885262668	101.749307837076	115.391420207728	42.9160158542102
ENSMUSG00000000184	11.762913072196	3.92615133104036	2.93932972778729	23.4017613515183	21.8220098651117	10.3877417909226
ENSMUSG00000000194	11.4368527711406	9.97291911424916	9.05032081236182	9.88486429051577	9.37710957630139	4.11474090151153
ENSMUSG00000000204	2.58445062824442	1.07033503611999	1.12931847979072	4.24559824323579	2.24686750152686	1.59583661884544
ENSMUSG00000000216	12.8604159167892	8.93332554046283	5.31704247464623	1.94472919313852	1.90926753399068	1.40547909446421
ENSMUSG00000000253	23.2507234643793	9.0466421966756	7.9301318907174	2.82092475182889	1.70126139558902	1.90714865535395
ENSMUSG00000000275	11.7934363678182	6.28858249339039	5.85178119643627	27.4139281972038	24.1725321917289	11.0786250359113
ENSMUSG00000000276	4.42226152522629	3.78092210944837	3.59643910896074	3.03387032229512	2.75085991809683	1.87811782511018
ENSMUSG00000000278	22.2761138812353	13.8834531117493	15.8272560287715	12.9804046746886	9.8862316699471	5.31129378187367
ENSMUSG00000000282	3.09069894014345	2.07451780516797	1.73141421586784	2.32077968693969	2.70039290938403	1.67257007730616
ENSMUSG00000000290	108.344599570356	3.60163553433094	3.50419860202024	9.40699674383336	1.25436019399234	2.74475159664813
ENSMUSG00000000295	4.63383158169506	5.62246663917708	5.30873437995931	5.17437668836199	5.61799575500662	2.66510067682594
ENSMUSG00000000296	1.52156116218414	2.00551207456085	1.39487076580021	5.5562894347313	6.66009771126999	2.60154096881473
ENSMUSG00000000301	2.36032303118017	2.20200296849299	2.85432098999172	3.10011938156023	2.70723113255878	1.21984736183131
ENSMUSG00000000303	119.66208244066	84.0589868844088	92.1235793107347	179.839477671361	179.247266236553	70.935033860748
ENSMUSG00000000308	30.6025134577904	42.5062349962939	33.3922726576137	180.594323787247	192.877714565632	70.4474243502432
ENSMUSG00000000325	2.84243911829213	1.91707281438008	2.05156152582838	1.87606187037432	1.96781617413761	1.47100612618245
ENSMUSG00000000326	44.7018555301691	35.1643696681431	35.5054085588689	20.3520073400644	19.7454409909841	9.41114555132612
ENSMUSG00000000339	9.93054061241472	10.0073443617656	9.03574394562957	8.99326889626983	8.51942669291787	4.11255040033134
ENSMUSG00000000340	8.30740779223641	10.4498746688955	14.9624671148891	6.83362208670097	5.87476033484815	3.46659116241384
ENSMUSG00000000346	61.6244851912407	57.0324547085554	52.7458626231858	75.0398056036885	81.1798182720688	27.6467359299935
ENSMUSG00000000374	14.4539011452919	12.2163307964463	10.8652127411665	11.3220440834728	10.4998769817279	4.47340972090076
ENSMUSG00000000378	13.287958524173	8.63902351370492	9.0336861098853	7.44274986677578	7.50548784634885	3.31425437372321
ENSMUSG00000000384	7.37807034015182	5.46225223051905	5.20190814744929	8.17470287846117	8.8291677554602	3.85616100514313
ENSMUSG00000000385	13.8699768937321	8.18987727092405	10.8173640905568	74.0460092704317	69.0920667766241	30.5921226743742
ENSMUSG00000000386	1.92021693725994	2.29966817115011	2.15489515180356	2.48512570904727	2.62099956892828	1.87779336197311
ENSMUSG00000000399	35.7786107557658	35.9334587430268	43.7490096991933	39.4716259489864	46.5186808609634	18.1674925194746
ENSMUSG00000000416	1.06128410497995	1.07023120769772	1.02836823297327	2.03467045649115	1.79297791711857	1.60556637838742
ENSMUSG00000000420	38.139156599466	37.6447714095953	42.2191973799049	29.3644047881038	30.8070420606236	11.9496600121688
ENSMUSG00000000439	5.45106691838891	5.74661255204844	5.12761669333233	5.29332594012126	4.77344940090621	3.00385206504816
ENSMUSG00000000440	27.201693385021	5.02299466254889	3.09026930368631	41.4524462562923	42.2142587370726	17.395336855932
ENSMUSG00000000441	36.5857973777706	26.0562712554354	25.1839603613461	26.8873092260561	24.7899409936216	11.9942252698843
ENSMUSG00000000489	8.83203736479582	3.77352608745633	3.19578834110737	3.25119421412657	3.22358156487592	1.86135509342503
ENSMUSG00000000530	8.33429622857756	1.60220228641282	1.90811597655679	2.77840315734936	1.30439368270073	1.3331835086655
ENSMUSG00000000531	17.6717238426624	11.2673268231247	9.75316261350891	12.2976858521286	10.7119701670665	3.60475813947964
ENSMUSG00000000532	17.6149694917894	14.9791896531552	11.1942082067302	11.8729391768933	13.0151511101517	4.5935937261227
ENSMUSG00000000538	9.62475823337654	6.4372879374933	6.63077433884219	7.3308005974767	7.82075891783674	3.55839176378772
ENSMUSG00000000544	2.08501312149003	1.1307365599926	1.36965555904573	54.3050949074159	61.9165863239333	20.7710961563578
ENSMUSG00000000555	4.03290166674659	1.88971534541256	1.56153037734995	1.50037869130907	1.11407320138275	1.34961457019652
ENSMUSG00000000561	9.48778559448543	8.7691021819097	9.66466008533767	7.95842765953076	6.89765504204898	3.90759395120353
