A2058_Control_1_RNA	A2058_Control_2_RNA	A2058_Control_3_RNA	A2058_VitC_1_RNA	A2058_VitC_2_RNA	A2058_VitC_3_RNA
ENSG00000000003	23.170225137607	22.6047015952038	25.0838746987342	24.2077999977619	24.9084775050987	24.1051170795393
ENSG00000000419	85.5423910947423	84.6127701524079	89.7185862811798	78.9906858367287	80.9705954095494	78.3547347682438
ENSG00000000457	9.29807988601824	10.1097640118272	9.36674447622936	9.51221395007128	10.1938816887118	10.6856297859258
ENSG00000000460	12.5826917612232	11.7898400382826	11.2396664182657	12.5400742099068	12.0258428144001	11.1153164541465
ENSG00000000971	6.0971041793309	6.10652865144269	5.99055065295627	10.6358709786495	10.9215292712957	11.3831393646396
ENSG00000001036	59.4888567614681	53.8487589626225	55.1317513361523	61.4060344032959	66.586065396522	66.7586260578484
ENSG00000001084	15.1664152107365	14.7102101965118	15.5987075118198	13.5953283787602	13.7307883856383	12.7799406760464
ENSG00000001167	18.8054266408709	18.4007826094639	18.7548528197238	18.6755794016321	17.3269726228739	15.7862267219092
ENSG00000001460	5.14852732709933	4.67367239751435	4.087630464407	4.04635015333266	4.28943831492273	4.58785424510449
ENSG00000001461	34.6393811432766	34.3043681516848	33.0877797523248	34.0060790321821	33.0348431464638	32.9696837288634
ENSG00000001497	17.8364430527423	17.3196077310219	18.4214235739351	18.1392253734632	16.7499124089258	19.1206730618289
ENSG00000001629	30.6874421324004	30.7052613558262	30.6664695003772	37.0418081003068	36.8864023578219	36.4234335944518
ENSG00000001631	26.4668986473557	28.2885114741998	29.1974045809691	29.0776145780648	29.519072469297	24.7574496838241
ENSG00000002016	4.4341623329542	4.73717490416667	4.26366406690749	4.13416733655185	4.57791418550035	4.42126185960836
ENSG00000002330	5.20843927199765	4.86181706884882	4.84891075143087	5.05956616645886	5.72399544549916	5.15207260134914
ENSG00000002549	47.5196764043502	44.0895516452529	43.6772401219576	51.9734818245848	50.6052627047753	51.514175307021
ENSG00000002586	51.627733590658	42.2579056552352	46.1958657490596	44.197223915137	47.5516604725605	55.8901055774281
ENSG00000002587	1.71355091410296	1.70204436344139	1.69969810849598	1.33893030654651	1.38383674447605	1.43611259774366
ENSG00000002822	24.6411964510006	23.5447720200039	23.705163331974	23.6392183061566	24.5286752209142	26.5375370097624
ENSG00000002834	39.9911026354419	39.3199580797105	39.8499360613099	37.5182375600062	35.9072048615833	36.3477196811055
ENSG00000002919	4.29116777272125	4.21526062411059	4.00989061339256	4.58040466413046	4.71728474186722	4.49793506019916
ENSG00000003056	113.646232470073	119.359649154249	115.258144901074	105.003185494557	112.985272362463	125.39284126728
ENSG00000003096	5.29961074472454	4.6090699568508	4.28557903594105	4.87271063161928	4.66168710071977	4.30180715995655
ENSG00000003147	6.59742269965576	6.9568610663637	7.96602490521342	7.79623737279335	7.79769472462049	8.07065725220789
ENSG00000003249	8.32618062146283	7.62660441319341	7.72345733195478	6.42212762434967	6.05003037735564	5.62140259717264
ENSG00000003393	11.6580624925902	11.1578661634287	11.1924858787892	11.8832458293688	12.0657146797169	12.3567489792102
ENSG00000003400	2.14508210119917	1.95472699757651	2.07465170743076	2.47901153316016	2.36998911429278	2.41816953434239
ENSG00000003402	4.35528653211053	4.66941337146845	4.8687907026727	4.86266757614915	5.07231734367494	4.71835832721711
ENSG00000003436	13.0458480305971	13.0029891200887	14.2226308449568	13.9117575440459	14.8113323359493	13.7972494007625
ENSG00000003509	14.739251117316	14.4514214479977	15.0181682501891	14.584645472304	15.1813593433338	13.0758582961024
ENSG00000003756	37.0091414875338	35.4195853238587	36.9109429790517	35.021225243823	35.8604586529689	38.0542915038023
ENSG00000003989	39.9686639563623	40.3890509919234	38.7755413981386	41.6629623409212	43.2884330654406	39.8944938865171
ENSG00000004059	11.6217209714242	11.1023438115654	12.506950231022	12.1885564123458	15.7814423687131	20.2716518595062
ENSG00000004139	1.79354387928203	1.82243827085189	1.75228492619129	1.51796962101832	1.51981560072245	1.58898262914263
ENSG00000004142	27.5283703140751	25.0419567075111	24.5122117431159	26.7275005799331	26.8369634139711	28.9240722682734
ENSG00000004399	5.5476756877096	5.4928962626296	5.13262368918612	5.65123334275658	6.05371327567641	5.27980707055106
ENSG00000004455	165.707210020716	178.054636000123	183.702419387951	157.48726329455	163.835417479831	169.914528101291
ENSG00000004478	46.8284915489775	42.8147295616903	46.4009586487171	39.9091933055442	39.210722406254	41.5264415376873
ENSG00000004487	58.3592749314963	55.3476690776716	58.1800199165342	55.0592090633303	54.9601343253317	56.1669992850887
ENSG00000004534	36.0209264066777	35.7212905193013	36.1164066915931	33.9840962557385	33.0448732402251	35.831931502399
ENSG00000004660	1.92228072121251	1.9927767403932	1.76379279529517	1.58222625337596	1.71933606166759	1.72807519502411
ENSG00000004700	67.0144242214408	65.1584190384749	66.4832269572129	74.7773576933051	71.6228286095061	75.0282614328985
ENSG00000004766	15.305532049004	15.5098683472286	15.6463596382629	16.1633438250844	15.923619000431	15.5031223919595
ENSG00000004779	144.699361488921	140.723487004647	149.509544824808	127.445279831272	130.344771564687	120.691585756756
ENSG00000004799	101.979790566593	107.005716741745	109.207193056924	57.9777942288624	57.7509589302229	57.7375474673239
ENSG00000004846	1.32196014399453	1.41649164323808	1.42574329713814	1.49170397806643	1.47294288254147	1.66962620543906
ENSG00000004864	51.5190474986443	49.122076634543	50.9571712457225	51.6236703588138	53.4832496563665	51.5670674337083
ENSG00000004866	21.8712570691279	19.5642366144878	19.5256445188539	20.7930946455396	21.5033697093474	21.2630981980438
ENSG00000004897	72.0982156095242	72.0837646377423	70.9656621197337	77.9257962686185	75.6191591771321	74.896750706443
ENSG00000004961	12.250364873548	12.9372321567867	12.8701746701326	13.8235282854864	12.1610837611045	12.899107034981
ENSG00000004975	13.0371515862793	12.9588420171511	13.6638048795406	13.335499072785	13.6451814507463	12.1861753356762
ENSG00000005007	14.2443434440128	13.2675635414104	12.8310404289554	13.4566107718105	13.8933831086104	13.5218839036402
ENSG00000005020	27.9538256209518	29.408288528305	29.3230136677481	31.1994253662069	29.9892001661727	26.8279465264564
ENSG00000005022	123.866469564829	109.996659691187	112.869214315594	108.151063499958	113.815130772862	100.460468916244
ENSG00000005059	6.5716430120596	5.97571173355796	6.43613097236847	5.9321149975359	6.95433349570644	5.99782930916835
ENSG00000005073	2.99622303658831	3.12535957761151	2.48224059348405	4.06988108143327	4.06776239809189	4.37008988218525
ENSG00000005075	36.0782831348804	33.0007689670523	32.3894663021401	31.6156407528454	28.499939782421	28.9371224878802
ENSG00000005100	22.4422547497972	22.1499196991584	21.3596098193236	21.3801834286913	19.3268283185111	19.5214544381028
ENSG00000005156	8.7754716275279	8.68180161728618	8.14954900291462	9.15437162255713	9.16467374516603	8.99514202817359
ENSG00000005175	21.3043767832328	22.0585623484807	22.1250262278782	21.6574908677455	22.1864770691357	20.3973655118258
ENSG00000005189	4.67456826355844	3.96835216035637	3.86299854664205	4.69553006377167	4.40331930064044	3.89436984555767
ENSG00000005194	28.9856805817235	26.2589301501329	27.7169349778783	28.9467786276495	27.8151586084157	35.4429522595429
ENSG00000005206	2.0137688413721	1.9179967798426	1.8043330153356	1.75291515821389	2.05413458609162	1.80694872930149
ENSG00000005238	2.96177551610183	3.00011252827934	2.90768924511009	3.1296601818607	3.13496806989024	2.83966818219922
ENSG00000005243	9.94883640930967	8.25132912163694	11.3534225341759	8.6226423570162	10.5611427555986	11.5119212248599
ENSG00000005249	41.4882118028513	40.0006884323097	40.5845794356211	36.6077911611408	37.7054459861437	34.6627963659042
ENSG00000005302	11.7450112269545	11.5843845822696	10.8896980253295	11.5137583356828	11.5152104974004	12.6644084258155
ENSG00000005339	6.17554731334056	6.84554869274285	6.10692149242202	6.16300119395453	5.77641041464704	4.88655979986214
ENSG00000005436	11.9287703067387	12.4470476837806	12.5341626133251	13.0332078538275	12.4963359462278	12.0360967562076
ENSG00000005448	9.67846796159624	8.66112230662096	9.68162777347051	7.55193451381748	8.16123262501398	6.7379326588252
ENSG00000005469	5.43458268884938	6.01930804521171	4.40904726332444	6.15304920425153	5.72674422704759	6.46212670209041
ENSG00000005483	19.7694005358918	21.0634336866327	20.5339017478288	21.8288796475861	20.7028323673754	20.309438934157
ENSG00000005486	3.17421312812576	3.18516539422074	3.33599113129769	2.84219621548531	2.95575833790706	2.53525357342738
ENSG00000005513	5.45998757293103	5.06478034633888	4.96704625311473	5.42507396893673	5.13126434651741	5.62187416886623
ENSG00000005700	19.7758200794797	19.3212743104468	17.6605493607726	20.4668071688702	19.9520070918458	18.5216845090619
ENSG00000005801	12.6134384465583	12.1326954141649	11.9955302207544	11.6616349780181	12.4368335016584	10.5431963631615
ENSG00000005810	21.3905920166846	22.2757146833419	21.3759529191145	22.0619354960714	21.429960753692	20.9938805455329
ENSG00000005812	36.1785995440047	35.9510140935391	37.623018868471	42.6193917748677	42.1931516758675	37.4338212531785
ENSG00000005882	2.45729082036827	2.24475307678217	2.61816487623747	2.09230652432393	2.0682135476985	2.00547748832206
ENSG00000005884	34.1969467069418	31.6152144258452	30.7339887996445	36.190451933024	38.4058975481598	39.9997457618849
