	sym	shp65_Vehicle_1	shp65_Vehicle_2	shp65_Vehicle_3	shp65_TNF_1	shp65_TNF_2	shp65_TNF_3
ENSG00000000003	TSPAN6	659	382	715	521	574	530
ENSG00000000419	DPM1	291	252	283	273	370	209
ENSG00000000457	SCYL3	172	129	186	216	167	120
ENSG00000000460	C1orf112	39	31	47	41	42	34
ENSG00000000938	FGR	478	443	436	542	536	417
ENSG00000000971	CFH	878	813	918	1014	1336	623
ENSG00000001036	FUCA2	758	644	706	744	856	577
ENSG00000001084	GCLC	658	498	616	801	890	456
ENSG00000001167	NFYA	147	88	177	524	223	186
ENSG00000001460	STPG1	81	61	78	111	71	68
ENSG00000001461	NIPAL3	244	219	293	385	300	221
ENSG00000001497	LAS1L	205	208	213	250	222	144
ENSG00000001629	ANKIB1	877	697	814	1186	981	680
ENSG00000001630	CYP51A1	360	405	372	423	385	301
ENSG00000001631	KRIT1	340	204	254	375	327	186
ENSG00000002016	RAD52	75	59	86	85	54	76
ENSG00000002330	BAD	165	207	144	184	202	138
ENSG00000002549	LAP3	986	870	1047	1139	1199	994
ENSG00000002822	MAD1L1	256	372	228	229	376	254
ENSG00000002834	LASP1	1511	1595	1604	2434	2064	1382
ENSG00000002919	SNX11	173	174	220	312	236	144
ENSG00000003056	M6PR	1059	745	1077	899	1082	884
ENSG00000003147	ICA1	327	341	293	299	375	221
ENSG00000003249	DBNDD1	55	41	55	87	44	45
ENSG00000003393	ALS2	494	325	484	666	594	431
ENSG00000003400	CASP10	43	33	28	56	50	30
ENSG00000003402	CFLAR	1419	1242	1415	2628	1916	1233
ENSG00000003436	TFPI	402	314	408	432	655	273
ENSG00000003509	NDUFAF7	183	172	218	242	280	176
ENSG00000003756	RBM5	622	698	649	883	898	543
ENSG00000004059	ARF5	466	550	439	415	554	388
ENSG00000004142	POLDIP2	1964	1942	2184	2358	2270	1976
ENSG00000004399	PLXND1	446	501	393	1630	555	373
ENSG00000004455	AK2	1040	940	979	1031	1052	747
ENSG00000004478	FKBP4	904	871	933	881	937	789
ENSG00000004487	KDM1A	919	928	1051	977	1103	810
ENSG00000004534	RBM6	374	371	369	411	441	281
ENSG00000004660	CAMKK1	22	29	19	30	38	18
ENSG00000004700	RECQL	341	312	280	337	466	210
ENSG00000004766	CCDC132	327	318	357	326	454	223
ENSG00000004776	HSPB6	270	702	478	1852	783	529
ENSG00000004779	NDUFAB1	932	896	1194	750	1095	890
ENSG00000004799	PDK4	6042	3812	7129	7736	5833	4355
ENSG00000004864	SLC25A13	422	377	579	515	494	402
ENSG00000004866	ST7	167	117	194	233	162	168
ENSG00000004897	CDC27	1057	654	847	1200	1053	646
ENSG00000004961	HCCS	156	116	158	248	161	121
ENSG00000004975	DVL2	346	296	325	578	306	256
ENSG00000005007	UPF1	317	471	390	871	571	344
ENSG00000005020	SKAP2	447	352	516	611	624	390
ENSG00000005022	SLC25A5	971	537	961	1443	716	837
ENSG00000005059	CCDC109B	454	431	599	405	529	406
ENSG00000005073	HOXA11	34	47	47	35	45	34
ENSG00000005075	POLR2J	74	89	55	68	83	61
ENSG00000005100	DHX33	145	99	129	280	165	124
ENSG00000005156	LIG3	166	213	185	266	245	149
ENSG00000005175	RPAP3	143	89	118	222	169	72
ENSG00000005187	ACSM3	39	34	39	41	37	29
ENSG00000005189	na	80	73	65	101	102	54
ENSG00000005194	CIAPIN1	704	710	644	721	787	658
ENSG00000005206	SPPL2B	69	103	59	164	89	66
ENSG00000005238	FAM214B	817	530	901	910	646	708
ENSG00000005243	COPZ2	848	803	707	672	847	672
ENSG00000005249	PRKAR2B	3476	2556	3517	4196	3940	2540
ENSG00000005302	MSL3	180	139	205	195	183	115
ENSG00000005339	CREBBP	202	146	208	735	215	209
ENSG00000005436	GCFC2	305	228	228	324	340	190
ENSG00000005448	WDR54	48	38	45	35	53	51
ENSG00000005469	CROT	144	150	164	153	168	137
ENSG00000005483	KMT2E	378	205	363	709	428	290
ENSG00000005486	RHBDD2	252	152	255	324	208	260
ENSG00000005700	IBTK	2203	1729	2177	2816	3008	1646
ENSG00000005801	ZNF195	264	201	225	308	286	153
ENSG00000005810	MYCBP2	2122	1508	2667	4951	2657	2176
