Geneid	Txid	sym	Tx.len	GC
ENSG00000000003	ENST00000373020	TSPAN6	2206	0.395
ENSG00000000005	ENST00000373031	TNMD	1205	0.423
ENSG00000000419	ENST00000371588	DPM1	1075	0.381
ENSG00000000457	ENST00000367772	SCYL3	3090	0.445
ENSG00000000460	ENST00000286031	C1orf112	4355	0.402
ENSG00000000938	ENST00000374005	FGR	2637	0.572
ENSG00000000971	ENST00000367429	CFH	4127	0.393
ENSG00000001036	ENST00000002165	FUCA2	2356	0.44
ENSG00000001084	ENST00000229416	GCLC	3813	0.443
ENSG00000001167	ENST00000341376	NFYA	3811	0.45
ENSG00000001460	ENST00000003583	STPG1	2544	0.518
ENSG00000001461	ENST00000374399	NIPAL3	5372	0.486
ENSG00000001497	ENST00000374811	LAS1L	2439	0.54
ENSG00000001561	ENST00000321037	ENPP4	4644	0.344
ENSG00000001617	ENST00000002829	SEMA3F	3607	0.617
ENSG00000001626	ENST00000003084	CFTR	6132	0.41
ENSG00000001629	ENST00000265742	ANKIB1	6340	0.427
ENSG00000001630	ENST00000003100	CYP51A1	3155	0.411
ENSG00000001631	ENST00000394507	KRIT1	4762	0.386
ENSG00000002016	ENST00000358495	RAD52	2710	0.477
ENSG00000002079	ENST00000439784	MYH16	5836	0.544
ENSG00000002330	ENST00000394532	BAD	1157	0.663
ENSG00000002549	ENST00000226299	LAP3	2213	0.492
ENSG00000002586	ENST00000381192	CD99	1129	0.532
ENSG00000002587	ENST00000002596	HS3ST1	7160	0.457
ENSG00000002726	ENST00000493429	AOC1	3135	0.597
ENSG00000002745	ENST00000222462	WNT16	3150	0.414
ENSG00000002746	ENST00000395891	HECW1	9453	0.481
ENSG00000002822	ENST00000406869	MAD1L1	2991	0.626
ENSG00000002834	ENST00000318008	LASP1	3910	0.563
ENSG00000002919	ENST00000393405	SNX11	2733	0.527
ENSG00000002933	ENST00000484928	TMEM176A	1530	0.632
ENSG00000003056	ENST00000000412	M6PR	2450	0.457
ENSG00000003096	ENST00000262820	KLHL13	3972	0.406
ENSG00000003137	ENST00000001146	CYP26B1	4732	0.568
ENSG00000003147	ENST00000402384	ICA1	2344	0.468
ENSG00000003249	ENST00000002501	DBNDD1	2079	0.632
ENSG00000003393	ENST00000264276	ALS2	6675	0.452
ENSG00000003400	ENST00000286186	CASP10	5928	0.461
ENSG00000003402	ENST00000309955	CFLAR	14612	0.441
ENSG00000003436	ENST00000233156	TFPI	3859	0.346
ENSG00000003509	ENST00000002125	NDUFAF7	2184	0.427
ENSG00000003756	ENST00000347869	RBM5	3188	0.494
ENSG00000003987	ENST00000180173	MTMR7	5110	0.38
ENSG00000003989	ENST00000470360	SLC7A2	7638	0.409
ENSG00000004059	ENST00000000233	ARF5	1032	0.594
ENSG00000004139	ENST00000585482	SARM1	10277	0.552
ENSG00000004142	ENST00000540200	POLDIP2	2670	0.536
ENSG00000004399	ENST00000324093	PLXND1	7094	0.635
ENSG00000004455	ENST00000354858	AK2	1021	0.533
ENSG00000004468	ENST00000226279	CD38	5620	0.423
ENSG00000004478	ENST00000001008	FKBP4	3715	0.509
ENSG00000004487	ENST00000356634	KDM1A	3033	0.512
ENSG00000004534	ENST00000266022	RBM6	3630	0.479
ENSG00000004660	ENST00000348335	CAMKK1	3563	0.587
ENSG00000004700	ENST00000444129	RECQL	3745	0.375
ENSG00000004766	ENST00000305866	CCDC132	5684	0.367
ENSG00000004776	ENST00000592984	HSPB6	563	0.658
ENSG00000004777	ENST00000314737	ARHGAP33	3858	0.653
ENSG00000004779	ENST00000570319	NDUFAB1	885	0.475
ENSG00000004799	ENST00000005178	PDK4	3601	0.395
ENSG00000004809	ENST00000368919	SLC22A16	1959	0.468
ENSG00000004838	ENST00000231749	ZMYND10	1774	0.601
ENSG00000004846	ENST00000404938	ABCB5	5811	0.407
ENSG00000004848	ENST00000379044	ARX	2893	0.627
ENSG00000004864	ENST00000265631	SLC25A13	3136	0.443
ENSG00000004866	ENST00000393451	ST7	2110	0.481
ENSG00000004897	ENST00000066544	CDC27	5830	0.368
ENSG00000004939	ENST00000262418	SLC4A1	4954	0.561
ENSG00000004948	ENST00000394441	CALCR	1774	0.451
ENSG00000004961	ENST00000321143	HCCS	2277	0.42
ENSG00000004975	ENST00000005340	DVL2	2989	0.603
ENSG00000005001	ENST00000161006	PRSS22	1383	0.637
ENSG00000005007	ENST00000262803	UPF1	5348	0.604
ENSG00000005020	ENST00000345317	SKAP2	3839	0.377
ENSG00000005022	ENST00000317881	SLC25A5	1307	0.479
ENSG00000005059	ENST00000394650	CCDC109B	2230	0.399
ENSG00000005073	ENST00000006015	HOXA11	2295	0.551
ENSG00000005075	ENST00000292614	POLR2J	932	0.559
ENSG00000005100	ENST00000225296	DHX33	5535	0.487
ENSG00000005102	ENST00000318579	MEOX1	2674	0.527
ENSG00000005108	ENST00000423059	THSD7A	10655	0.425
ENSG00000005156	ENST00000378526	LIG3	8400	0.477
ENSG00000005175	ENST00000005386	RPAP3	4339	0.355
ENSG00000005187	ENST00000289416	ACSM3	2533	0.391
ENSG00000005189	ENST00000261377	na	2722	0.477
ENSG00000005194	ENST00000394391	CIAPIN1	2021	0.494
ENSG00000005206	ENST00000613503	SPPL2B	3691	0.644
ENSG00000005238	ENST00000378561	FAM214B	5771	0.564
ENSG00000005243	ENST00000621465	COPZ2	914	0.558
ENSG00000005249	ENST00000265717	PRKAR2B	3689	0.4
ENSG00000005302	ENST00000312196	MSL3	2364	0.459
ENSG00000005339	ENST00000262367	CREBBP	10803	0.558
ENSG00000005379	ENST00000343736	BZRAP1	7698	0.622
ENSG00000005381	ENST00000225275	MPO	3215	0.585
ENSG00000005421	ENST00000222381	PON1	2568	0.43
ENSG00000005436	ENST00000321027	GCFC2	4440	0.387
ENSG00000005448	ENST00000348227	WDR54	1147	0.58
ENSG00000005469	ENST00000331536	CROT	3175	0.402
ENSG00000005471	ENST00000359206	ABCB4	3961	0.456
ENSG00000005483	ENST00000311117	KMT2E	6874	0.432
ENSG00000005486	ENST00000006777	RHBDD2	1721	0.606
ENSG00000005513	ENST00000293894	SOX8	3087	0.641
ENSG00000005700	ENST00000306270	IBTK	6040	0.372
ENSG00000005801	ENST00000354599	ZNF195	2970	0.408
ENSG00000005810	ENST00000544440	MYCBP2	15077	0.443
ENSG00000005812	ENST00000355619	FBXL3	3506	0.38
ENSG00000005844	ENST00000356798	ITGAL	5213	0.554
ENSG00000005882	ENST00000503176	PDK2	3440	0.598
ENSG00000005884	ENST00000505306	ITGA3	5479	0.614
ENSG00000005889	ENST00000379177	ZFX	7558	0.39
ENSG00000005893	ENST00000434600	LAMP2	2089	0.399
ENSG00000005961	ENST00000262407	ITGA2B	3333	0.612
ENSG00000005981	ENST00000325885	ASB4	3784	0.413
ENSG00000006007	ENST00000353258	GDE1	2907	0.469
ENSG00000006015	ENST00000358607	C19orf60	839	0.69
ENSG00000006016	ENST00000392386	CRLF1	1741	0.67
ENSG00000006025	ENST00000007414	OSBPL7	3664	0.61
ENSG00000006042	ENST00000579849	TMEM98	4218	0.487
ENSG00000006047	ENST00000007699	YBX2	1654	0.637
ENSG00000006059	ENST00000007735	KRT33A	1287	0.606
ENSG00000006062	ENST00000376926	MAP3K14	4583	0.59
ENSG00000006071	ENST00000389817	ABCC8	4921	0.577
ENSG00000006116	ENST00000005284	CACNG3	3088	0.544
ENSG00000006118	ENST00000005286	TMEM132A	3480	0.673
ENSG00000006125	ENST00000618940	AP2B1	3415	0.466
ENSG00000006128	ENST00000319273	TAC1	1061	0.393
ENSG00000006194	ENST00000219069	ZNF263	3282	0.553
ENSG00000006210	ENST00000006053	CX3CL1	3285	0.599
ENSG00000006282	ENST00000006658	SPATA20	2634	0.613
ENSG00000006283	ENST00000359106	CACNA1G	8602	0.61
ENSG00000006327	ENST00000326577	TNFRSF12A	1033	0.642
ENSG00000006377	ENST00000518156	DLX6	2300	0.499
ENSG00000006432	ENST00000555993	MAP3K9	4449	0.606
ENSG00000006451	ENST00000005257	RALA	2787	0.41
ENSG00000006453	ENST00000005260	BAIAP2L1	3645	0.517
ENSG00000006459	ENST00000397560	KDM7A	9220	0.383
ENSG00000006468	ENST00000430479	ETV1	6459	0.371
ENSG00000006530	ENST00000355413	AGK	3849	0.442
ENSG00000006534	ENST00000342456	ALDH3B1	2811	0.607
ENSG00000006555	ENST00000371274	TTC22	2149	0.555
ENSG00000006576	ENST00000422959	PHTF2	3525	0.396
ENSG00000006606	ENST00000394905	CCL26	703	0.521
ENSG00000006607	ENST00000264042	FARP2	4009	0.551
ENSG00000006611	ENST00000005226	USH1C	3241	0.559
ENSG00000006625	ENST00000275428	GGCT	1158	0.428
ENSG00000006634	ENST00000265728	DBF4	3655	0.377
ENSG00000006638	ENST00000375190	TBXA2R	2608	0.634
ENSG00000006652	ENST00000403825	IFRD1	3269	0.41
ENSG00000006659	ENST00000360675	LGALS14	773	0.478
ENSG00000006695	ENST00000261643	COX10	2898	0.512
ENSG00000006704	ENST00000265755	GTF2IRD1	3430	0.6
ENSG00000006712	ENST00000221265	PAF1	2200	0.549
