Ensid	Enstxid	sym	Tx.len	GC
ENSMUSG00000000001	ENSMUST00000000001	Gnai3	3262	0.417
ENSMUSG00000000003	ENSMUST00000000003	Pbsn	902	0.401
ENSMUSG00000000028	ENSMUST00000000028	Cdc45	2143	0.493
ENSMUSG00000000031	ENSMUST00000136359	H19	2286	0.558
ENSMUSG00000000037	ENSMUST00000112345	Scml2	4847	0.415
ENSMUSG00000000049	ENSMUST00000000049	Apoh	1190	0.485
ENSMUSG00000000056	ENSMUST00000103015	Narf	4395	0.493
ENSMUSG00000000058	ENSMUST00000000058	Cav2	2733	0.375
ENSMUSG00000000078	ENSMUST00000000080	Klf6	4225	0.424
ENSMUSG00000000085	ENSMUST00000144555	Scmh1	3544	0.5
ENSMUSG00000000088	ENSMUST00000213678	Cox5a	1818	0.416
ENSMUSG00000000093	ENSMUST00000000095	Tbx2	3626	0.632
ENSMUSG00000000094	ENSMUST00000108047	Tbx4	3153	0.539
ENSMUSG00000000103	ENSMUST00000187148	Zfy2	2846	0.394
ENSMUSG00000000120	ENSMUST00000000122	Ngfr	3446	0.586
ENSMUSG00000000125	ENSMUST00000000127	Wnt3	3076	0.526
ENSMUSG00000000126	ENSMUST00000000128	Wnt9a	3320	0.564
ENSMUSG00000000127	ENSMUST00000000129	Fer	2973	0.447
ENSMUSG00000000131	ENSMUST00000206784	Xpo6	7335	0.429
ENSMUSG00000000134	ENSMUST00000126694	Tfe3	6328	0.521
ENSMUSG00000000142	ENSMUST00000052915	Axin2	4260	0.546
ENSMUSG00000000148	ENSMUST00000110806	Brat1	3854	0.577
ENSMUSG00000000149	ENSMUST00000000153	Gna12	3416	0.582
ENSMUSG00000000154	ENSMUST00000105917	Slc22a18	1552	0.571
ENSMUSG00000000157	ENSMUST00000113773	Itgb2l	2806	0.531
ENSMUSG00000000159	ENSMUST00000000163	Igsf5	1851	0.487
ENSMUSG00000000167	ENSMUST00000124029	Pih1d2	1493	0.479
ENSMUSG00000000168	ENSMUST00000034567	Dlat	4035	0.472
ENSMUSG00000000171	ENSMUST00000000175	Sdhd	1231	0.494
ENSMUSG00000000182	ENSMUST00000000186	Fgf23	1814	0.548
ENSMUSG00000000183	ENSMUST00000000187	Fgf6	4657	0.499
ENSMUSG00000000184	ENSMUST00000000188	Ccnd2	6330	0.472
ENSMUSG00000000194	ENSMUST00000056433	Gpr107	6134	0.525
ENSMUSG00000000197	ENSMUST00000000201	Nalcn	7122	0.445
ENSMUSG00000000202	ENSMUST00000156053	Btbd17	3020	0.577
ENSMUSG00000000204	ENSMUST00000000208	Slfn4	3958	0.437
ENSMUSG00000000214	ENSMUST00000105929	Th	1950	0.54
ENSMUSG00000000215	ENSMUST00000210288	Ins2	918	0.536
ENSMUSG00000000216	ENSMUST00000000221	Scnn1g	2991	0.498
ENSMUSG00000000223	ENSMUST00000153424	Drp2	7135	0.486
ENSMUSG00000000244	ENSMUST00000207449	Tspan32	4296	0.548
ENSMUSG00000000247	ENSMUST00000000253	Lhx2	2840	0.585
ENSMUSG00000000248	ENSMUST00000000254	Clec2g	2463	0.407
ENSMUSG00000000253	ENSMUST00000000260	Gmpr	1580	0.576
ENSMUSG00000000263	ENSMUST00000102716	Glra1	2390	0.527
ENSMUSG00000000266	ENSMUST00000112990	Mid2	6271	0.423
ENSMUSG00000000275	ENSMUST00000107896	Trim25	5590	0.5
ENSMUSG00000000276	ENSMUST00000107894	Dgke	8347	0.462
ENSMUSG00000000278	ENSMUST00000000287	Scpep1	2097	0.502
ENSMUSG00000000282	ENSMUST00000000291	Mnt	4590	0.595
ENSMUSG00000000290	ENSMUST00000000299	Itgb2	2970	0.531
ENSMUSG00000000295	ENSMUST00000160447	Hddc2	2781	0.45
ENSMUSG00000000296	ENSMUST00000000305	Tpd52l1	1308	0.495
ENSMUSG00000000301	ENSMUST00000102692	Pemt	1003	0.549
ENSMUSG00000000303	ENSMUST00000000312	Cdh1	4430	0.507
ENSMUSG00000000305	ENSMUST00000000314	Cdh4	6388	0.546
ENSMUSG00000000308	ENSMUST00000000317	Ckmt1	1620	0.549
ENSMUSG00000000317	ENSMUST00000000326	Bcl6b	3366	0.516
ENSMUSG00000000318	ENSMUST00000178945	Clec10a	2332	0.499
ENSMUSG00000000320	ENSMUST00000000329	Alox12	3001	0.52
ENSMUSG00000000325	ENSMUST00000115614	Arvcf	4698	0.589
ENSMUSG00000000326	ENSMUST00000165430	Comt	1978	0.501
ENSMUSG00000000339	ENSMUST00000000348	Rtca	1594	0.532
ENSMUSG00000000340	ENSMUST00000000349	Dbt	3301	0.42
ENSMUSG00000000346	ENSMUST00000000356	Dazap2	2135	0.502
ENSMUSG00000000355	ENSMUST00000000365	Mcts1	783	0.401
ENSMUSG00000000359	ENSMUST00000000369	Rem1	1663	0.581
ENSMUSG00000000365	ENSMUST00000095793	Rnf17	5264	0.405
ENSMUSG00000000374	ENSMUST00000000384	Trappc10	5047	0.523
ENSMUSG00000000378	ENSMUST00000000388	Ccm2	1858	0.571
ENSMUSG00000000381	ENSMUST00000141868	Wap	905	0.523
ENSMUSG00000000384	ENSMUST00000189268	Tbrg4	2347	0.571
ENSMUSG00000000385	ENSMUST00000231908	Tmprss2	5503	0.492
ENSMUSG00000000386	ENSMUST00000023655	Mx1	3385	0.473
ENSMUSG00000000392	ENSMUST00000172676	Fap	2867	0.397
ENSMUSG00000000394	ENSMUST00000102733	Gcg	1088	0.448
ENSMUSG00000000399	ENSMUST00000205002	Ndufa9	1445	0.48
ENSMUSG00000000402	ENSMUST00000000412	Egfl6	2704	0.463
ENSMUSG00000000409	ENSMUST00000067240	Lck	2185	0.542
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	1280	0.542
ENSMUSG00000000416	ENSMUST00000148602	Cttnbp2	5462	0.485
ENSMUSG00000000420	ENSMUST00000170243	Galnt1	4108	0.445
ENSMUSG00000000435	ENSMUST00000000445	Myf5	2083	0.416
ENSMUSG00000000439	ENSMUST00000000449	Mkrn2	6230	0.478
ENSMUSG00000000440	ENSMUST00000171644	Pparg	2125	0.502
ENSMUSG00000000441	ENSMUST00000130528	Raf1	3968	0.468
ENSMUSG00000000486	ENSMUST00000106314	Sept1	1486	0.568
ENSMUSG00000000489	ENSMUST00000000500	Pdgfb	2944	0.6
ENSMUSG00000000530	ENSMUST00000000542	Acvrl1	3640	0.565
ENSMUSG00000000531	ENSMUST00000000543	Grasp	2033	0.62
ENSMUSG00000000532	ENSMUST00000000544	Acvr1b	4418	0.534
ENSMUSG00000000538	ENSMUST00000102683	Tom1l2	4999	0.551
ENSMUSG00000000544	ENSMUST00000060833	Gpa33	2515	0.545
ENSMUSG00000000552	ENSMUST00000229373	Zfp385a	2348	0.626
ENSMUSG00000000555	ENSMUST00000215331	Itga5	4415	0.572
ENSMUSG00000000560	ENSMUST00000197284	Gabra2	5852	0.384
ENSMUSG00000000561	ENSMUST00000130994	Wdr77	4286	0.458
ENSMUSG00000000562	ENSMUST00000000574	Adora3	2370	0.491
ENSMUSG00000000563	ENSMUST00000153666	Atp5f1	2527	0.369
ENSMUSG00000000567	ENSMUST00000000579	Sox9	4135	0.493
ENSMUSG00000000568	ENSMUST00000172361	Hnrnpd	6811	0.417
ENSMUSG00000000579	ENSMUST00000138598	Dynlt1c	3250	0.48
ENSMUSG00000000581	ENSMUST00000000594	C1d	2981	0.36
ENSMUSG00000000594	ENSMUST00000000608	Gm2a	4127	0.484
ENSMUSG00000000600	ENSMUST00000171023	Krit1	5582	0.39
ENSMUSG00000000605	ENSMUST00000000619	Clcn4	4607	0.478
ENSMUSG00000000606	ENSMUST00000233280	Vmn2r88	4573	0.402
ENSMUSG00000000617	ENSMUST00000171427	Grm6	4330	0.548
ENSMUSG00000000627	ENSMUST00000000641	Sema4f	4086	0.573
ENSMUSG00000000628	ENSMUST00000000642	Hk2	5513	0.519
ENSMUSG00000000631	ENSMUST00000108375	Myo18a	7513	0.577
ENSMUSG00000000632	ENSMUST00000142542	Sez6	4523	0.594
ENSMUSG00000000673	ENSMUST00000000687	Haao	1381	0.558
ENSMUSG00000000682	ENSMUST00000000696	Cd52	514	0.51
ENSMUSG00000000686	ENSMUST00000094004	Abhd15	2662	0.583
ENSMUSG00000000690	ENSMUST00000173432	Hoxb6	1964	0.549
ENSMUSG00000000693	ENSMUST00000000707	Loxl3	4098	0.534
ENSMUSG00000000701	ENSMUST00000000717	Tcl1b5	1055	0.497
ENSMUSG00000000706	ENSMUST00000041674	Btn1a1	3423	0.491
ENSMUSG00000000708	ENSMUST00000000724	Kat2b	4653	0.465
ENSMUSG00000000711	ENSMUST00000000727	Rab5b	3180	0.491
ENSMUSG00000000724	ENSMUST00000124178	Cryba1	1377	0.427
ENSMUSG00000000730	ENSMUST00000138785	Dnmt3l	1822	0.534
ENSMUSG00000000731	ENSMUST00000131028	Aire	2966	0.582
ENSMUSG00000000732	ENSMUST00000105393	Icosl	2814	0.524
ENSMUSG00000000738	ENSMUST00000128803	Spg7	3385	0.542
ENSMUSG00000000739	ENSMUST00000000755	Sult5a1	3805	0.516
ENSMUSG00000000740	ENSMUST00000129311	Rpl13	1969	0.519
ENSMUSG00000000743	ENSMUST00000000759	Chmp1a	2140	0.562
ENSMUSG00000000751	ENSMUST00000092907	Rpa1	5077	0.489
ENSMUSG00000000753	ENSMUST00000000769	Serpinf1	1832	0.544
ENSMUSG00000000759	ENSMUST00000167547	Tubgcp3	5724	0.474
ENSMUSG00000000766	ENSMUST00000105611	Oprm1	2420	0.479
ENSMUSG00000000776	ENSMUST00000180358	Polr3d	2032	0.547
ENSMUSG00000000782	ENSMUST00000086844	Tcf7	2471	0.523
ENSMUSG00000000787	ENSMUST00000000804	Ddx3x	4692	0.41
ENSMUSG00000000791	ENSMUST00000000808	Il12rb1	2873	0.584
ENSMUSG00000000792	ENSMUST00000000809	Slc5a5	2928	0.583
ENSMUSG00000000794	ENSMUST00000124584	Kcnn3	8314	0.45
ENSMUSG00000000804	ENSMUST00000108075	Usp32	7053	0.439
ENSMUSG00000000805	ENSMUST00000103194	Car4	1256	0.512
ENSMUSG00000000811	ENSMUST00000000828	Txnrd3	2836	0.523
ENSMUSG00000000817	ENSMUST00000000834	Fasl	1937	0.44
ENSMUSG00000000823	ENSMUST00000108789	Zfp512b	5714	0.556
ENSMUSG00000000826	ENSMUST00000072334	Dnajc5	6578	0.489
ENSMUSG00000000827	ENSMUST00000149163	Tpd52l2	3603	0.46
ENSMUSG00000000838	ENSMUST00000088546	Fmr1	4409	0.392
ENSMUSG00000000861	ENSMUST00000109514	Bcl11a	5989	0.448
ENSMUSG00000000869	ENSMUST00000150568	Il4	605	0.423
ENSMUSG00000000876	ENSMUST00000000896	Pxmp4	2789	0.508
ENSMUSG00000000881	ENSMUST00000147863	Dlg3	5017	0.504
ENSMUSG00000000884	ENSMUST00000167778	Gnb1l	3592	0.554
ENSMUSG00000000889	ENSMUST00000000910	Dbh	2552	0.558
ENSMUSG00000000901	ENSMUST00000000924	Mmp11	2288	0.566
ENSMUSG00000000902	ENSMUST00000140408	Smarcb1	7441	0.494
ENSMUSG00000000903	ENSMUST00000121151	Vpreb3	729	0.521
ENSMUSG00000000915	ENSMUST00000000939	Hip1r	6735	0.57
ENSMUSG00000000916	ENSMUST00000000940	Nsun5	2243	0.554
ENSMUSG00000000934	ENSMUST00000000958	Top1mt	1903	0.552
ENSMUSG00000000938	ENSMUST00000125581	Hoxa10	2565	0.531
ENSMUSG00000000942	ENSMUST00000101395	Hoxa4	1594	0.58
ENSMUSG00000000948	ENSMUST00000191456	Gm38393	3937	0.334
ENSMUSG00000000957	ENSMUST00000225641	Mmp14	3238	0.544
ENSMUSG00000000958	ENSMUST00000197440	Slc7a7	2278	0.524
ENSMUSG00000000959	ENSMUST00000000985	Oxa1l	2538	0.524
ENSMUSG00000000976	ENSMUST00000001002	Heatr6	5614	0.504
