WT_1	WT_2	WT_3	Cbfb_MYH11_1	Cbfb_MYH11_2	Cbfb_MYH11_3
ENSMUSG00000000001	101.799220188563	100.09306379366	103.767085530081	88.1109531068607	86.7671126053549	84.8958098332039
ENSMUSG00000000028	51.4774070238339	45.01769172868	45.0223307908089	29.2417100822514	35.5760074605493	30.4968125100955
ENSMUSG00000000037	2.013963027444	1.74477494298562	1.91071226823423	1.28318777819576	1.41786954514545	1.38810527979801
ENSMUSG00000000056	19.0002920702288	17.7226776164965	17.5013446504894	32.1444448722309	29.3968287426631	31.2310853782439
ENSMUSG00000000058	1.94501055837603	1.42302213632919	1.59015328969641	4.0041157117772	4.22023589611017	5.18642243349591
ENSMUSG00000000078	33.1552103683205	36.2434254586972	35.1430824037951	33.6923911830436	36.4689942357393	34.7651807343038
ENSMUSG00000000085	9.93611409460171	9.32856620406537	8.92839252977654	7.26861338224016	8.68129921371565	7.61679058170726
ENSMUSG00000000088	68.6801397652203	67.4091901200367	67.1025160801727	47.6988680831159	45.5900833598268	44.7423139577163
ENSMUSG00000000127	5.44482609548711	5.18236904765819	5.54948875360027	8.75472040307075	8.14521750022796	8.87028845173819
ENSMUSG00000000131	16.5098546864165	16.633016883369	16.7201651144277	22.8944111556973	23.8037373568749	23.8180615760805
ENSMUSG00000000134	10.3951593667148	11.5667156628056	10.3456480974205	13.0425629197183	12.3434932823085	12.1457176605004
ENSMUSG00000000142	1.15303924576572	1.18831111886548	1.35868545754046	3.10629342637345	2.30748536024179	3.27445818214686
ENSMUSG00000000148	6.49773834360776	6.387379974991	6.13944163056017	10.6029226503106	9.52743857059819	11.042872124865
ENSMUSG00000000149	32.4757424078203	32.0538239356818	29.6524859588553	28.7849882625125	27.2225794613717	27.7875207724467
ENSMUSG00000000154	1.48469507357403	1.44087241556704	1.43757160627788	2.09732898746296	1.65251729552835	1.96302150904263
ENSMUSG00000000157	118.287225572619	249.790956145083	141.80584386563	24.7790996634297	49.7311246709847	10.9458178333559
ENSMUSG00000000168	17.2194467445502	15.6360524237662	15.151654959516	16.1693408393364	15.7839542617623	16.0974515195862
ENSMUSG00000000171	139.940566214699	125.315573332443	128.36781707415	138.39739845244	131.432379120208	129.406033073722
ENSMUSG00000000184	12.610506774733	11.4925569478811	11.4468320016353	48.6811916350802	40.7334878349	48.9191780681053
ENSMUSG00000000194	9.27790282158717	9.49686249402848	9.11892453252477	12.1636853104875	11.7863569808369	11.8848726399226
ENSMUSG00000000204	13.4867639590903	22.3946070496909	20.9961453474224	3.11929745242596	12.7879866006588	2.40629901256024
ENSMUSG00000000244	24.8958582529575	25.7201661875456	25.1598738713914	9.28948650097303	9.4470814390092	8.64196185991591
ENSMUSG00000000253	7.30046332093246	6.12204841146436	7.03534946734927	129.203684263134	91.3744714019372	145.40497019348
ENSMUSG00000000275	12.2007164293661	11.7714831893532	11.3162528990638	19.2887500470403	18.8015211672964	18.7802368345746
ENSMUSG00000000276	1.90121810732826	1.74341613173634	1.82037904922064	2.16024132047567	2.48190855649473	2.22871842051366
ENSMUSG00000000278	9.69310745976594	8.70723829506247	8.56996792205488	44.3706241169342	48.039803952609	45.865562082176
