id	sym	Vector.1	Vector.2	Vector.3	CD36OE.1	CD36OE.2	CD36OE.3
ENSG00000000003	TSPAN6	957	872	1130	972	879	1354
ENSG00000000005	TNMD	1	3	1	3	1	4
ENSG00000000419	DPM1	820	731	857	707	751	1070
ENSG00000000457	SCYL3	201	173	188	131	159	184
ENSG00000000460	C1orf112	281	233	273	216	236	339
ENSG00000000938	FGR	4	3	2	0	1	1
ENSG00000000971	CFH	0	0	0	0	0	0
ENSG00000001036	FUCA2	3420	3101	3553	2832	2979	3978
ENSG00000001084	GCLC	332	296	343	272	294	386
ENSG00000001167	NFYA	787	726	965	700	704	937
ENSG00000001460	STPG1	67	80	97	70	62	110
ENSG00000001461	NIPAL3	147	163	168	126	125	135
ENSG00000001497	LAS1L	1298	1443	1353	1149	1238	1408
ENSG00000001561	ENPP4	0	0	0	0	0	0
ENSG00000001617	SEMA3F	1053	1075	1306	1186	1198	1297
ENSG00000001626	CFTR	15	20	19	4	18	16
ENSG00000001629	ANKIB1	580	631	723	527	533	773
ENSG00000001630	CYP51A1	331	307	374	255	308	345
ENSG00000001631	KRIT1	222	213	272	197	209	227
ENSG00000002016	RAD52	97	72	105	83	89	98
ENSG00000002079	MYH16	3	3	3	0	4	2
ENSG00000002330	BAD	252	257	305	320	284	332
ENSG00000002549	LAP3	759	636	781	580	611	922
ENSG00000002586	CD99	142	502	337	4	428	444
ENSG00000002587	HS3ST1	1	0	0	0	0	1
ENSG00000002726	AOC1	0	0	2	0	0	0
ENSG00000002745	WNT16	1	0	0	0	0	0
ENSG00000002746	HECW1	0	2	1	0	1	0
ENSG00000002822	MAD1L1	581	589	557	486	627	628
ENSG00000002834	LASP1	4441	4832	5216	4339	4746	5293
ENSG00000002919	SNX11	317	295	313	311	279	396
ENSG00000002933	TMEM176A	0	0	0	0	0	0
ENSG00000003056	M6PR	2213	1929	2560	1696	2045	2418
ENSG00000003096	KLHL13	2	1	1	1	2	0
ENSG00000003137	CYP26B1	550	541	624	645	664	650
ENSG00000003147	ICA1	0	0	0	0	0	0
ENSG00000003249	DBNDD1	945	976	1063	1094	1207	1170
ENSG00000003393	ALS2	526	476	529	443	501	594
ENSG00000003400	CASP10	91	85	117	61	73	101
ENSG00000003402	CFLAR	341	356	344	296	301	322
ENSG00000003436	TFPI	25	31	33	31	37	53
ENSG00000003509	NDUFAF7	262	237	275	193	203	271
ENSG00000003756	RBM5	1346	1162	1331	1290	1223	1681
ENSG00000003987	MTMR7	0	0	0	0	0	0
ENSG00000003989	SLC7A2	1825	1754	2123	1297	1451	1905
ENSG00000004059	ARF5	2077	1838	2119	2343	2041	2360
ENSG00000004139	SARM1	1	3	5	8	3	6
